discount_price,is_active,item_price,quantity,registration_price,tax,total_price,create_time,update_time,channel_order_id,channel_order_item_id,contract_id,currency,entity,field,hash_code,install_id,material_id,order_id,order_item_id,order_item_status,order_item_type,value
,Y,,1,,,,2024-12-06 08:08:35.463000 +00:00,2024-12-06 08:08:39.807000 +00:00,G-241206-000020,S-241206-000015,0105434100042-0201-30000A,,CollectOrder,orderId,526119b576de5bcb6eb57fdca5fef4bf,1Z6RLlGhXT9,WP_113786,0105434100042,0105434100042-0201,SUSPENDED,RENTAL,0105434100042
,Y,,1,,,,2024-12-06 08:08:35.463000 +00:00,2024-12-06 08:08:42.013000 +00:00,G-241206-000020,S-241206-000016,0105434100042-0301-30000A,,CollectOrder,orderId,9f2d6e78d793525b60d28d015119fe78,1Z6RLvzU67Z,WP_113786,0105434100042,0105434100042-0301,SUSPENDED,RENTAL,0105434100042
,Y,,1,,,,2024-12-06 08:08:35.461000 +00:00,2024-12-06 08:08:37.437000 +00:00,G-241206-000020,S-241206-000014,0105434100042-0101-30000A,,CollectOrder,orderId,e8cc9e5c2207aaf3f0fdf1a2600145f5,1Z6RLczmNPJ,WP_113786,0105434100042,0105434100042-0101,BOOKING_SCHEDULED,RENTAL,0105434100042
,Y,,1,,,,2024-12-06 07:55:53.001000 +00:00,2024-12-06 07:55:53.341000 +00:00,G-241206-000019,S-241206-000013,,,CollectOrder,orderId,e348db0122315ab269dadb987d0b6151,1Z6QRJ0enje,WP_113627,0105434100041,0105434100041-0102,BOOKING_SCHEDULED,ONETIME,0105434100041
,Y,,1,,,,2024-12-06 07:54:25.829000 +00:00,2024-12-06 07:54:27.148000 +00:00,G-241206-000016,S-241206-000012,0105434100040-0301-30000A,,CollectOrder,orderId,640c63e4c68c236ee80511c6d9fe0321,1Z6QKwII2E6,WP_113627,0105434100040,0105434100040-0301,BOOKING_SCHEDULED,RENTAL,0105434100040
,Y,,1,,,,2024-12-06 07:54:25.828000 +00:00,2024-12-06 07:54:49.731000 +00:00,G-241206-000016,S-241206-000010,0105434100040-0101-30000A,,CollectOrder,orderId,a60d44a819ed7235b23daf8243ad5d49,1Z6QKs40g0E,WP_113627,0105434100040,0105434100040-0101,CANCELLATION_COMPLETED,RENTAL,0105434100040
,Y,,1,,,,2024-12-06 07:54:25.828000 +00:00,2024-12-06 07:54:26.750000 +00:00,G-241206-000016,S-241206-000011,0105434100040-0201-30000A,,CollectOrder,orderId,f3221014b97ab68b5974fbaa62533f19,1Z6QKuHxjEg,WP_113627,0105434100040,0105434100040-0201,BOOKING_SCHEDULED,RENTAL,0105434100040
,Y,,1,,,,2024-12-06 07:47:33.634000 +00:00,2024-12-06 07:47:34.250000 +00:00,G-241206-000012,S-241206-000009,0105434100039-0101-70000A,,CollectOrder,orderId,16e800871f350b34e7067f8752f8d979,1Z6PqR5WZVD,WP_113785,0105434100039,0105434100039-0101,BOOKING_SCHEDULED,RENTAL,0105434100039
,Y,,1,,,,2024-12-06 07:25:36.613000 +00:00,2024-12-06 07:25:36.953000 +00:00,100117334699357733,1001173346993577331357604,0105434100038-0101-50000A,,CollectOrder,orderId,8c3e6283cc53997c01215b4a5cddfb37,1Z6OHBGwyvw,WP_113725,0105434100038,0105434100038-0101,BOOKING_SCHEDULED,RENTAL,0105434100038
,Y,,1,,,,2024-12-06 07:25:34.674000 +00:00,2024-12-06 07:25:34.986000 +00:00,100117334699342671,1001173346993426711980485,0105434100037-0101-N0000A,,CollectOrder,orderId,0e4ef105229bcd928bd06d569dc1f2e0,1Z6OH2IbBqJ,WP_113781,0105434100037,0105434100037-0101,BOOKING_SCHEDULED,RENTAL,0105434100037
,Y,,1,,,,2024-12-06 07:25:33.502000 +00:00,2024-12-06 07:25:33.789000 +00:00,100117334699328511,1001173346993285111410412,0105434100036-0101-50000A,,CollectOrder,orderId,cc929fc4e1a625f5c8f1ad1a9590783b,1Z6OGwvdi7T,WP_113637,0105434100036,0105434100036-0101,BOOKING_SCHEDULED,RENTAL,0105434100036
,Y,,1,,,,2024-12-06 07:25:31.292000 +00:00,2024-12-06 07:25:32.394000 +00:00,100117334699306222,1001173346993062221602045,0105434100035-0101-N0000A,,CollectOrder,orderId,a76394729330e4d4b64506ab8b92330a,1Z6OGmsIaKT,WP_113816,0105434100035,0105434100035-0101,SUSPENDED,RENTAL,0105434100035
,Y,,1,,,,2024-12-06 07:25:28.156000 +00:00,2024-12-06 07:25:29.906000 +00:00,100117334699276481,1001173346992764811258832,0105434100034-0101-30000A,,CollectOrder,orderId,c915f93eede98e2f3c04195057259a8d,1Z6OGYcejex,WP_113725,0105434100034,0105434100034-0101,SUSPENDED,RENTAL,0105434100034
,Y,,1,,,,2024-12-06 07:25:25.404000 +00:00,2024-12-06 07:25:27.170000 +00:00,100117334699247250,1001173346992472501249108,0105434100033-0101-30000A,,CollectOrder,orderId,b03808ab314d13a03775b08d5d8555c6,1Z6OGLqiSIl,WP_113819,0105434100033,0105434100033-0101,SUSPENDED,RENTAL,0105434100033
,Y,,1,,,,2024-12-06 07:25:22.301000 +00:00,2024-12-06 07:25:24.064000 +00:00,100117334699218331,1001173346992183311633470,0105434100032-0101-70000A,,CollectOrder,orderId,3e671546dc92c1d6422861f887465de8,1Z6OG7ufUCl,WP_113781,0105434100032,0105434100032-0101,SUSPENDED,RENTAL,0105434100032
,Y,,1,,,,2024-12-06 07:25:19.323000 +00:00,2024-12-06 07:25:21.317000 +00:00,100117334699188692,1001173346991886921354025,0105434100031-0101-N0000A,,CollectOrder,orderId,0a330c8472b026dbc17b733bf40266d4,1Z6OFuBx5mm,WP_113781,0105434100031,0105434100031-0101,SUSPENDED,RENTAL,0105434100031
,Y,,1,,,,2024-12-06 07:25:16.586000 +00:00,2024-12-06 07:25:18.399000 +00:00,100117334699160230,1001173346991602301761073,0105434100030-0101-70000A,,CollectOrder,orderId,e1ac780cdbc12d7e9a7820a2328843f8,1Z6OFhYFB6J,WP_113781,0105434100030,0105434100030-0101,SUSPENDED,RENTAL,0105434100030
,Y,,1,,,,2024-12-06 07:25:14.592000 +00:00,2024-12-06 07:25:14.854000 +00:00,100117334699141742,1001173346991417421525818,0105434100029-0101-30000A,,CollectOrder,orderId,7b4cb7cf8d1da7227094e287473a990b,1Z6OFYJzqqY,WP_113729,0105434100029,0105434100029-0101,BOOKING_SCHEDULED,RENTAL,0105434100029
,Y,,1,,,,2024-12-06 07:25:13.002000 +00:00,2024-12-06 07:25:13.496000 +00:00,100117334699125313,1001173346991253131572830,0105434100028-0101-70000A,,CollectOrder,orderId,4c8fb2a9afe45480f1d1542d8e54ddc3,1Z6OFREIdYr,WP_113637,0105434100028,0105434100028-0101,BOOKING_SCHEDULED,RENTAL,0105434100028
,Y,,1,,,,2024-12-06 07:25:11.715000 +00:00,2024-12-06 07:25:11.997000 +00:00,100117334699110032,1001173346991100321347772,0105434100027-0101-30000A,,CollectOrder,orderId,435d40b5c3dc217a1d01abf4b2d7af89,1Z6OFLACgrU,WP_113820,0105434100027,0105434100027-0101,BOOKING_SCHEDULED,RENTAL,0105434100027
,Y,,1,,,,2024-12-06 07:25:09.998000 +00:00,2024-12-06 07:25:10.441000 +00:00,100117334699090704,1001173346990907041925069,0105434100026-0101-50000A,,CollectOrder,orderId,85ec513d3e1fbe72ac50abd819a2392f,1Z6OFDUSQ3H,WP_113727,0105434100026,0105434100026-0101,BOOKING_SCHEDULED,RENTAL,0105434100026
,Y,,1,,,,2024-12-06 07:25:08.227000 +00:00,2024-12-06 07:25:08.577000 +00:00,100117334699077790,1001173346990777901106903,0105434100025-0101-70000A,,CollectOrder,orderId,ac9f22804f0b9cf921f177695e759e39,1Z6OF5GfP5p,WP_113785,0105434100025,0105434100025-0101,BOOKING_SCHEDULED,RENTAL,0105434100025
,Y,,1,,,,2024-12-06 07:25:06.759000 +00:00,2024-12-06 07:25:07.056000 +00:00,100117334699061083,1001173346990610831798365,0105434100024-0101-30000A,,CollectOrder,orderId,dc8b2159ec95996739f6f31634ebb18f,1Z6OEyVPrwu,WP_113725,0105434100024,0105434100024-0101,BOOKING_SCHEDULED,RENTAL,0105434100024
,Y,,1,,,,2024-12-06 07:25:05.098000 +00:00,2024-12-06 07:25:05.609000 +00:00,100117334699040862,1001173346990408621698378,0105434100023-0101-N0000A,,CollectOrder,orderId,42eef4f726af70e1c661874f65904eb4,1Z6OErA6iXJ,WP_113627,0105434100023,0105434100023-0101,BOOKING_SCHEDULED,RENTAL,0105434100023
,Y,,1,,,,2024-12-06 07:25:03.022000 +00:00,2024-12-06 07:25:03.436000 +00:00,100117334699025512,1001173346990255121528089,0105434100022-0101-30000A,,CollectOrder,orderId,d7943bf947f3e381659c4bf4d52f0903,1Z6OEhU2hXO,WP_113819,0105434100022,0105434100022-0101,BOOKING_SCHEDULED,RENTAL,0105434100022
,Y,,1,,,,2024-12-06 07:25:01.606000 +00:00,2024-12-06 07:25:01.964000 +00:00,100117334699011680,1001173346990116801335405,0105434100021-0101-30000A,,CollectOrder,orderId,82169b635dfded4f1a57ed3a554bedeb,1Z6OEavI5jL,WP_113820,0105434100021,0105434100021-0101,BOOKING_SCHEDULED,RENTAL,0105434100021
,Y,,1,,,,2024-12-06 07:24:59.933000 +00:00,2024-12-06 07:25:00.492000 +00:00,100117334698991522,1001173346989915221698295,0105434100020-0101-N0000A,,CollectOrder,orderId,3380b99c1b36f0cf1f453c7d5fa3682f,1Z6OETTjkNF,WP_113729,0105434100020,0105434100020-0101,BOOKING_SCHEDULED,RENTAL,0105434100020
,Y,,1,,,,2024-12-06 07:24:58.298000 +00:00,2024-12-06 07:24:58.655000 +00:00,100117334698978553,1001173346989785531088306,0105434100019-0101-30000A,,CollectOrder,orderId,692d81e53ecc8971b0ac6d09ca38875f,1Z6OELmsDYQ,WP_113820,0105434100019,0105434100019-0101,BOOKING_SCHEDULED,RENTAL,0105434100019
,Y,,1,,,,2024-12-06 07:24:56.896000 +00:00,2024-12-06 07:24:57.346000 +00:00,100117334698964734,1001173346989647341446538,0105434100018-0101-30000A,,CollectOrder,orderId,9c56937851ad4a176ffff02ea7c2604e,1Z6OEFQsPA7,WP_113792,0105434100018,0105434100018-0101,BOOKING_SCHEDULED,RENTAL,0105434100018
,Y,,1,,,,2024-12-06 07:24:55.031000 +00:00,2024-12-06 07:24:55.522000 +00:00,100117334698942162,1001173346989421621227167,0105434100017-0101-70000A,,CollectOrder,orderId,81ad1b1861ccd2f9953557b4d063a027,1Z6OE6w3TRo,WP_113713,0105434100017,0105434100017-0101,BOOKING_SCHEDULED,RENTAL,0105434100017
,Y,,1,,,,2024-12-06 07:24:53.251000 +00:00,2024-12-06 07:24:53.537000 +00:00,100117334698925770,1001173346989257701194135,0105434100016-0101-50000A,,CollectOrder,orderId,b31a82776a437ea11f50df706a61a939,1Z6ODydQib9,WP_113819,0105434100016,0105434100016-0101,BOOKING_SCHEDULED,RENTAL,0105434100016
,Y,,1,,,,2024-12-06 07:24:51.753000 +00:00,2024-12-06 07:24:52.088000 +00:00,100117334698913014,1001173346989130141181802,0105434100015-0101-50000A,,CollectOrder,orderId,c1be79b74d217a0611d85f92cce31ad5,1Z6ODrp3atz,WP_113785,0105434100015,0105434100015-0101,BOOKING_SCHEDULED,RENTAL,0105434100015
,Y,,1,,,,2024-12-06 07:24:50.391000 +00:00,2024-12-06 07:24:50.748000 +00:00,100117334698896764,1001173346988967641825394,0105434100014-0101-70000A,,CollectOrder,orderId,7590c03208f5a5c90d3cbbd62f9c1185,1Z6ODlgPVRw,WP_113818,0105434100014,0105434100014-0101,BOOKING_SCHEDULED,RENTAL,0105434100014
,Y,,1,,,,2024-12-06 07:24:48.724000 +00:00,2024-12-06 07:24:49.100000 +00:00,100117334698880250,1001173346988802501727148,0105434100013-0101-30000A,,CollectOrder,orderId,6574e0dc36799ca44ec3a02f9717fb93,1Z6ODdzWq5f,WP_113637,0105434100013,0105434100013-0101,BOOKING_SCHEDULED,RENTAL,0105434100013
,Y,,1,,,,2024-12-06 07:24:47.056000 +00:00,2024-12-06 07:24:47.467000 +00:00,100117334698866254,1001173346988662541811506,0105434100012-0101-30000A,,CollectOrder,orderId,bb14f043c6475dcd958a45f6bf331ad5,1Z6ODWPT6fI,WP_113820,0105434100012,0105434100012-0101,BOOKING_SCHEDULED,RENTAL,0105434100012
,Y,,1,,,,2024-12-06 07:24:45.711000 +00:00,2024-12-06 07:24:46.071000 +00:00,100117334698852022,1001173346988520221194627,0105434100011-0101-N0000A,,CollectOrder,orderId,f198c0ce5d83ddf6ad270aa7b4c12476,1Z6ODQDhzOD,WP_113780,0105434100011,0105434100011-0101,BOOKING_SCHEDULED,RENTAL,0105434100011
,Y,,1,,,,2024-12-06 07:24:44.245000 +00:00,2024-12-06 07:24:44.644000 +00:00,100117334698835664,1001173346988356641464130,0105434100010-0101-70000A,,CollectOrder,orderId,d114dacae689f5a2fbdd42c6ab3610ca,1Z6ODJbG1HO,WP_113627,0105434100010,0105434100010-0101,BOOKING_SCHEDULED,RENTAL,0105434100010
,Y,,1,,,,2024-12-06 07:24:42.632000 +00:00,2024-12-06 07:24:43.025000 +00:00,100117334698821934,1001173346988219341259314,0105434100009-0101-30000A,,CollectOrder,orderId,f44641cb078fac15b0c500cf607aaf72,1Z6ODC9Q5or,WP_113643,0105434100009,0105434100009-0101,BOOKING_SCHEDULED,RENTAL,0105434100009
,Y,,1,,,,2024-12-06 07:24:41.114000 +00:00,2024-12-06 07:24:41.621000 +00:00,100117334698806151,1001173346988061511835887,0105434100008-0101-N0000A,,CollectOrder,orderId,9ecdef80179340437b29b928c3fac520,1Z6OD5N2A9w,WP_113713,0105434100008,0105434100008-0101,BOOKING_SCHEDULED,RENTAL,0105434100008
,Y,,1,,,,2024-12-06 07:24:39.372000 +00:00,2024-12-06 07:24:39.951000 +00:00,100117334698783481,1001173346987834811906659,0105434100007-0101-50000A,,CollectOrder,orderId,4d9779baa676cee168360d7f9e335ad5,1Z6OCxMrKdv,WP_113725,0105434100007,0105434100007-0101,BOOKING_SCHEDULED,RENTAL,0105434100007
,Y,,1,,,,2024-12-06 07:24:36.113000 +00:00,2024-12-06 07:24:36.652000 +00:00,100117334698742231,1001173346987422311769883,0105434100006-0101-70000A,,CollectOrder,orderId,5a440b0d54c92ca76bcf4e66a2456bc1,1Z6OCiRnBWb,WP_113785,0105434100006,0105434100006-0101,BOOKING_SCHEDULED,RENTAL,0105434100006
,Y,,1,,,,2024-12-06 07:01:09.572000 +00:00,2024-12-06 07:12:44.166000 +00:00,G-241206-000008,S-241206-000008,0105434100005-0101-50000A,,CollectOrder,orderId,b4995abf7f9963900771403c2bc98059,1Z6MWqkinAq,WP_113785,0105434100005,0105434100005-0101,CANCELLATION_COMPLETED,RENTAL,0105434100005
,Y,,1,,,,2024-12-06 06:54:32.349000 +00:00,2024-12-06 07:37:33.812000 +00:00,G-241206-000005,S-241206-000007,0105434100004-0301-30000A,,CollectOrder,orderId,525a751f8dfbb19db5e71373ff022a5f,1Z6M3eHhQvx,WP_113627,0105434100004,0105434100004-0301,CANCELLATION_COMPLETED,RENTAL,0105434100004
,Y,,1,,,,2024-12-06 06:54:32.348000 +00:00,2024-12-06 07:36:33.331000 +00:00,G-241206-000005,S-241206-000006,0105434100004-0201-30000A,,CollectOrder,orderId,bc4f7b809547da048217742ed32cc2e3,1Z6M3bKcA1B,WP_113627,0105434100004,0105434100004-0201,CANCELLATION_COMPLETED,RENTAL,0105434100004
,Y,,1,,,,2024-12-06 06:54:32.346000 +00:00,2024-12-06 07:27:05.323000 +00:00,G-241206-000005,S-241206-000005,0105434100004-0101-30000A,,CollectOrder,orderId,97d6a4ea1b3923d974e084c2d03db9ce,1Z6M3Wvpe05,WP_113627,0105434100004,0105434100004-0101,CANCELLATION_COMPLETED,RENTAL,0105434100004
,Y,,1,,,,2024-12-06 06:36:51.179000 +00:00,2024-12-06 06:46:41.611000 +00:00,G-241206-000002,S-241206-000003,0105434100003-0201-N0000A,,CollectOrder,orderId,dd3032303a0f7ac86662de34f7c63f3a,1Z6KnGjrxn1,WP_113785,0105434100003,0105434100003-0201,CANCELLATION_COMPLETED,RENTAL,0105434100003
,Y,,1,,,,2024-12-06 06:36:51.179000 +00:00,2024-12-06 06:45:47.430000 +00:00,G-241206-000002,S-241206-000004,0105434100003-0301-30000A,,CollectOrder,orderId,2e9a5692039f9b1ba7963279df81c095,1Z6KnJey2nu,WP_113725,0105434100003,0105434100003-0301,CANCELLATION_COMPLETED,RENTAL,0105434100003
,Y,,1,,,,2024-12-06 06:36:51.178000 +00:00,2024-12-06 06:50:00.853000 +00:00,G-241206-000002,S-241206-000002,0105434100003-0101-50000A,,CollectOrder,orderId,f04809baf9ddf93e43ab3b14bea10892,1Z6Kn9wdEjd,WP_113786,0105434100003,0105434100003-0101,CANCELLATION_COMPLETED,RENTAL,0105434100003
,Y,,1,,,,2024-12-06 06:18:13.611000 +00:00,2024-12-06 06:18:14.035000 +00:00,G-241206-000001,S-241206-000001,0105434100002-0101-30000A,,CollectOrder,orderId,71dd831aa4e0080305c463f58b8931e5,1Z6JSdNIV0r,WP_113782,0105434100002,0105434100002-0101,BOOKING_SCHEDULED,RENTAL,0105434100002
,Y,,1,,,,2024-12-06 02:51:28.313000 +00:00,2024-12-06 02:51:32.956000 +00:00,G-241206-000001,S-241206-000001,0105434100001-0101-30000A,,CollectOrder,orderId,7d9e57a668246ea3b20c87570ac89a6c,1Z64gbZfjzS,WP_113786,0105434100001,0105434100001-0101,BOOKING_SCHEDULED,RENTAL,0105434100001
,Y,,1,,,,2024-12-05 11:05:19.749000 +00:00,2024-12-06 02:20:45.393000 +00:00,G-241205-000012,S-241205-000010,0105434000056-0101-70000A,,CollectOrder,orderId,db2029fb899c6460d0e94df075bcfdc2,1Z4z4docgwL,WP_113627,0105434000056,0105434000056-0101,CANCELLATION_COMPLETED,RENTAL,0105434000056
,Y,,1,,,,2024-12-05 08:28:16.432000 +00:00,2024-12-05 08:28:53.102000 +00:00,G-241205-000009,S-241205-000009,,,CollectOrder,orderId,522c8459cddbf342c13acd57017afa28,1Z4nqnJi92b,WP_113627,0105434000055,0105434000055-0102,CANCELLATION_COMPLETED,ONETIME,0105434000055
,Y,,1,,,,2024-12-05 08:15:16.157000 +00:00,2024-12-06 06:24:38.662000 +00:00,100117333865150182,1001173338651501821863605,0105434000054-0101-N0000A,,CollectOrder,orderId,1aceeb529a0e8d75ee30a8f0d930b310,1Z4mvAHr4fQ,WP_113643,0105434000054,0105434000054-0101,ORDER_ON_HOLD,RENTAL,0105434000054
,Y,,1,,,,2024-12-05 08:15:13.214000 +00:00,2024-12-06 13:09:15.101000 +00:00,100117333865127580,1001173338651275801000241,0105434000053-0101-30000A,,CollectOrder,orderId,c689b1c3cd8500c59547fcb5a6551ed5,1Z4muwXKRzJ,WP_113816,0105434000053,0105434000053-0101,INSTALL_COMPLETED,RENTAL,0105434000053
,Y,,1,,,,2024-12-05 08:15:11.026000 +00:00,2024-12-06 13:09:22.746000 +00:00,100117333865103083,1001173338651030831813468,0105434000052-0101-N0000A,,CollectOrder,orderId,649fc952ce14ac3df72be928f76ea547,1Z4mumnrFQE,WP_113793,0105434000052,0105434000052-0101,INSTALL_COMPLETED,RENTAL,0105434000052
,Y,,1,,,,2024-12-05 08:15:08.608000 +00:00,2024-12-06 13:09:28.779000 +00:00,100117333865079591,1001173338650795911096121,0105434000051-0101-50000A,,CollectOrder,orderId,843451ef9f87e4108b6b8c7d5e69849f,1Z4mubb6Pi6,WP_113627,0105434000051,0105434000051-0101,INSTALL_COMPLETED,RENTAL,0105434000051
,Y,,1,,,,2024-12-05 08:15:05.602000 +00:00,2024-12-06 13:09:34.506000 +00:00,100117333865051142,1001173338650511421147520,0105434000050-0101-N0000A,,CollectOrder,orderId,43b6f374f41d107f4e0542be0d5cfe6f,1Z4muNtFOFL,WP_113713,0105434000050,0105434000050-0101,INSTALL_COMPLETED,RENTAL,0105434000050
,Y,,1,,,,2024-12-05 08:15:03.357000 +00:00,2024-12-06 13:09:40.554000 +00:00,100117333865028112,1001173338650281121697428,0105434000049-0101-N0000A,,CollectOrder,orderId,1afbb0684e83b35fc0cdd90725522cba,1Z4muDqvTLa,WP_113818,0105434000049,0105434000049-0101,INSTALL_COMPLETED,RENTAL,0105434000049
,Y,,1,,,,2024-12-05 08:15:01.103000 +00:00,2024-12-06 13:09:46.383000 +00:00,100117333865004064,1001173338650040641451076,0105434000048-0101-50000A,,CollectOrder,orderId,d5b51fa76af0270abbd9fb823c620574,1Z4mu3E6UIH,WP_113781,0105434000048,0105434000048-0101,INSTALL_COMPLETED,RENTAL,0105434000048
,Y,,1,,,,2024-12-05 08:14:58.696000 +00:00,2024-12-06 13:09:52.120000 +00:00,100117333864982371,1001173338649823711162201,0105434000047-0101-50000A,,CollectOrder,orderId,06530c4e9e229262f5ea064a2e4bea77,1Z4mtsG6mIe,WP_113725,0105434000047,0105434000047-0101,INSTALL_COMPLETED,RENTAL,0105434000047
,Y,,1,,,,2024-12-05 08:14:56.401000 +00:00,2024-12-06 13:09:57.959000 +00:00,100117333864959292,1001173338649592921534419,0105434000046-0101-70000A,,CollectOrder,orderId,3db93bcd4739556f5f3f356d35c881fa,1Z4mthn6Z8J,WP_113820,0105434000046,0105434000046-0101,INSTALL_COMPLETED,RENTAL,0105434000046
