is_active,create_time,update_time,description,entity,feature_code,field,filter_type,hash_code,installation_type,material_brand_name,material_category_code,material_id,material_model_name,material_name,material_series_code,material_type,product_type,value
Y,2024-12-02 03:37:45.085338 +00:00,2024-12-02 03:37:45.085338 +00:00,motorized assembly designed to automate the rotation and dispensing of ice trays in refrigeration units,,POWER_BOARD_ASSEMBLY,,,4bfa08580dedbef328173645c0e7aba0,,NECOA,WATER_PURIFIER_PART,WPP_1237637,,MOTOR-ICE TRAY ASSY,NECOA_WATER_PURIFIER_PART,PART,SECONDARY,
Y,2024-12-02 03:37:45.085402 +00:00,2024-12-02 03:37:45.085402 +00:00,internal protective cover designed to secure and enclose the dispensing mechanism within a water purification system.,,SENSOR_ASSEMBLY,,,67ed532da325dabe79d12d4244596214,,NECOA,WATER_PURIFIER_PART,WPP_1237709,,COVER-DOOR DISPENSER INNER,NECOA_WATER_PURIFIER_PART,PART,SECONDARY,
Y,2024-12-02 03:37:45.085466 +00:00,2024-12-02 03:37:45.085466 +00:00,temperature-sensitive device that uses two bonded metals with different expansion rates to activate switches or provide temperature measurements.,,BIMETAL,,,828d57761dd2aa39ac5c56674f918989,,NECOA,WATER_PURIFIER_PART,WPP_9230675,,BIMETAL,NECOA_WATER_PURIFIER_PART,PART,SECONDARY,
Y,2024-12-02 03:37:45.085529 +00:00,2024-12-02 03:37:45.085529 +00:00,control component that regulates the discharge of wastewater from a system to ensure proper drainage and system efficiency.,,VALVE,,,d6db693d150a13eb81881be078793224,,NECOA,WATER_PURIFIER_PART,WPP_1237433,,VALVE-DRAIN,NECOA_WATER_PURIFIER_PART,PART,SECONDARY,
Y,2024-12-02 03:37:45.085592 +00:00,2024-12-02 03:37:45.085592 +00:00,magnetic sensor that activates or deactivates a circuit in response to the presence of a magnetic field.,,REED,,,49f717f86630701a997263a7a0c73b51,,NECOA,WATER_PURIFIER_PART,WPP_9227845,,SWITCH-REED,NECOA_WATER_PURIFIER_PART,PART,SECONDARY,
Y,2024-12-02 03:37:45.085655 +00:00,2024-12-02 03:37:45.085655 +00:00,durable assembly for precise temperature monitoring and regulation in water purification and cooling systems.,,SENSOR_ASSEMBLY,,,7feaa832c9bacd68381bc061a5f3b9a3,,NECOA,WATER_PURIFIER_PART,WPP_1237277,,BRACKET-COLD SENSOR ASSY,NECOA_WATER_PURIFIER_PART,PART,SECONDARY,
Y,2024-12-02 03:37:45.085719 +00:00,2024-12-02 03:37:45.085719 +00:00,"essential component of the water purifier system, designed to ensure reliable and safe power supply for optimal performance",,PUMP,,,7dc664be9253394c26e2d4e71ace6728,,NECOA,WATER_PURIFIER_PART,WPP_1237309,,POWERCORD,NECOA_WATER_PURIFIER_PART,PART,SECONDARY,
Y,2024-12-02 03:37:45.085782 +00:00,2024-12-02 03:37:45.085782 +00:00,NT filter with Built-in install type & intelligent filter monitoring,,COLD_HOT_PURIFIED,,NANO_TRAP,82ad3f227aa3b7830b265c091bc0cf79,BUILT_IN,NECOA,WATER_PURIFIER,WP_113818,[QA Test]CHP-1110N_GR,[QA Test]NECOA NT B/I Pebble Gray,NECOA_NTBI,PRODUCT,PRIMARY,
Y,2024-12-02 03:37:45.085947 +00:00,2024-12-02 03:37:45.085947 +00:00,NT filter with Built-in install type & intelligent filter monitoring,,COLD_HOT_PURIFIED,,NANO_TRAP,548cc0a2e4a145a53dbd3ea2b9e5a745,BUILT_IN,NECOA,WATER_PURIFIER,WP_113819,CHP-1110N_BR,NECOA NT B/I Bronze Beige,NECOA_NTBI,PRODUCT,PRIMARY,
Y,2024-12-02 03:37:45.085998 +00:00,2024-12-02 03:37:45.085998 +00:00,NT filter with Built-in install type & intelligent filter monitoring,,COLD_HOT_PURIFIED,,NANO_TRAP,deb76c08208a2269c25353c919afd60b,BUILT_IN,NECOA,WATER_PURIFIER,WP_113820,CHP-1110N_BU,NECOA NT B/I Icy Blue,NECOA_NTBI,PRODUCT,PRIMARY,
Y,2024-12-02 03:37:45.086046 +00:00,2024-12-02 03:37:45.086046 +00:00,NT filter with Built-in install type & intelligent filter monitoring,,COLD_HOT_PURIFIED,,NANO_TRAP,b5759bc41219fb8c8fb380999840062d,BUILT_IN,NECOA,WATER_PURIFIER,WP_113816,[QA Test]CHP-1110N_GR,[QA Test]NECOA NT B/I Pebble Gray,NECOA_NTBI,PRODUCT,PRIMARY,
Y,2024-12-02 03:37:45.086095 +00:00,2024-12-02 03:37:45.086095 +00:00,RO filter for HP with Built-in install type & intelligent filter monitoring,,HOT_PURIFIED,,REVERSE_OSMOSIS,195a426418bf195b3f5cbeb59c85aa61,BUILT_IN,NECOA,WATER_PURIFIER,WP_113784,[QA Test]HP-1100R_GR,[QA Test]NECOA RO B/I HP Pebble Gray,NECOA_ROBI_HP,PRODUCT,PRIMARY,
Y,2024-12-02 03:37:45.086144 +00:00,2024-12-02 03:37:45.086144 +00:00,RO filter for HP with Built-in install type & intelligent filter monitoring,,HOT_PURIFIED,,REVERSE_OSMOSIS,0b44855e1d59e10a0a977360ded36620,BUILT_IN,NECOA,WATER_PURIFIER,WP_113780,HP-1100R_SL,NECOA RO B/I HP Iron Silver,NECOA_ROBI_HP,PRODUCT,PRIMARY,
Y,2024-12-02 03:37:45.086193 +00:00,2024-12-02 03:37:45.086193 +00:00,RO filter with Built-in install type & intelligent filter monitoring,,COLD_HOT_PURIFIED,,REVERSE_OSMOSIS,438a10ed5fa644251db0e8b738ba759c,BUILT_IN,NECOA,WATER_PURIFIER,WP_113781,[QA Test]CHP-1100R_BR,[QA Test]NECOA RO B/I Quartz Brown,NECOA_ROBI,PRODUCT,PRIMARY,
Y,2024-12-02 03:37:45.086242 +00:00,2024-12-02 03:37:45.086242 +00:00,RO filter with Built-in install type & intelligent filter monitoring,,COLD_HOT_PURIFIED,,REVERSE_OSMOSIS,4d9363adf0e1c490572ec8b84ebd4ff1,BUILT_IN,NECOA,WATER_PURIFIER,WP_113782,CHP-1100R_GR,NECOA RO B/I Pebble Gray,NECOA_ROBI,PRODUCT,PRIMARY,
Y,2024-12-02 03:37:45.086294 +00:00,2024-12-02 03:37:45.086294 +00:00,RO filter with Built-in install type & intelligent filter monitoring,,COLD_HOT_PURIFIED,,REVERSE_OSMOSIS,65d37111784fd0d4d098cbad64c279e4,BUILT_IN,NECOA,WATER_PURIFIER,WP_113783,CHP-1100R_BU,NECOA RO B/I Icy Blue,NECOA_ROBI,PRODUCT,PRIMARY,
Y,2024-12-02 03:37:45.086343 +00:00,2024-12-02 03:37:45.086343 +00:00,RO filter with Built-in install type & intelligent filter monitoring,,COLD_HOT_PURIFIED,,REVERSE_OSMOSIS,7d581b1bd4fbe74cc8f91102e422e048,BUILT_IN,NECOA,WATER_PURIFIER,WP_113637,CHP-1100R_SL,NECOA RO B/I Iron Silver,NECOA_ROBI,PRODUCT,PRIMARY,
Y,2024-12-02 03:37:45.086392 +00:00,2024-12-02 03:37:45.086392 +00:00,NT filter with intelligent filter monitoring(IoCare),,COLD_HOT_PURIFIED,,NANO_TRAP,c0a0f586dd900595d24f44c44d2607bb,COUNTER_TOP,NECOA,WATER_PURIFIER,WP_113725,CHP-1200N_SL,NECOA NT C/T  Iron Silver,NECOA_NTCT,PRODUCT,PRIMARY,
Y,2024-12-02 03:37:45.086443 +00:00,2024-12-02 03:37:45.086443 +00:00,NT filter with intelligent filter monitoring(IoCare),,COLD_HOT_PURIFIED,,NANO_TRAP,69956ae366c38a7c9d3beeec0b477c53,COUNTER_TOP,NECOA,WATER_PURIFIER,WP_113793,CHP-1200N_BG,NECOA NT C/T Bronze Beige,NECOA_NTCT,PRODUCT,PRIMARY,
Y,2024-12-02 03:37:45.086507 +00:00,2024-12-02 03:37:45.086507 +00:00,NT filter with intelligent filter monitoring(IoCare),,COLD_HOT_PURIFIED,,NANO_TRAP,78cba57fdc1d26d424970bb0a25a38cf,COUNTER_TOP,NECOA,WATER_PURIFIER,WP_113792,CHP-1200N_BU,NECOA NT C/T Icy Blue,NECOA_NTCT,PRODUCT,PRIMARY,
Y,2024-12-02 03:37:45.086556 +00:00,2024-12-02 03:37:45.086556 +00:00,"RO filter, IoCare and with Ice",,COLD_HOT_PURIFIED_ICE,,REVERSE_OSMOSIS,f38e37950f7240411827ce874649b98f,COUNTER_TOP,NECOA,WATER_PURIFIER,WP_113713,CHPI-1500L_GR,NECOA RO ICE C/T Pebble Gray,NECOA_ROICE,PRODUCT,PRIMARY,
Y,2024-12-02 03:37:45.086608 +00:00,2024-12-02 03:37:45.086608 +00:00,a premium water filter that combines activated carbon and silver-coated media to provide exceptional water purification and antibacterial protection,,MICRO_PARTICLE_REMOVAL,,,00899ea9be58923037e843625d484467,,NECOA,WATER_PURIFIER_FILTER,WPF_1236538,,Double filter-set (NANO SHIELD MEMBRANE + H-CB+),NECOA_WATER_PURIFIER_FILTER,FILTER,SECONDARY,
Y,2024-12-02 03:37:45.086656 +00:00,2024-12-02 03:37:45.086656 +00:00,a premium water filter that combines activated carbon and silver-coated media to provide exceptional water purification and antibacterial protection,,BACTERIA_VIRUS_REMOVAL,,,7492b48cbb63facb919a6e5cae82da95,,NECOA,WATER_PURIFIER_FILTER,WPF_113686,,Z-RO Direct,NECOA_WATER_PURIFIER_FILTER,FILTER,SECONDARY,
Y,2024-12-02 03:37:45.086705 +00:00,2024-12-02 03:37:45.086705 +00:00,a premium water filter that combines activated carbon and silver-coated media to provide exceptional water purification and antibacterial protection,,VOC_REMOVAL,,,2698c42f2f7323fb3252a7e7c8b3a782,,NECOA,WATER_PURIFIER_FILTER,WPF_113689,,V-CB Dual +,NECOA_WATER_PURIFIER_FILTER,FILTER,SECONDARY,
Y,2024-12-02 03:37:45.086755 +00:00,2024-12-02 03:37:45.086755 +00:00,a premium water filter that combines activated carbon and silver-coated media to provide exceptional water purification and antibacterial protection,,TASTE_IMPROVEMENT,,,eff6d47a55fd36d59deaee48dbf657b2,,NECOA,WATER_PURIFIER_FILTER,WPF_214119,,A-CB dual,NECOA_WATER_PURIFIER_FILTER,FILTER,SECONDARY,
Y,2024-12-02 03:37:45.086804 +00:00,2024-12-02 03:37:45.086804 +00:00,"a premium water filter that utilizes reverse osmosis technology to remove over 99% of impurities, providing you with exceptionally clean and safe drinking water",,HEAVY_METAL_REMOVAL,,,8019fbe5ffeec146931586d7cd9b0bd9,,NECOA,WATER_PURIFIER_FILTER,WPF_214121,,Z-RO,NECOA_WATER_PURIFIER_FILTER,FILTER,SECONDARY,
Y,2024-12-02 03:37:45.086852 +00:00,2024-12-02 03:37:45.086852 +00:00,a premium water filter that combines activated carbon and silver-coated media to provide exceptional water purification and antibacterial protection,,SEDIMENT_REMOVAL,,,af7bf66ad411da9485851e08ff6ab22e,,NECOA,WATER_PURIFIER_FILTER,WPF_214122,,V-CB dual,NECOA_WATER_PURIFIER_FILTER,FILTER,SECONDARY,
Y,2024-12-02 03:37:45.086901 +00:00,2024-12-02 03:37:45.086901 +00:00,"a stylish and functional water filter faucet that provides clean, filtered drinking water directly from your tap",,FAUCET,,,3a9c554ae05f5016998d2de425815535,,NECOA,WATER_PURIFIER_PART,WPP_1237710,,DECO-FAUCET WATER,NECOA_WATER_PURIFIER_PART,PART,SECONDARY,
Y,2024-12-02 03:37:45.086949 +00:00,2024-12-02 03:37:45.086949 +00:00,"removing obstructions, debris, and blockages from pipes to restore proper flow and prevent damage",,WATER_LEAK_DETECTOR,,,1c3e66510fcc793b44329db4a3230849,,NECOA,WATER_PURIFIER_PART,WPP_9244425,,PIPE-EXTRACTION,NECOA_WATER_PURIFIER_PART,PART,SECONDARY,
Y,2024-12-02 03:37:45.086998 +00:00,2024-12-02 03:37:45.086998 +00:00,A versatile tool for studying protein complexes and signaling pathways in cells,,SENSOR_ASSEMBLY,,,7f34e8f5db387c49556590476d984d77,,NECOA,WATER_PURIFIER_PART,WPP_1236625,,PBA-UV LED Assay,NECOA_WATER_PURIFIER_PART,PART,SECONDARY,
Y,2024-12-02 03:37:45.087046 +00:00,2024-12-02 03:37:45.087046 +00:00,"RO filter, IoCare and with Ice",,COLD_HOT_PURIFIED_ICE,,REVERSE_OSMOSIS,d8b54cea55f8809f69f429141076053d,COUNTER_TOP,NECOA,WATER_PURIFIER,WP_113727,CHPI-1500L_SL,NECOA RO ICE C/T Iron Silver,NECOA_ROICE,PRODUCT,PRIMARY,
Y,2024-12-02 03:37:45.087098 +00:00,2024-12-02 03:37:45.087098 +00:00,NT filter with intelligent filter monitoring(IoCare),,COLD_HOT_PURIFIED,,NANO_TRAP,50aff639500bd7f7530252c682471813,COUNTER_TOP,NECOA,WATER_PURIFIER,WP_113643,CHP-1200N_GR,NECOA NT C/T Pebble Gray,NECOA_NTCT,PRODUCT,PRIMARY,
Y,2024-12-02 03:37:45.087147 +00:00,2024-12-02 03:37:45.087147 +00:00,RO filter with intelligent filter monitoring,,COLD_HOT_PURIFIED,,REVERSE_OSMOSIS,f9233337922cf6737dcf0c0f190e869f,COUNTER_TOP,NECOA,WATER_PURIFIER,WP_113785,CHP-1300L_BG,NECOA RO C/T Bronze Beige,NECOA_ROCT,PRODUCT,PRIMARY,
Y,2024-12-02 03:37:45.087196 +00:00,2024-12-02 03:37:45.087196 +00:00,RO filter with intelligent filter monitoring,,COLD_HOT_PURIFIED,,REVERSE_OSMOSIS,74386c17a36c6d050a520939fe99687f,COUNTER_TOP,NECOA,WATER_PURIFIER,WP_113786,CHP-1300L_BU,NECOA RO C/T Icy Blue,NECOA_ROCT,PRODUCT,PRIMARY,
Y,2024-12-02 03:37:45.087246 +00:00,2024-12-02 03:37:45.087246 +00:00,RO filter with intelligent filter monitoring,,COLD_HOT_PURIFIED,,REVERSE_OSMOSIS,396f5fda47628c2e2307ee36e9b24c2e,COUNTER_TOP,NECOA,WATER_PURIFIER,WP_113729,CHP-1300L_SL,NECOA RO C/T Iron Silver,NECOA_ROCT,PRODUCT,PRIMARY,
Y,2024-12-02 03:37:45.087294 +00:00,2024-12-02 03:37:45.087294 +00:00,RO filter with intelligent filter monitoring,,COLD_HOT_PURIFIED,,REVERSE_OSMOSIS,96e2a96cb4eac1d764cedf16a11356b1,COUNTER_TOP,NECOA,WATER_PURIFIER,WP_113627,[QA Test]CHP-1300L_GR,[QA Test]NECOA RO C/T Pebble Gray,NECOA_ROCT,PRODUCT,PRIMARY,
