id,account_type,attribute_category,attribute_type,field_requirement,is_active
86,VENDOR,ATTRIBUTE,REFERRAL_CODE,NOT_ALLOWED,Y
87,VENDOR,ATTRIBUTE,CUSTOMER_INVOICE_ID,NOT_ALLOWED,Y
88,VENDOR,ATTRIBUTE,VENDOR_ID,REQUIRED,N
89,VENDOR,ATTRIBUTE,PAYOUT_ID,OPTIONAL,Y
90,VENDOR,ATTRIBUTE,VENDOR_INVOICE_ID,OPTIONAL,Y
91,VENDOR,ATTRIBUTE,PURCHASE_ORDER,OPTIONAL,Y
92,VENDOR,ATTRIBUTE,MATERIAL_ID,NOT_ALLOWED,Y
93,VENDOR,ATTRIBUTE,MATERIAL_TYPE,NOT_ALLOWED,Y
94,VENDOR,ATTRIBUTE,MATERIAL_CATEGORY_CODE,NOT_ALLOWED,Y
95,VENDOR,ATTRIBUTE,PRODUCT_CATEGORY,NOT_ALLOWED,Y
96,VENDOR,ATTRIBUTE,MATERIAL_SERIES_CODE,NOT_ALLOWED,Y
97,VENDOR,ATTRIBUTE,INSTALLATION_TYPE,NOT_ALLOWED,Y
98,VENDOR,ATTRIBUTE,FILTER_TYPE,NOT_ALLOWED,Y
99,VENDOR,ATTRIBUTE,FEATURE_TYPE,NOT_ALLOWED,Y
100,MATERIAL,ASSIGNMENT,COST_CENTER,NOT_ALLOWED,N
101,MATERIAL,ASSIGNMENT,PROFIT_CENTER,NOT_ALLOWED,N
102,MATERIAL,ASSIGNMENT,SEGMENT,NOT_ALLOWED,N
103,MATERIAL,ASSIGNMENT,PROJECT,NOT_ALLOWED,N
104,MATERIAL,ATTRIBUTE,CUSTOMER_ID,NOT_ALLOWED,N
105,MATERIAL,ATTRIBUTE,ORDER_ID,NOT_ALLOWED,Y
106,MATERIAL,ATTRIBUTE,ORDER_ITEM_ID,NOT_ALLOWED,Y
107,MATERIAL,ATTRIBUTE,CONTRACT_ID,NOT_ALLOWED,Y
108,MATERIAL,ATTRIBUTE,SERIAL_NUMBER,NOT_ALLOWED,Y
109,MATERIAL,ATTRIBUTE,SALES_TYPE,NOT_ALLOWED,Y
110,MATERIAL,ATTRIBUTE,SALES_ITEM,NOT_ALLOWED,Y
111,MATERIAL,ATTRIBUTE,RENTAL_CODE,NOT_ALLOWED,Y
112,MATERIAL,ATTRIBUTE,LEASE_TYPE,NOT_ALLOWED,Y
113,MATERIAL,ATTRIBUTE,CONTRACT_DURATION,NOT_ALLOWED,Y
114,MATERIAL,ATTRIBUTE,COMMITMENT_DURATION,OPTIONAL,Y
115,MATERIAL,ATTRIBUTE,CURRENT_TERM,NOT_ALLOWED,Y
116,MATERIAL,ATTRIBUTE,CHANNEL_TYPE,NOT_ALLOWED,Y
117,MATERIAL,ATTRIBUTE,CHANNEL_NAME,NOT_ALLOWED,Y
118,MATERIAL,ATTRIBUTE,CHANNEL_DETAIL,NOT_ALLOWED,Y
119,MATERIAL,ATTRIBUTE,REFERRAL_CODE,NOT_ALLOWED,Y
120,MATERIAL,ATTRIBUTE,CUSTOMER_INVOICE_ID,NOT_ALLOWED,Y
121,MATERIAL,ATTRIBUTE,VENDOR_ID,REQUIRED,N
122,MATERIAL,ATTRIBUTE,PAYOUT_ID,OPTIONAL,Y
123,MATERIAL,ATTRIBUTE,VENDOR_INVOICE_ID,OPTIONAL,Y
124,MATERIAL,ATTRIBUTE,PURCHASE_ORDER,OPTIONAL,Y
125,MATERIAL,ATTRIBUTE,MATERIAL_ID,OPTIONAL,Y
126,MATERIAL,ATTRIBUTE,MATERIAL_TYPE,OPTIONAL,Y
127,MATERIAL,ATTRIBUTE,MATERIAL_CATEGORY_CODE,OPTIONAL,Y
128,MATERIAL,ATTRIBUTE,PRODUCT_CATEGORY,OPTIONAL,Y
129,MATERIAL,ATTRIBUTE,MATERIAL_SERIES_CODE,OPTIONAL,Y
130,MATERIAL,ATTRIBUTE,INSTALLATION_TYPE,OPTIONAL,Y
131,MATERIAL,ATTRIBUTE,FILTER_TYPE,OPTIONAL,Y
132,MATERIAL,ATTRIBUTE,FEATURE_TYPE,OPTIONAL,Y
133,SALES,ASSIGNMENT,COST_CENTER,REQUIRED,N
134,SALES,ASSIGNMENT,PROFIT_CENTER,OPTIONAL,N
135,SALES,ASSIGNMENT,SEGMENT,OPTIONAL,N
136,SALES,ASSIGNMENT,PROJECT,OPTIONAL,N
137,SALES,ATTRIBUTE,CUSTOMER_ID,REQUIRED,N
138,SALES,ATTRIBUTE,ORDER_ID,REQUIRED,Y
139,SALES,ATTRIBUTE,ORDER_ITEM_ID,REQUIRED,Y
140,SALES,ATTRIBUTE,CONTRACT_ID,OPTIONAL,Y
141,SALES,ATTRIBUTE,SERIAL_NUMBER,OPTIONAL,Y
142,SALES,ATTRIBUTE,SALES_TYPE,REQUIRED,Y
143,SALES,ATTRIBUTE,SALES_ITEM,REQUIRED,Y
144,SALES,ATTRIBUTE,RENTAL_CODE,OPTIONAL,Y
145,SALES,ATTRIBUTE,LEASE_TYPE,OPTIONAL,Y
146,SALES,ATTRIBUTE,CONTRACT_DURATION,OPTIONAL,Y
147,SALES,ATTRIBUTE,COMMITMENT_DURATION,OPTIONAL,Y
148,SALES,ATTRIBUTE,CURRENT_TERM,OPTIONAL,Y
149,SALES,ATTRIBUTE,CHANNEL_TYPE,OPTIONAL,Y
150,SALES,ATTRIBUTE,CHANNEL_NAME,OPTIONAL,Y
151,SALES,ATTRIBUTE,CHANNEL_DETAIL,OPTIONAL,Y
152,SALES,ATTRIBUTE,REFERRAL_CODE,OPTIONAL,Y
153,SALES,ATTRIBUTE,CUSTOMER_INVOICE_ID,OPTIONAL,Y
154,SALES,ATTRIBUTE,VENDOR_ID,NOT_ALLOWED,N
155,SALES,ATTRIBUTE,PAYOUT_ID,NOT_ALLOWED,Y
156,SALES,ATTRIBUTE,VENDOR_INVOICE_ID,NOT_ALLOWED,Y
157,SALES,ATTRIBUTE,PURCHASE_ORDER,NOT_ALLOWED,Y
158,SALES,ATTRIBUTE,MATERIAL_ID,OPTIONAL,Y
159,SALES,ATTRIBUTE,MATERIAL_TYPE,OPTIONAL,Y
160,SALES,ATTRIBUTE,MATERIAL_CATEGORY_CODE,OPTIONAL,Y
161,SALES,ATTRIBUTE,PRODUCT_CATEGORY,OPTIONAL,Y
162,SALES,ATTRIBUTE,MATERIAL_SERIES_CODE,OPTIONAL,Y
163,SALES,ATTRIBUTE,INSTALLATION_TYPE,OPTIONAL,Y
164,SALES,ATTRIBUTE,FILTER_TYPE,OPTIONAL,Y
165,SALES,ATTRIBUTE,FEATURE_TYPE,OPTIONAL,Y
166,COGS,ASSIGNMENT,COST_CENTER,REQUIRED,N
167,COGS,ASSIGNMENT,PROFIT_CENTER,OPTIONAL,N
168,COGS,ASSIGNMENT,SEGMENT,OPTIONAL,N
169,COGS,ASSIGNMENT,PROJECT,OPTIONAL,N
170,COGS,ATTRIBUTE,CUSTOMER_ID,OPTIONAL,N
171,COGS,ATTRIBUTE,ORDER_ID,OPTIONAL,Y
172,COGS,ATTRIBUTE,ORDER_ITEM_ID,OPTIONAL,Y
173,COGS,ATTRIBUTE,CONTRACT_ID,OPTIONAL,Y
174,COGS,ATTRIBUTE,SERIAL_NUMBER,OPTIONAL,Y
175,COGS,ATTRIBUTE,SALES_TYPE,OPTIONAL,Y
176,COGS,ATTRIBUTE,SALES_ITEM,OPTIONAL,Y
177,COGS,ATTRIBUTE,RENTAL_CODE,OPTIONAL,Y
178,COGS,ATTRIBUTE,LEASE_TYPE,OPTIONAL,Y
179,COGS,ATTRIBUTE,CONTRACT_DURATION,OPTIONAL,Y
180,COGS,ATTRIBUTE,COMMITMENT_DURATION,OPTIONAL,Y
181,COGS,ATTRIBUTE,CURRENT_TERM,OPTIONAL,Y
182,COGS,ATTRIBUTE,CHANNEL_TYPE,OPTIONAL,Y
183,COGS,ATTRIBUTE,CHANNEL_NAME,OPTIONAL,Y
184,COGS,ATTRIBUTE,CHANNEL_DETAIL,OPTIONAL,Y
185,COGS,ATTRIBUTE,REFERRAL_CODE,OPTIONAL,Y
186,COGS,ATTRIBUTE,CUSTOMER_INVOICE_ID,OPTIONAL,Y
187,COGS,ATTRIBUTE,VENDOR_ID,NOT_ALLOWED,N
188,COGS,ATTRIBUTE,PAYOUT_ID,NOT_ALLOWED,Y
189,COGS,ATTRIBUTE,VENDOR_INVOICE_ID,NOT_ALLOWED,Y
190,COGS,ATTRIBUTE,PURCHASE_ORDER,NOT_ALLOWED,Y
191,COGS,ATTRIBUTE,MATERIAL_ID,OPTIONAL,Y
192,COGS,ATTRIBUTE,MATERIAL_TYPE,OPTIONAL,Y
193,COGS,ATTRIBUTE,MATERIAL_CATEGORY_CODE,OPTIONAL,Y
194,COGS,ATTRIBUTE,PRODUCT_CATEGORY,OPTIONAL,Y
195,COGS,ATTRIBUTE,MATERIAL_SERIES_CODE,OPTIONAL,Y
196,COGS,ATTRIBUTE,INSTALLATION_TYPE,OPTIONAL,Y
197,COGS,ATTRIBUTE,FILTER_TYPE,OPTIONAL,Y
198,COGS,ATTRIBUTE,FEATURE_TYPE,OPTIONAL,Y
199,GENERAL,ASSIGNMENT,COST_CENTER,REQUIRED,N
200,GENERAL,ASSIGNMENT,PROFIT_CENTER,OPTIONAL,N
201,GENERAL,ASSIGNMENT,SEGMENT,OPTIONAL,N
202,GENERAL,ASSIGNMENT,PROJECT,OPTIONAL,N
203,GENERAL,ATTRIBUTE,CUSTOMER_ID,OPTIONAL,N
204,GENERAL,ATTRIBUTE,ORDER_ID,OPTIONAL,Y
205,GENERAL,ATTRIBUTE,ORDER_ITEM_ID,OPTIONAL,Y
206,GENERAL,ATTRIBUTE,CONTRACT_ID,OPTIONAL,Y
207,GENERAL,ATTRIBUTE,SERIAL_NUMBER,OPTIONAL,Y
208,GENERAL,ATTRIBUTE,SALES_TYPE,OPTIONAL,Y
209,GENERAL,ATTRIBUTE,SALES_ITEM,OPTIONAL,Y
210,GENERAL,ATTRIBUTE,RENTAL_CODE,OPTIONAL,Y
211,GENERAL,ATTRIBUTE,LEASE_TYPE,OPTIONAL,Y
212,GENERAL,ATTRIBUTE,CONTRACT_DURATION,OPTIONAL,Y
213,GENERAL,ATTRIBUTE,COMMITMENT_DURATION,OPTIONAL,Y
214,GENERAL,ATTRIBUTE,CURRENT_TERM,OPTIONAL,Y
215,GENERAL,ATTRIBUTE,CHANNEL_TYPE,OPTIONAL,Y
216,GENERAL,ATTRIBUTE,CHANNEL_NAME,OPTIONAL,Y
217,GENERAL,ATTRIBUTE,CHANNEL_DETAIL,OPTIONAL,Y
218,GENERAL,ATTRIBUTE,REFERRAL_CODE,OPTIONAL,Y
219,GENERAL,ATTRIBUTE,CUSTOMER_INVOICE_ID,OPTIONAL,Y
220,GENERAL,ATTRIBUTE,VENDOR_ID,OPTIONAL,N
221,GENERAL,ATTRIBUTE,PAYOUT_ID,OPTIONAL,Y
222,GENERAL,ATTRIBUTE,VENDOR_INVOICE_ID,OPTIONAL,Y
223,GENERAL,ATTRIBUTE,PURCHASE_ORDER,OPTIONAL,Y
224,GENERAL,ATTRIBUTE,MATERIAL_ID,OPTIONAL,Y
225,GENERAL,ATTRIBUTE,MATERIAL_TYPE,OPTIONAL,Y
226,GENERAL,ATTRIBUTE,MATERIAL_CATEGORY_CODE,OPTIONAL,Y
227,GENERAL,ATTRIBUTE,PRODUCT_CATEGORY,OPTIONAL,Y
228,GENERAL,ATTRIBUTE,MATERIAL_SERIES_CODE,OPTIONAL,Y
229,GENERAL,ATTRIBUTE,INSTALLATION_TYPE,OPTIONAL,Y
230,GENERAL,ATTRIBUTE,FILTER_TYPE,OPTIONAL,Y
231,GENERAL,ATTRIBUTE,FEATURE_TYPE,OPTIONAL,Y
