id,material_model_name_prefix,rental_code,material_care_type,price,currency,tax_included,period_type,start_date
28,CHP-1300L,32N00A,HOME_CARE,42.00,USD,N,MONTHLY,2024-01-01
29,CHP-1300L,32200A,HOME_CARE,35.00,USD,N,MONTHLY,2024-01-01
30,CHP-1300L,34000A,HOME_CARE,35.00,USD,N,MONTHLY,2024-01-01
31,CHP-1300L,50000A,HOME_CARE,45.00,USD,N,MONTHLY,2024-01-01
32,CHP-1300L,5N000A,HOME_CARE,45.00,USD,N,MONTHLY,2024-01-01
33,CHP-1300L,52000A,HOME_CARE,33.00,USD,N,MONTHLY,2024-01-01
34,CHP-1300L,70000A,HOME_CARE,40.00,USD,N,MONTHLY,2024-01-01
35,CHP-1200N,N0000A,SELF_CARE,93.00,USD,N,MONTHLY,2024-01-01
36,CHP-1200N,N3000A,SELF_CARE,65.00,USD,N,MONTHLY,2024-01-01
37,CHP-1200N,N3N00A,SELF_CARE,65.00,USD,N,MONTHLY,2024-01-01
38,CHP-1200N,N3200A,SELF_CARE,46.00,USD,N,MONTHLY,2024-01-01
39,CHP-1200N,N32N0A,SELF_CARE,46.00,USD,N,MONTHLY,2024-01-01
40,CHP-1200N,N5000A,SELF_CARE,36.00,USD,N,MONTHLY,2024-01-01
41,CHP-1200N,N5N00A,SELF_CARE,50.00,USD,N,MONTHLY,2024-01-01
42,CHP-1200N,30000A,SELF_CARE,65.00,USD,N,MONTHLY,2024-01-01
43,CHP-1200N,3N000A,SELF_CARE,65.00,USD,N,MONTHLY,2024-01-01
44,CHP-1200N,32000A,SELF_CARE,46.00,USD,N,MONTHLY,2024-01-01
45,CHP-1200N,32N00A,SELF_CARE,46.00,USD,N,MONTHLY,2024-01-01
46,CHP-1200N,32200A,SELF_CARE,36.00,USD,N,MONTHLY,2024-01-01
47,CHP-1200N,34000A,SELF_CARE,36.00,USD,N,MONTHLY,2024-01-01
48,CHP-1200N,50000A,SELF_CARE,36.00,USD,N,MONTHLY,2024-01-01
49,CHP-1200N,5N000A,SELF_CARE,50.00,USD,N,MONTHLY,2024-01-01
50,CHP-1200N,52000A,SELF_CARE,33.00,USD,N,MONTHLY,2024-01-01
51,CHP-1200N,70000A,SELF_CARE,43.00,USD,N,MONTHLY,2024-01-01
52,CHP-1200N,N0000A,HOME_CARE,103.00,USD,N,MONTHLY,2024-01-01
53,CHP-1200N,N3000A,HOME_CARE,75.00,USD,N,MONTHLY,2024-01-01
54,CHP-1200N,N3N00A,HOME_CARE,75.00,USD,N,MONTHLY,2024-01-01
55,CHP-1200N,N3200A,HOME_CARE,56.00,USD,N,MONTHLY,2024-01-01
56,CHP-1200N,N32N0A,HOME_CARE,56.00,USD,N,MONTHLY,2024-01-01
57,CHP-1200N,N5000A,HOME_CARE,46.00,USD,N,MONTHLY,2024-01-01
58,CHP-1200N,N5N00A,HOME_CARE,60.00,USD,N,MONTHLY,2024-01-01
59,CHP-1200N,30000A,HOME_CARE,75.00,USD,N,MONTHLY,2024-01-01
60,CHP-1200N,3N000A,HOME_CARE,75.00,USD,N,MONTHLY,2024-01-01
61,CHP-1200N,32000A,HOME_CARE,56.00,USD,N,MONTHLY,2024-01-01
62,CHP-1200N,32N00A,HOME_CARE,56.00,USD,N,MONTHLY,2024-01-01
63,CHP-1200N,32200A,HOME_CARE,46.00,USD,N,MONTHLY,2024-01-01
64,CHP-1200N,34000A,HOME_CARE,46.00,USD,N,MONTHLY,2024-01-01
65,CHP-1200N,50000A,HOME_CARE,46.00,USD,N,MONTHLY,2024-01-01
66,CHP-1200N,5N000A,HOME_CARE,60.00,USD,N,MONTHLY,2024-01-01
67,CHP-1200N,52000A,HOME_CARE,43.00,USD,N,MONTHLY,2024-01-01
68,CHP-1200N,70000A,HOME_CARE,53.00,USD,N,MONTHLY,2024-01-01
69,CHPI-1500L,N0000A,SELF_CARE,65.00,USD,N,MONTHLY,2024-01-01
70,CHPI-1500L,N3000A,SELF_CARE,45.00,USD,N,MONTHLY,2024-01-01
71,CHPI-1500L,N3N00A,SELF_CARE,45.00,USD,N,MONTHLY,2024-01-01
72,CHPI-1500L,N3200A,SELF_CARE,32.00,USD,N,MONTHLY,2024-01-01
73,CHPI-1500L,N32N0A,SELF_CARE,32.00,USD,N,MONTHLY,2024-01-01
74,CHPI-1500L,N5000A,SELF_CARE,35.00,USD,N,MONTHLY,2024-01-01
75,CHPI-1500L,N5N00A,SELF_CARE,35.00,USD,N,MONTHLY,2024-01-01
76,CHPI-1500L,30000A,SELF_CARE,45.00,USD,N,MONTHLY,2024-01-01
77,CHPI-1500L,3N000A,SELF_CARE,45.00,USD,N,MONTHLY,2024-01-01
78,CHPI-1500L,32000A,SELF_CARE,32.00,USD,N,MONTHLY,2024-01-01
79,CHPI-1500L,32N00A,SELF_CARE,32.00,USD,N,MONTHLY,2024-01-01
80,CHPI-1500L,32200A,SELF_CARE,25.00,USD,N,MONTHLY,2024-01-01
81,CHPI-1500L,34000A,SELF_CARE,25.00,USD,N,MONTHLY,2024-01-01
82,CHPI-1500L,50000A,SELF_CARE,35.00,USD,N,MONTHLY,2024-01-01
83,CHPI-1500L,5N000A,SELF_CARE,35.00,USD,N,MONTHLY,2024-01-01
84,CHPI-1500L,52000A,SELF_CARE,23.00,USD,N,MONTHLY,2024-01-01
85,CHPI-1500L,70000A,SELF_CARE,30.00,USD,N,MONTHLY,2024-01-01
86,CHPI-1500L,N0000A,HOME_CARE,75.00,USD,N,MONTHLY,2024-01-01
87,CHPI-1500L,N3000A,HOME_CARE,55.00,USD,N,MONTHLY,2024-01-01
88,CHPI-1500L,N3N00A,HOME_CARE,55.00,USD,N,MONTHLY,2024-01-01
89,CHPI-1500L,N3200A,HOME_CARE,42.00,USD,N,MONTHLY,2024-01-01
90,CHPI-1500L,N32N0A,HOME_CARE,42.00,USD,N,MONTHLY,2024-01-01
91,CHPI-1500L,N5000A,HOME_CARE,45.00,USD,N,MONTHLY,2024-01-01
92,CHPI-1500L,N5N00A,HOME_CARE,45.00,USD,N,MONTHLY,2024-01-01
93,CHPI-1500L,30000A,HOME_CARE,55.00,USD,N,MONTHLY,2024-01-01
94,CHPI-1500L,3N000A,HOME_CARE,55.00,USD,N,MONTHLY,2024-01-01
95,CHPI-1500L,32000A,HOME_CARE,42.00,USD,N,MONTHLY,2024-01-01
96,CHPI-1500L,32N00A,HOME_CARE,42.00,USD,N,MONTHLY,2024-01-01
97,CHPI-1500L,32200A,HOME_CARE,35.00,USD,N,MONTHLY,2024-01-01
98,CHPI-1500L,34000A,HOME_CARE,35.00,USD,N,MONTHLY,2024-01-01
99,CHPI-1500L,50000A,HOME_CARE,45.00,USD,N,MONTHLY,2024-01-01
100,CHPI-1500L,5N000A,HOME_CARE,45.00,USD,N,MONTHLY,2024-01-01
101,CHPI-1500L,52000A,HOME_CARE,33.00,USD,N,MONTHLY,2024-01-01
102,CHPI-1500L,70000A,HOME_CARE,40.00,USD,N,MONTHLY,2024-01-01
103,HP-1100R,N0000A,SELF_CARE,64.00,USD,N,MONTHLY,2024-01-01
104,HP-1100R,N3000A,SELF_CARE,44.00,USD,N,MONTHLY,2024-01-01
105,HP-1100R,N3N00A,SELF_CARE,31.00,USD,N,MONTHLY,2024-01-01
106,HP-1100R,N3200A,SELF_CARE,31.00,USD,N,MONTHLY,2024-01-01
107,HP-1100R,N32N0A,SELF_CARE,31.00,USD,N,MONTHLY,2024-01-01
108,HP-1100R,N5000A,SELF_CARE,35.00,USD,N,MONTHLY,2024-01-01
109,HP-1100R,N5N00A,SELF_CARE,35.00,USD,N,MONTHLY,2024-01-01
110,HP-1100R,30000A,SELF_CARE,44.00,USD,N,MONTHLY,2024-01-01
111,HP-1100R,3N000A,SELF_CARE,31.00,USD,N,MONTHLY,2024-01-01
112,HP-1100R,32000A,SELF_CARE,31.00,USD,N,MONTHLY,2024-01-01
113,HP-1100R,32N00A,SELF_CARE,31.00,USD,N,MONTHLY,2024-01-01
114,HP-1100R,32200A,SELF_CARE,25.00,USD,N,MONTHLY,2024-01-01
115,HP-1100R,34000A,SELF_CARE,25.00,USD,N,MONTHLY,2024-01-01
116,HP-1100R,50000A,SELF_CARE,35.00,USD,N,MONTHLY,2024-01-01
117,HP-1100R,5N000A,SELF_CARE,35.00,USD,N,MONTHLY,2024-01-01
118,HP-1100R,52000A,SELF_CARE,23.00,USD,N,MONTHLY,2024-01-01
119,HP-1100R,70000A,SELF_CARE,30.00,USD,N,MONTHLY,2024-01-01
120,HP-1100R,N0000A,HOME_CARE,74.00,USD,N,MONTHLY,2024-01-01
121,HP-1100R,N3000A,HOME_CARE,54.00,USD,N,MONTHLY,2024-01-01
122,HP-1100R,N3N00A,HOME_CARE,41.00,USD,N,MONTHLY,2024-01-01
123,HP-1100R,N3200A,HOME_CARE,41.00,USD,N,MONTHLY,2024-01-01
124,HP-1100R,N32N0A,HOME_CARE,41.00,USD,N,MONTHLY,2024-01-01
125,HP-1100R,N5000A,HOME_CARE,45.00,USD,N,MONTHLY,2024-01-01
126,HP-1100R,N5N00A,HOME_CARE,45.00,USD,N,MONTHLY,2024-01-01
127,HP-1100R,30000A,HOME_CARE,54.00,USD,N,MONTHLY,2024-01-01
128,HP-1100R,3N000A,HOME_CARE,41.00,USD,N,MONTHLY,2024-01-01
129,HP-1100R,32000A,HOME_CARE,41.00,USD,N,MONTHLY,2024-01-01
130,HP-1100R,32N00A,HOME_CARE,41.00,USD,N,MONTHLY,2024-01-01
131,HP-1100R,32200A,HOME_CARE,35.00,USD,N,MONTHLY,2024-01-01
132,HP-1100R,34000A,HOME_CARE,35.00,USD,N,MONTHLY,2024-01-01
133,HP-1100R,50000A,HOME_CARE,45.00,USD,N,MONTHLY,2024-01-01
134,HP-1100R,5N000A,HOME_CARE,45.00,USD,N,MONTHLY,2024-01-01
135,HP-1100R,52000A,HOME_CARE,33.00,USD,N,MONTHLY,2024-01-01
136,HP-1100R,70000A,HOME_CARE,40.00,USD,N,MONTHLY,2024-01-01
137,CHP-1100R,N0000A,SELF_CARE,79.00,USD,N,MONTHLY,2024-01-01
138,CHP-1100R,N3000A,SELF_CARE,55.00,USD,N,MONTHLY,2024-01-01
139,CHP-1100R,N3N00A,SELF_CARE,55.00,USD,N,MONTHLY,2024-01-01
140,CHP-1100R,N3200A,SELF_CARE,39.00,USD,N,MONTHLY,2024-01-01
141,CHP-1100R,N32N0A,SELF_CARE,39.00,USD,N,MONTHLY,2024-01-01
142,CHP-1100R,N5000A,SELF_CARE,43.00,USD,N,MONTHLY,2024-01-01
143,CHP-1100R,N5N00A,SELF_CARE,43.00,USD,N,MONTHLY,2024-01-01
144,CHP-1100R,30000A,SELF_CARE,55.00,USD,N,MONTHLY,2024-01-01
145,CHP-1100R,3N000A,SELF_CARE,55.00,USD,N,MONTHLY,2024-01-01
146,CHP-1100R,32000A,SELF_CARE,39.00,USD,N,MONTHLY,2024-01-01
147,CHP-1100R,32N00A,SELF_CARE,39.00,USD,N,MONTHLY,2024-01-01
148,CHP-1100R,32200A,SELF_CARE,31.00,USD,N,MONTHLY,2024-01-01
149,CHP-1100R,34000A,SELF_CARE,31.00,USD,N,MONTHLY,2024-01-01
150,CHP-1100R,50000A,SELF_CARE,43.00,USD,N,MONTHLY,2024-01-01
151,CHP-1100R,5N000A,SELF_CARE,43.00,USD,N,MONTHLY,2024-01-01
152,CHP-1100R,52000A,SELF_CARE,28.00,USD,N,MONTHLY,2024-01-01
153,CHP-1100R,70000A,SELF_CARE,37.00,USD,N,MONTHLY,2024-01-01
154,CHP-1100R,N0000A,HOME_CARE,89.00,USD,N,MONTHLY,2024-01-01
155,CHP-1100R,N3000A,HOME_CARE,65.00,USD,N,MONTHLY,2024-01-01
156,CHP-1100R,N3N00A,HOME_CARE,65.00,USD,N,MONTHLY,2024-01-01
157,CHP-1100R,N3200A,HOME_CARE,49.00,USD,N,MONTHLY,2024-01-01
158,CHP-1100R,N32N0A,HOME_CARE,49.00,USD,N,MONTHLY,2024-01-01
159,CHP-1100R,N5000A,HOME_CARE,53.00,USD,N,MONTHLY,2024-01-01
160,CHP-1100R,N5N00A,HOME_CARE,53.00,USD,N,MONTHLY,2024-01-01
161,CHP-1100R,30000A,HOME_CARE,65.00,USD,N,MONTHLY,2024-01-01
162,CHP-1100R,3N000A,HOME_CARE,65.00,USD,N,MONTHLY,2024-01-01
163,CHP-1100R,32000A,HOME_CARE,49.00,USD,N,MONTHLY,2024-01-01
164,CHP-1100R,32N00A,HOME_CARE,49.00,USD,N,MONTHLY,2024-01-01
165,CHP-1100R,32200A,HOME_CARE,41.00,USD,N,MONTHLY,2024-01-01
166,CHP-1100R,34000A,HOME_CARE,41.00,USD,N,MONTHLY,2024-01-01
167,CHP-1100R,50000A,HOME_CARE,53.00,USD,N,MONTHLY,2024-01-01
168,CHP-1100R,5N000A,HOME_CARE,53.00,USD,N,MONTHLY,2024-01-01
169,CHP-1100R,52000A,HOME_CARE,38.00,USD,N,MONTHLY,2024-01-01
170,CHP-1100R,70000A,HOME_CARE,47.00,USD,N,MONTHLY,2024-01-01
171,CHP-1110N,N0000A,SELF_CARE,71.00,USD,N,MONTHLY,2024-01-01
172,CHP-1110N,N3000A,SELF_CARE,49.00,USD,N,MONTHLY,2024-01-01
173,CHP-1110N,N3N00A,SELF_CARE,49.00,USD,N,MONTHLY,2024-01-01
174,CHP-1110N,N3200A,SELF_CARE,35.00,USD,N,MONTHLY,2024-01-01
175,CHP-1110N,N32N0A,SELF_CARE,35.00,USD,N,MONTHLY,2024-01-01
176,CHP-1110N,N5000A,SELF_CARE,39.00,USD,N,MONTHLY,2024-01-01
177,CHP-1110N,N5N00A,SELF_CARE,39.00,USD,N,MONTHLY,2024-01-01
178,CHP-1110N,30000A,SELF_CARE,49.00,USD,N,MONTHLY,2024-01-01
179,CHP-1110N,3N000A,SELF_CARE,49.00,USD,N,MONTHLY,2024-01-01
180,CHP-1110N,32000A,SELF_CARE,35.00,USD,N,MONTHLY,2024-01-01
181,CHP-1110N,32N00A,SELF_CARE,35.00,USD,N,MONTHLY,2024-01-01
182,CHP-1110N,32200A,SELF_CARE,27.00,USD,N,MONTHLY,2024-01-01
183,CHP-1110N,34000A,SELF_CARE,27.00,USD,N,MONTHLY,2024-01-01
184,CHP-1110N,50000A,SELF_CARE,39.00,USD,N,MONTHLY,2024-01-01
185,CHP-1110N,5N000A,SELF_CARE,39.00,USD,N,MONTHLY,2024-01-01
186,CHP-1110N,52000A,SELF_CARE,26.00,USD,N,MONTHLY,2024-01-01
187,CHP-1110N,70000A,SELF_CARE,33.00,USD,N,MONTHLY,2024-01-01
188,CHP-1110N,N0000A,HOME_CARE,81.00,USD,N,MONTHLY,2024-01-01
189,CHP-1110N,N3000A,HOME_CARE,59.00,USD,N,MONTHLY,2024-01-01
190,CHP-1110N,N3N00A,HOME_CARE,59.00,USD,N,MONTHLY,2024-01-01
191,CHP-1110N,N3200A,HOME_CARE,45.00,USD,N,MONTHLY,2024-01-01
192,CHP-1110N,N32N0A,HOME_CARE,45.00,USD,N,MONTHLY,2024-01-01
193,CHP-1110N,N5000A,HOME_CARE,49.00,USD,N,MONTHLY,2024-01-01
194,CHP-1110N,N5N00A,HOME_CARE,49.00,USD,N,MONTHLY,2024-01-01
195,CHP-1110N,30000A,HOME_CARE,59.00,USD,N,MONTHLY,2024-01-01
196,CHP-1110N,3N000A,HOME_CARE,59.00,USD,N,MONTHLY,2024-01-01
197,CHP-1110N,32000A,HOME_CARE,45.00,USD,N,MONTHLY,2024-01-01
198,CHP-1110N,32N00A,HOME_CARE,45.00,USD,N,MONTHLY,2024-01-01
199,CHP-1110N,32200A,HOME_CARE,37.00,USD,N,MONTHLY,2024-01-01
200,CHP-1110N,34000A,HOME_CARE,37.00,USD,N,MONTHLY,2024-01-01
201,CHP-1110N,50000A,HOME_CARE,49.00,USD,N,MONTHLY,2024-01-01
202,CHP-1110N,5N000A,HOME_CARE,49.00,USD,N,MONTHLY,2024-01-01
203,CHP-1110N,52000A,HOME_CARE,36.00,USD,N,MONTHLY,2024-01-01
204,CHP-1110N,70000A,HOME_CARE,43.00,USD,N,MONTHLY,2024-01-01
205,CHP-1300L,NXXXXA,SELF_CARE,65.00,USD,N,MONTHLY,2025-02-01
206,CHP-1300L,N3XXXA,SELF_CARE,45.00,USD,N,MONTHLY,2025-02-01
207,CHP-1300L,N30XXA,SELF_CARE,45.00,USD,N,MONTHLY,2025-02-01
208,CHP-1300L,N32XXA,SELF_CARE,32.00,USD,N,MONTHLY,2025-02-01
209,CHP-1300L,N320XA,SELF_CARE,32.00,USD,N,MONTHLY,2025-02-01
210,CHP-1300L,N5XXXA,SELF_CARE,35.00,USD,N,MONTHLY,2025-02-01
211,CHP-1300L,N50XXA,SELF_CARE,35.00,USD,N,MONTHLY,2025-02-01
212,CHP-1300L,3XXXXA,SELF_CARE,45.00,USD,N,MONTHLY,2025-02-01
213,CHP-1300L,30XXXA,SELF_CARE,45.00,USD,N,MONTHLY,2025-02-01
214,CHP-1300L,32XXXA,SELF_CARE,32.00,USD,N,MONTHLY,2025-02-01
215,CHP-1300L,320XXA,SELF_CARE,32.00,USD,N,MONTHLY,2025-02-01
216,CHP-1300L,322XXA,SELF_CARE,25.00,USD,N,MONTHLY,2025-02-01
217,CHP-1300L,34XXXA,SELF_CARE,25.00,USD,N,MONTHLY,2025-02-01
218,CHP-1300L,5XXXXA,SELF_CARE,35.00,USD,N,MONTHLY,2025-02-01
219,CHP-1300L,50XXXA,SELF_CARE,35.00,USD,N,MONTHLY,2025-02-01
220,CHP-1300L,52XXXA,SELF_CARE,23.00,USD,N,MONTHLY,2025-02-01
221,CHP-1300L,7XXXXA,SELF_CARE,30.00,USD,N,MONTHLY,2025-02-01
222,CHP-1300L,NXXXXA,HOME_CARE,75.00,USD,N,MONTHLY,2025-02-01
223,CHP-1300L,N3XXXA,HOME_CARE,55.00,USD,N,MONTHLY,2025-02-01
224,CHP-1300L,N30XXA,HOME_CARE,55.00,USD,N,MONTHLY,2025-02-01
225,CHP-1300L,N32XXA,HOME_CARE,42.00,USD,N,MONTHLY,2025-02-01
226,CHP-1300L,N320XA,HOME_CARE,42.00,USD,N,MONTHLY,2025-02-01
227,CHP-1300L,N5XXXA,HOME_CARE,45.00,USD,N,MONTHLY,2025-02-01
228,CHP-1300L,N50XXA,HOME_CARE,45.00,USD,N,MONTHLY,2025-02-01
229,CHP-1300L,3XXXXA,HOME_CARE,55.00,USD,N,MONTHLY,2025-02-01
230,CHP-1300L,30XXXA,HOME_CARE,55.00,USD,N,MONTHLY,2025-02-01
231,CHP-1300L,32XXXA,HOME_CARE,42.00,USD,N,MONTHLY,2025-02-01
232,CHP-1300L,320XXA,HOME_CARE,42.00,USD,N,MONTHLY,2025-02-01
233,CHP-1300L,322XXA,HOME_CARE,35.00,USD,N,MONTHLY,2025-02-01
234,CHP-1300L,34XXXA,HOME_CARE,35.00,USD,N,MONTHLY,2025-02-01
235,CHP-1300L,5XXXXA,HOME_CARE,45.00,USD,N,MONTHLY,2025-02-01
236,CHP-1300L,50XXXA,HOME_CARE,45.00,USD,N,MONTHLY,2025-02-01
237,CHP-1300L,52XXXA,HOME_CARE,33.00,USD,N,MONTHLY,2025-02-01
238,CHP-1300L,7XXXXA,HOME_CARE,40.00,USD,N,MONTHLY,2025-02-01
239,CHP-1200N,NXXXXA,SELF_CARE,93.00,USD,N,MONTHLY,2025-02-01
240,CHP-1200N,N3XXXA,SELF_CARE,65.00,USD,N,MONTHLY,2025-02-01
241,CHP-1200N,N30XXA,SELF_CARE,65.00,USD,N,MONTHLY,2025-02-01
242,CHP-1200N,N32XXA,SELF_CARE,46.00,USD,N,MONTHLY,2025-02-01
243,CHP-1200N,N320XA,SELF_CARE,46.00,USD,N,MONTHLY,2025-02-01
244,CHP-1200N,N5XXXA,SELF_CARE,36.00,USD,N,MONTHLY,2025-02-01
245,CHP-1200N,N50XXA,SELF_CARE,50.00,USD,N,MONTHLY,2025-02-01
246,CHP-1200N,3XXXXA,SELF_CARE,65.00,USD,N,MONTHLY,2025-02-01
247,CHP-1200N,30XXXA,SELF_CARE,65.00,USD,N,MONTHLY,2025-02-01
248,CHP-1200N,32XXXA,SELF_CARE,46.00,USD,N,MONTHLY,2025-02-01
249,CHP-1200N,320XXA,SELF_CARE,46.00,USD,N,MONTHLY,2025-02-01
250,CHP-1200N,322XXA,SELF_CARE,36.00,USD,N,MONTHLY,2025-02-01
251,CHP-1200N,34XXXA,SELF_CARE,36.00,USD,N,MONTHLY,2025-02-01
252,CHP-1200N,5XXXXA,SELF_CARE,36.00,USD,N,MONTHLY,2025-02-01
253,CHP-1200N,50XXXA,SELF_CARE,50.00,USD,N,MONTHLY,2025-02-01
254,CHP-1200N,52XXXA,SELF_CARE,33.00,USD,N,MONTHLY,2025-02-01
255,CHP-1200N,7XXXXA,SELF_CARE,43.00,USD,N,MONTHLY,2025-02-01
256,CHP-1200N,NXXXXA,HOME_CARE,103.00,USD,N,MONTHLY,2025-02-01
257,CHP-1200N,N3XXXA,HOME_CARE,75.00,USD,N,MONTHLY,2025-02-01
258,CHP-1200N,N30XXA,HOME_CARE,75.00,USD,N,MONTHLY,2025-02-01
259,CHP-1200N,N32XXA,HOME_CARE,56.00,USD,N,MONTHLY,2025-02-01
260,CHP-1200N,N320XA,HOME_CARE,56.00,USD,N,MONTHLY,2025-02-01
261,CHP-1200N,N5XXXA,HOME_CARE,46.00,USD,N,MONTHLY,2025-02-01
262,CHP-1200N,N50XXA,HOME_CARE,60.00,USD,N,MONTHLY,2025-02-01
263,CHP-1200N,3XXXXA,HOME_CARE,75.00,USD,N,MONTHLY,2025-02-01
264,CHP-1200N,30XXXA,HOME_CARE,75.00,USD,N,MONTHLY,2025-02-01
265,CHP-1200N,32XXXA,HOME_CARE,56.00,USD,N,MONTHLY,2025-02-01
266,CHP-1200N,320XXA,HOME_CARE,56.00,USD,N,MONTHLY,2025-02-01
267,CHP-1200N,322XXA,HOME_CARE,46.00,USD,N,MONTHLY,2025-02-01
268,CHP-1200N,34XXXA,HOME_CARE,46.00,USD,N,MONTHLY,2025-02-01
269,CHP-1200N,5XXXXA,HOME_CARE,46.00,USD,N,MONTHLY,2025-02-01
270,CHP-1200N,50XXXA,HOME_CARE,60.00,USD,N,MONTHLY,2025-02-01
271,CHP-1200N,52XXXA,HOME_CARE,43.00,USD,N,MONTHLY,2025-02-01
272,CHP-1200N,7XXXXA,HOME_CARE,53.00,USD,N,MONTHLY,2025-02-01
273,CHPI-1500L,NXXXXA,SELF_CARE,65.00,USD,N,MONTHLY,2025-02-01
274,CHPI-1500L,N3XXXA,SELF_CARE,45.00,USD,N,MONTHLY,2025-02-01
275,CHPI-1500L,N30XXA,SELF_CARE,45.00,USD,N,MONTHLY,2025-02-01
276,CHPI-1500L,N32XXA,SELF_CARE,32.00,USD,N,MONTHLY,2025-02-01
277,CHPI-1500L,N320XA,SELF_CARE,32.00,USD,N,MONTHLY,2025-02-01
278,CHPI-1500L,N5XXXA,SELF_CARE,35.00,USD,N,MONTHLY,2025-02-01
279,CHPI-1500L,N50XXA,SELF_CARE,35.00,USD,N,MONTHLY,2025-02-01
280,CHPI-1500L,3XXXXA,SELF_CARE,45.00,USD,N,MONTHLY,2025-02-01
281,CHPI-1500L,30XXXA,SELF_CARE,45.00,USD,N,MONTHLY,2025-02-01
282,CHPI-1500L,32XXXA,SELF_CARE,32.00,USD,N,MONTHLY,2025-02-01
283,CHPI-1500L,320XXA,SELF_CARE,32.00,USD,N,MONTHLY,2025-02-01
284,CHPI-1500L,322XXA,SELF_CARE,25.00,USD,N,MONTHLY,2025-02-01
285,CHPI-1500L,34XXXA,SELF_CARE,25.00,USD,N,MONTHLY,2025-02-01
286,CHPI-1500L,5XXXXA,SELF_CARE,35.00,USD,N,MONTHLY,2025-02-01
287,CHPI-1500L,50XXXA,SELF_CARE,35.00,USD,N,MONTHLY,2025-02-01
288,CHPI-1500L,52XXXA,SELF_CARE,23.00,USD,N,MONTHLY,2025-02-01
289,CHPI-1500L,7XXXXA,SELF_CARE,30.00,USD,N,MONTHLY,2025-02-01
290,CHPI-1500L,NXXXXA,HOME_CARE,75.00,USD,N,MONTHLY,2025-02-01
291,CHPI-1500L,N3XXXA,HOME_CARE,55.00,USD,N,MONTHLY,2025-02-01
292,CHPI-1500L,N30XXA,HOME_CARE,55.00,USD,N,MONTHLY,2025-02-01
293,CHPI-1500L,N32XXA,HOME_CARE,42.00,USD,N,MONTHLY,2025-02-01
294,CHPI-1500L,N320XA,HOME_CARE,42.00,USD,N,MONTHLY,2025-02-01
295,CHPI-1500L,N5XXXA,HOME_CARE,45.00,USD,N,MONTHLY,2025-02-01
296,CHPI-1500L,N50XXA,HOME_CARE,45.00,USD,N,MONTHLY,2025-02-01
297,CHPI-1500L,3XXXXA,HOME_CARE,55.00,USD,N,MONTHLY,2025-02-01
298,CHPI-1500L,30XXXA,HOME_CARE,55.00,USD,N,MONTHLY,2025-02-01
299,CHPI-1500L,32XXXA,HOME_CARE,42.00,USD,N,MONTHLY,2025-02-01
300,CHPI-1500L,320XXA,HOME_CARE,42.00,USD,N,MONTHLY,2025-02-01
