id,doc_id,version,doc_hash,doc_type,doc_status,workflow_status,workflow_id,document_date,posting_date,entry_date,fiscal_year,fiscal_month,company_code,tx_currency,tx_amount,currency,amount,reference,text,is_deleted,create_time,created_by,update_time,updated_by
11,SA2500300011,1,5b4737b1a5d92c650904e80a6a21621d,SA,NO,IN,,2024-12-25,2024-12-25,2025-01-03,2024,12,N200,USD,1461.3800,USD,1461.3800,0105436100016-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.263774,ONETIME,2025-01-03 11:57:14.190542,ONETIME
12,SA2500300012,1,5eec451138daaa782d652e123ca4b001,SA,NO,IN,,2024-12-18,2024-12-18,2025-01-03,2024,12,N200,USD,1461.3750,USD,1461.3750,0105435300045-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.264577,ONETIME,2025-01-03 11:57:14.191808,ONETIME
13,SA2500300013,1,058287c2384c35ffc45cf4ec10d6c49b,SA,NO,IN,,2024-12-04,2024-12-04,2025-01-03,2024,12,N200,USD,2197.4750,USD,2197.4750,0105434000002-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.264992,ONETIME,2025-01-03 11:57:14.193595,ONETIME
14,SA2500300014,1,6e23c66b61d6c7eefbb364ed87f296b7,SA,NO,IN,,2024-12-01,2024-12-01,2025-01-03,2024,12,N200,USD,1461.3750,USD,1461.3750,0105433700025-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.265373,ONETIME,2025-01-03 11:57:14.195567,ONETIME
15,SA2500300015,1,1aa80a4e307fee26cd91dacd7703307c,SA,NO,IN,,2024-12-01,2024-12-01,2025-01-03,2024,12,N200,USD,1461.3750,USD,1461.3750,0105433700025-0202,[일시불] 주문접수,N,2025-01-03 11:57:12.265715,ONETIME,2025-01-03 11:57:14.196719,ONETIME
16,SA2500300016,1,b5621e2c1b312abfc07a0aaf417e9339,SA,NO,IN,,2024-12-01,2024-12-01,2025-01-03,2024,12,N200,USD,1461.3750,USD,1461.3750,0105433700025-0602,[일시불] 주문접수,N,2025-01-03 11:57:12.266170,ONETIME,2025-01-03 11:57:14.197739,ONETIME
17,SA2500300017,1,752bc057cfd89668d0d9b7ca9ad15b8f,SA,NO,IN,,2024-12-08,2024-12-08,2025-01-03,2024,12,N200,USD,1461.3750,USD,1461.3750,0105434300022-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.266547,ONETIME,2025-01-03 11:57:14.198811,ONETIME
18,SA2500300018,1,4b2fadf80008995a057d6c430a908419,SA,NO,IN,,2024-12-08,2024-12-08,2025-01-03,2024,12,N200,USD,1461.3750,USD,1461.3750,0105434300022-0202,[일시불] 주문접수,N,2025-01-03 11:57:12.266874,ONETIME,2025-01-03 11:57:14.199793,ONETIME
19,SA2500300019,1,9ba27f62b48e78eda0115d8546003f81,SA,NO,IN,,2024-12-08,2024-12-08,2025-01-03,2024,12,N200,USD,1461.3750,USD,1461.3750,0105434300022-0302,[일시불] 주문접수,N,2025-01-03 11:57:12.267249,ONETIME,2025-01-03 11:57:14.200999,ONETIME
20,SA2500300020,1,4146dac2499f5e15ddf300d6c3d740d9,SA,NO,IN,,2024-12-30,2024-12-30,2025-01-03,2024,12,N200,USD,1461.3800,USD,1461.3800,0105436600008-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.267888,ONETIME,2025-01-03 11:57:14.201920,ONETIME
21,SA2500300021,1,1efec761e2207b9acd933f5ab7018d76,SA,NO,IN,,2024-12-17,2024-12-17,2025-01-03,2024,12,N200,USD,1.0800,USD,1.0800,0105435300001-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.268252,ONETIME,2025-01-03 11:57:14.202866,ONETIME
22,SA2500300022,1,f55aaa7307fa193f62bc9d4dcf25df31,SA,NO,IN,,2024-12-10,2024-12-10,2025-01-03,2024,12,N200,USD,2197.4750,USD,2197.4750,0105434500039-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.268708,ONETIME,2025-01-03 11:57:14.204437,ONETIME
23,SA2500300023,1,0820aadbddb3d759fd36eecf34901722,SA,NO,IN,,2024-12-12,2024-12-12,2025-01-03,2024,12,N200,USD,1447.8750,USD,1447.8750,0105434700074-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.269400,ONETIME,2025-01-03 11:57:14.205301,ONETIME
24,SA2500300024,1,fd5bf424abfc6674473d14bcb26a0358,SA,NO,IN,,2024-12-06,2024-12-06,2025-01-03,2024,12,N200,USD,1461.3750,USD,1461.3750,0105434200018-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.270346,ONETIME,2025-01-03 11:57:14.206767,ONETIME
25,SA2500300025,1,e5143ce8ad6cb9b70215acfd9b7717a4,SA,NO,IN,,2024-12-06,2024-12-06,2025-01-03,2024,12,N200,USD,1461.3750,USD,1461.3750,0105434200018-0202,[일시불] 주문접수,N,2025-01-03 11:57:12.270695,ONETIME,2025-01-03 11:57:14.207628,ONETIME
26,SA2500300026,1,f96e165e16d7328d81b228cbd2384863,SA,NO,IN,,2024-12-06,2024-12-06,2025-01-03,2024,12,N200,USD,1461.3750,USD,1461.3750,0105434200018-0302,[일시불] 주문접수,N,2025-01-03 11:57:12.271010,ONETIME,2025-01-03 11:57:14.208630,ONETIME
27,SA2500300027,1,355628d500e88f6bd53d11416edf6dec,SA,NO,IN,,2024-12-17,2024-12-17,2025-01-03,2024,12,N200,USD,1335.2600,USD,1335.2600,0105435200062-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.271403,ONETIME,2025-01-03 11:57:14.209850,ONETIME
28,SA2500300028,1,2ac5da18c9eda7ed7be8df571d2d6f72,SA,NO,IN,,2024-12-17,2024-12-17,2025-01-03,2024,12,N200,USD,1335.2600,USD,1335.2600,0105435200062-0202,[일시불] 주문접수,N,2025-01-03 11:57:12.271734,ONETIME,2025-01-03 11:57:14.210912,ONETIME
29,SA2500300029,1,18d7ad70cee5ad3fae76ff274d317ba5,SA,NO,IN,,2024-12-17,2024-12-17,2025-01-03,2024,12,N200,USD,1335.2600,USD,1335.2600,0105435300012-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.272136,ONETIME,2025-01-03 11:57:14.211739,ONETIME
30,SA2500300030,1,95246ec374caf9437cda115085d82961,SA,NO,IN,,2024-12-23,2024-12-23,2025-01-03,2024,12,N200,USD,1447.8800,USD,1447.8800,0105435900004-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.272538,ONETIME,2025-01-03 11:57:14.212790,ONETIME
31,SA2500300031,1,2d34960ad85745c87f1ca3438ce1054e,SA,NO,IN,,2024-12-16,2024-12-16,2025-01-03,2024,12,N200,USD,1461.3750,USD,1461.3750,0105435200010-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.272884,ONETIME,2025-01-03 11:57:14.214203,ONETIME
32,SA2500300032,1,5351d963b2de4c5a27520af2670ccd0e,SA,NO,IN,,2024-12-10,2024-12-10,2025-01-03,2024,12,N200,USD,1461.3750,USD,1461.3750,0105434600008-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.273209,ONETIME,2025-01-03 11:57:14.215171,ONETIME
33,SA2500300033,1,42aacd1dbcdef3b17cb814b3e7f81a66,SA,NO,IN,,2024-12-07,2024-12-07,2025-01-03,2024,12,N200,USD,1645.4000,USD,1645.4000,0105434300006-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.273717,ONETIME,2025-01-03 11:57:14.216155,ONETIME
34,SA2500300034,1,0bc237cdbaed2559d50ae8b6b2d732cc,SA,NO,IN,,2024-12-08,2024-12-08,2025-01-03,2024,12,N200,USD,1461.3750,USD,1461.3750,0105434400034-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.274083,ONETIME,2025-01-03 11:57:14.217424,ONETIME
35,SA2500300035,1,170201836906562d342eb0c7b5ce76d1,SA,NO,IN,,2024-12-08,2024-12-08,2025-01-03,2024,12,N200,USD,1461.3750,USD,1461.3750,0105434400034-0202,[일시불] 주문접수,N,2025-01-03 11:57:12.274482,ONETIME,2025-01-03 11:57:14.218718,ONETIME
36,SA2500300036,1,067e845475a68dbaf91de1208391435c,SA,NO,IN,,2024-12-08,2024-12-08,2025-01-03,2024,12,N200,USD,1461.3750,USD,1461.3750,0105434400034-0302,[일시불] 주문접수,N,2025-01-03 11:57:12.274759,ONETIME,2025-01-03 11:57:14.219749,ONETIME
37,SA2500300037,1,a056a051316ef26d983bba3e1f5a2b6c,SA,NO,IN,,2024-12-29,2024-12-29,2025-01-03,2024,12,N200,USD,1461.3800,USD,1461.3800,0105436500001-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.275114,ONETIME,2025-01-03 11:57:14.221208,ONETIME
38,SA2500300038,1,8af8634559b5199a0bbb04c4ab4dfe22,SA,NO,IN,,2024-12-29,2024-12-29,2025-01-03,2024,12,N200,USD,1461.3800,USD,1461.3800,0105436500001-0202,[일시불] 주문접수,N,2025-01-03 11:57:12.275484,ONETIME,2025-01-03 11:57:14.222381,ONETIME
39,SA2500300039,1,da48cf4b760187f4b64b9c5a5109f637,SA,NO,IN,,2024-12-29,2024-12-29,2025-01-03,2024,12,N200,USD,1461.3800,USD,1461.3800,0105436500002-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.276094,ONETIME,2025-01-03 11:57:14.223386,ONETIME
40,SA2500300040,1,56c09ed51d6adc4d6316ce4bca7532d9,SA,NO,IN,,2024-12-08,2024-12-08,2025-01-03,2024,12,N200,USD,1461.3750,USD,1461.3750,0105434400026-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.276723,ONETIME,2025-01-03 11:57:14.224279,ONETIME
41,SA2500300041,1,82812b526b82620dac1ea20b1e3a74da,SA,NO,IN,,2024-12-08,2024-12-08,2025-01-03,2024,12,N200,USD,1461.3750,USD,1461.3750,0105434400026-0202,[일시불] 주문접수,N,2025-01-03 11:57:12.277023,ONETIME,2025-01-03 11:57:14.225216,ONETIME
42,SA2500300042,1,9f027ee7f44ddbfb9538d446bdfa60ad,SA,NO,IN,,2024-12-08,2024-12-08,2025-01-03,2024,12,N200,USD,1461.3750,USD,1461.3750,0105434400026-0302,[일시불] 주문접수,N,2025-01-03 11:57:12.277509,ONETIME,2025-01-03 11:57:14.226108,ONETIME
43,SA2500300043,1,0b9e0ac911fd436f4bb95c78b85cf0f1,SA,NO,IN,,2024-12-17,2024-12-17,2025-01-03,2024,12,N200,USD,1347.7100,USD,1347.7100,0105435200061-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.277959,ONETIME,2025-01-03 11:57:14.227025,ONETIME
44,SA2500300044,1,814b82b331174828ac9986b9f22ccebc,SA,NO,IN,,2024-12-05,2024-12-05,2025-01-03,2024,12,N200,USD,1645.4000,USD,1645.4000,0105434100041-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.278668,ONETIME,2025-01-03 11:57:14.227922,ONETIME
45,SA2500300045,1,02f21e50890bf7daeef14b655f1477f0,SA,NO,IN,,2024-12-01,2024-12-01,2025-01-03,2024,12,N200,USD,1447.8750,USD,1447.8750,0105433700020-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.279142,ONETIME,2025-01-03 11:57:14.228803,ONETIME
46,SA2500300046,1,1c60d07aed2c92a32516d7bd9884e192,SA,NO,IN,,2024-12-10,2024-12-10,2025-01-03,2024,12,N200,USD,1461.3750,USD,1461.3750,0105434500045-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.279471,ONETIME,2025-01-03 11:57:14.229868,ONETIME
47,SA2500300047,1,29fedac0f73546ff0da8c27532af605c,SA,NO,IN,,2024-12-10,2024-12-10,2025-01-03,2024,12,N200,USD,1461.3750,USD,1461.3750,0105434500043-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.279761,ONETIME,2025-01-03 11:57:14.230873,ONETIME
48,SA2500300048,1,706f4d15e3246e8bf52b84a7b577bdca,SA,NO,IN,,2024-12-21,2024-12-21,2025-01-03,2024,12,N200,USD,1.0700,USD,1.0700,0105435600012-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.280035,ONETIME,2025-01-03 11:57:14.231872,ONETIME
49,SA2500300049,1,3b157c37e2651080ac8fe2b81bc346d3,SA,NO,IN,,2024-12-08,2024-12-08,2025-01-03,2024,12,N200,USD,1645.4000,USD,1645.4000,0105434300040-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.280305,ONETIME,2025-01-03 11:57:14.232760,ONETIME
50,SA2500300050,1,8d64558647bd5bc70b50a0919eef6113,SA,NO,IN,,2024-12-26,2024-12-26,2025-01-03,2024,12,N200,USD,1461.3800,USD,1461.3800,0105436100025-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.280662,ONETIME,2025-01-03 11:57:14.233618,ONETIME
51,SA2500300051,1,16dba7e21becd317aad682d06bb67fc8,SA,NO,IN,,2024-12-26,2024-12-26,2025-01-03,2024,12,N200,USD,1461.3800,USD,1461.3800,0105436100025-0202,[일시불] 주문접수,N,2025-01-03 11:57:12.280928,ONETIME,2025-01-03 11:57:14.234552,ONETIME
52,SA2500300052,1,8ce58efd859523bd1020b1b56eb05830,SA,NO,IN,,2024-12-26,2024-12-26,2025-01-03,2024,12,N200,USD,1461.3800,USD,1461.3800,0105436100025-0302,[일시불] 주문접수,N,2025-01-03 11:57:12.281325,ONETIME,2025-01-03 11:57:14.235442,ONETIME
53,SA2500300053,1,a2a9819d39275a8187726145be779416,SA,NO,IN,,2024-12-26,2024-12-26,2025-01-03,2024,12,N200,USD,1461.3800,USD,1461.3800,0105436100025-0402,[일시불] 주문접수,N,2025-01-03 11:57:12.281645,ONETIME,2025-01-03 11:57:14.236272,ONETIME
54,SA2500300054,1,095e5c0d519a3b06a5337d15374ff7c4,SA,NO,IN,,2024-12-26,2024-12-26,2025-01-03,2024,12,N200,USD,1461.3800,USD,1461.3800,0105436100025-0502,[일시불] 주문접수,N,2025-01-03 11:57:12.281902,ONETIME,2025-01-03 11:57:14.237011,ONETIME
55,SA2500300055,1,073693151244e7c555c0024ef8862e5e,SA,NO,IN,,2024-12-26,2024-12-26,2025-01-03,2024,12,N200,USD,1461.3800,USD,1461.3800,0105436100025-0602,[일시불] 주문접수,N,2025-01-03 11:57:12.282179,ONETIME,2025-01-03 11:57:14.237928,ONETIME
56,SA2500300056,1,788103ecf9d9a96ba9ec739ba96acbe4,SA,NO,IN,,2024-12-11,2024-12-11,2025-01-03,2024,12,N200,USD,1461.3750,USD,1461.3750,0105434700005-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.282543,ONETIME,2025-01-03 11:57:14.238849,ONETIME
57,SA2500300057,1,7649a73989f371951ffec9fca9af5b9a,SA,NO,IN,,2024-12-11,2024-12-11,2025-01-03,2024,12,N200,USD,1461.3750,USD,1461.3750,0105434700005-0202,[일시불] 주문접수,N,2025-01-03 11:57:12.282999,ONETIME,2025-01-03 11:57:14.239697,ONETIME
58,SA2500300058,1,ee11c8168903b32749201d038821eaaa,SA,NO,IN,,2024-12-16,2024-12-16,2025-01-03,2024,12,N200,USD,2197.4750,USD,2197.4750,0105435200001-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.283643,ONETIME,2025-01-03 11:57:14.240590,ONETIME
59,SA2500300059,1,00f8a412b6eeef377509e4afef04ec9c,SA,NO,IN,,2024-12-16,2024-12-16,2025-01-03,2024,12,N200,USD,2197.4750,USD,2197.4750,0105435200001-0202,[일시불] 주문접수,N,2025-01-03 11:57:12.284269,ONETIME,2025-01-03 11:57:14.241553,ONETIME
60,SA2500300060,1,a5860ae65a77ab8fb9bccf05b263f6d5,SA,NO,IN,,2024-12-16,2024-12-16,2025-01-03,2024,12,N200,USD,2197.4750,USD,2197.4750,0105435200001-0302,[일시불] 주문접수,N,2025-01-03 11:57:12.284476,ONETIME,2025-01-03 11:57:14.242412,ONETIME
61,SA2500300061,1,5575dd33cdb3b884fca7632663f76fd7,SA,NO,IN,,2024-12-16,2024-12-16,2025-01-03,2024,12,N200,USD,2197.4750,USD,2197.4750,0105435200001-0402,[일시불] 주문접수,N,2025-01-03 11:57:12.284753,ONETIME,2025-01-03 11:57:14.243388,ONETIME
62,SA2500300062,1,ead9fb9cf3ff8215ab52a2252b38c334,SA,NO,IN,,2024-12-16,2024-12-16,2025-01-03,2024,12,N200,USD,2197.4750,USD,2197.4750,0105435200001-0502,[일시불] 주문접수,N,2025-01-03 11:57:12.284936,ONETIME,2025-01-03 11:57:14.244456,ONETIME
63,SA2500300063,1,fa503a748fa10d88db7095f9ebbbb894,SA,NO,IN,,2024-12-16,2024-12-16,2025-01-03,2024,12,N200,USD,2197.4750,USD,2197.4750,0105435200001-0602,[일시불] 주문접수,N,2025-01-03 11:57:12.285128,ONETIME,2025-01-03 11:57:14.245422,ONETIME
64,SA2500300064,1,0de196872d82d149aaa171dd1935f300,SA,NO,IN,,2024-12-01,2024-12-01,2025-01-03,2024,12,N200,USD,1630.2000,USD,1630.2000,0105433700009-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.285351,ONETIME,2025-01-03 11:57:14.246430,ONETIME
65,SA2500300065,1,02a029d84d4de4eca22b698b4aa4928c,SA,NO,IN,,2024-12-08,2024-12-08,2025-01-03,2024,12,N200,USD,1645.4000,USD,1645.4000,0105434300036-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.285654,ONETIME,2025-01-03 11:57:14.247313,ONETIME
66,SA2500300066,1,9d93db4afe2d781194700f418665bf12,SA,NO,IN,,2024-12-24,2024-12-24,2025-01-03,2024,12,N200,USD,1840.2500,USD,1840.2500,0105435900026-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.285823,ONETIME,2025-01-03 11:57:14.248189,ONETIME
67,SA2500300067,1,801f5640d9f8d603e48ba296aa5fb7d1,SA,NO,IN,,2024-12-10,2024-12-10,2025-01-03,2024,12,N200,USD,1461.3750,USD,1461.3750,0105434500037-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.286280,ONETIME,2025-01-03 11:57:14.249029,ONETIME
68,SA2500300068,1,1d8ce9d3d3c9f20c94a995e538e2cf56,SA,NO,IN,,2024-12-10,2024-12-10,2025-01-03,2024,12,N200,USD,1461.3750,USD,1461.3750,0105434600009-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.286726,ONETIME,2025-01-03 11:57:14.249887,ONETIME
69,SA2500300069,1,b108dee6b1a339d4e9d319712b660f75,SA,NO,IN,,2024-12-16,2024-12-16,2025-01-03,2024,12,N200,USD,1461.3750,USD,1461.3750,0105435200006-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.287041,ONETIME,2025-01-03 11:57:14.250770,ONETIME
70,SA2500300070,1,6f4f126781102674e2a3f40d13d26e8b,SA,NO,IN,,2024-12-22,2024-12-22,2025-01-03,2024,12,N200,USD,1630.2000,USD,1630.2000,0105435800007-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.287390,ONETIME,2025-01-03 11:57:14.251674,ONETIME
71,SA2500300071,1,ad48f89684a00804a63aefd91bec083f,SA,NO,IN,,2024-12-02,2024-12-02,2025-01-03,2024,12,N200,USD,1461.3750,USD,1461.3750,0105433800001-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.287584,ONETIME,2025-01-03 11:57:14.252500,ONETIME
72,SA2500300072,1,61df3d41ba7c056e08d22826698b9dda,SA,NO,IN,,2024-12-20,2024-12-20,2025-01-03,2024,12,N200,USD,1645.4000,USD,1645.4000,0105435500019-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.287751,ONETIME,2025-01-03 11:57:14.253324,ONETIME
73,SA2500300073,1,ef449dd6ac734aa9aacfb457c50228d8,SA,NO,IN,,2024-12-11,2024-12-11,2025-01-03,2024,12,N200,USD,1447.8750,USD,1447.8750,0105434700014-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.287982,ONETIME,2025-01-03 11:57:14.254217,ONETIME
74,SA2500300074,1,c0b55ddc54dd010c4a7d95d54f6f139e,SA,NO,IN,,2024-12-11,2024-12-11,2025-01-03,2024,12,N200,USD,1447.8750,USD,1447.8750,0105434700014-0202,[일시불] 주문접수,N,2025-01-03 11:57:12.288174,ONETIME,2025-01-03 11:57:14.255163,ONETIME
75,SA2500300075,1,a674080f718adacf78c9572d4eea5b86,SA,NO,IN,,2024-12-11,2024-12-11,2025-01-03,2024,12,N200,USD,1630.2000,USD,1630.2000,0105434700014-0302,[일시불] 주문접수,N,2025-01-03 11:57:12.288325,ONETIME,2025-01-03 11:57:14.255969,ONETIME
76,SA2500300076,1,59fef1300bb9601764b9065ba76eeac3,SA,NO,IN,,2024-12-15,2024-12-15,2025-01-03,2024,12,N200,USD,1569.6300,USD,1569.6300,0105435100032-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.288561,ONETIME,2025-01-03 11:57:14.256793,ONETIME
77,SA2500300077,1,e635aade26e3ab85b7ecd578f4d616a4,SA,NO,IN,,2024-12-11,2024-12-11,2025-01-03,2024,12,N200,USD,1447.8750,USD,1447.8750,0105434700010-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.288900,ONETIME,2025-01-03 11:57:14.257638,ONETIME
78,SA2500300078,1,f09e69dc492c46afa95672e9ee4789ca,SA,NO,IN,,2024-12-01,2024-12-01,2025-01-03,2024,12,N200,USD,1645.4000,USD,1645.4000,0105433700001-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.289164,ONETIME,2025-01-03 11:57:14.258472,ONETIME
79,SA2500300079,1,65fa837a38573950b9c72b1fcf938ca0,SA,NO,IN,,2024-12-03,2024-12-03,2025-01-03,2024,12,N200,USD,1645.4000,USD,1645.4000,0105433900002-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.289330,ONETIME,2025-01-03 11:57:14.259386,ONETIME
80,SA2500300080,1,af18dc5390b531fab4f3501c6b42a617,SA,NO,IN,,2024-12-06,2024-12-06,2025-01-03,2024,12,N200,USD,1645.4000,USD,1645.4000,0105434100045-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.289518,ONETIME,2025-01-03 11:57:14.260187,ONETIME
81,SA2500300081,1,87e6536b5304a58d309e550867ad3902,SA,NO,IN,,2024-12-06,2024-12-06,2025-01-03,2024,12,N200,USD,1645.4000,USD,1645.4000,0105434100045-0202,[일시불] 주문접수,N,2025-01-03 11:57:12.289653,ONETIME,2025-01-03 11:57:14.261750,ONETIME
82,SA2500300082,1,a13838b3d305cdcdd892b98c649a8e99,SA,NO,IN,,2024-12-29,2024-12-29,2025-01-03,2024,12,N200,USD,1461.3800,USD,1461.3800,0105436500010-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.289795,ONETIME,2025-01-03 11:57:14.262585,ONETIME
83,SA2500300083,1,fe3470fc5d79edeb07fa27979f49e3e8,SA,NO,IN,,2024-12-24,2024-12-24,2025-01-03,2024,12,N200,USD,1840.2500,USD,1840.2500,0105435900024-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.289933,ONETIME,2025-01-03 11:57:14.263354,ONETIME
84,SA2500300084,1,3ea6236192d1cf90b0ecee74f30f765d,SA,NO,IN,,2024-12-11,2024-12-11,2025-01-03,2024,12,N200,USD,1447.8750,USD,1447.8750,0105434700021-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.290208,ONETIME,2025-01-03 11:57:14.264222,ONETIME
85,SA2500300085,1,39371a085cd22502c08b6a93b3b81c02,SA,NO,IN,,2024-12-11,2024-12-11,2025-01-03,2024,12,N200,USD,1447.8750,USD,1447.8750,0105434700021-0202,[일시불] 주문접수,N,2025-01-03 11:57:12.290598,ONETIME,2025-01-03 11:57:14.264970,ONETIME
86,SA2500300086,1,6cd29b9b1131fdae0402d6a25a87807b,SA,NO,IN,,2024-12-23,2024-12-23,2025-01-03,2024,12,N200,USD,1840.2500,USD,1840.2500,0105435900020-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.290749,ONETIME,2025-01-03 11:57:14.265769,ONETIME
87,SA2500300087,1,ec3fea9ac04a7c7c8906d1250aa031d1,SA,NO,IN,,2024-12-11,2024-12-11,2025-01-03,2024,12,N200,USD,1447.8750,USD,1447.8750,0105434700016-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.290930,ONETIME,2025-01-03 11:57:14.266551,ONETIME
88,SA2500300088,1,1c21a97aa7e2bded543c35a115b1973a,SA,NO,IN,,2024-12-11,2024-12-11,2025-01-03,2024,12,N200,USD,1630.2000,USD,1630.2000,0105434700011-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.291180,ONETIME,2025-01-03 11:57:14.267342,ONETIME
