id,version,doc_item_status,doc_id,line_number,account_code,account_side,company_code,tx_currency,tx_amount,currency,amount,exchange_rate_id,text,doc_template_code,cost_center,profit_center,segment,project,customer_id,vendor_id,create_time,created_by,update_time,updated_by
SA2500300008-001,1,NO,SA2500300008,1,1136010,D,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d669fdc307c8372dc05d0b13554c007b,,2025-01-03 11:57:12.534519,ONETIME,2025-01-03 11:57:12.534519,ONETIME
SA2500300008-002,1,NO,SA2500300008,2,2111010,C,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d669fdc307c8372dc05d0b13554c007b,,2025-01-03 11:57:12.534525,ONETIME,2025-01-03 11:57:12.534526,ONETIME
SA2500300009-001,1,NO,SA2500300009,1,1136010,D,N200,USD,1645.4000,USD,1645.4000,0,[일시불] 주문접수,CTOR001,C0001,,,,8de8fb7db73d26c73bbc1fc0e3e63e16,,2025-01-03 11:57:12.536625,ONETIME,2025-01-03 11:57:12.536626,ONETIME
SA2500300009-002,1,NO,SA2500300009,2,2111010,C,N200,USD,1645.4000,USD,1645.4000,0,[일시불] 주문접수,CTOR001,C0001,,,,8de8fb7db73d26c73bbc1fc0e3e63e16,,2025-01-03 11:57:12.536632,ONETIME,2025-01-03 11:57:12.536632,ONETIME
SA2500300010-001,1,NO,SA2500300010,1,1136010,D,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,8de8fb7db73d26c73bbc1fc0e3e63e16,,2025-01-03 11:57:12.538776,ONETIME,2025-01-03 11:57:12.538776,ONETIME
SA2500300010-002,1,NO,SA2500300010,2,2111010,C,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,8de8fb7db73d26c73bbc1fc0e3e63e16,,2025-01-03 11:57:12.538782,ONETIME,2025-01-03 11:57:12.538783,ONETIME
SA2500300011-001,1,NO,SA2500300011,1,1136010,D,N200,USD,1461.3800,USD,1461.3800,0,[일시불] 주문접수,CTOR001,C0001,,,,8dddc3c0df38f528d01edbb2e39ce0b1,,2025-01-03 11:57:12.541175,ONETIME,2025-01-03 11:57:12.541175,ONETIME
SA2500300011-002,1,NO,SA2500300011,2,2111010,C,N200,USD,1461.3800,USD,1461.3800,0,[일시불] 주문접수,CTOR001,C0001,,,,8dddc3c0df38f528d01edbb2e39ce0b1,,2025-01-03 11:57:12.541182,ONETIME,2025-01-03 11:57:12.541182,ONETIME
SA2500300012-001,1,NO,SA2500300012,1,1136010,D,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,522607e66c488e7447d262027d64afbc,,2025-01-03 11:57:12.543826,ONETIME,2025-01-03 11:57:12.543826,ONETIME
SA2500300012-002,1,NO,SA2500300012,2,2111010,C,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,522607e66c488e7447d262027d64afbc,,2025-01-03 11:57:12.543832,ONETIME,2025-01-03 11:57:12.543833,ONETIME
SA2500300013-001,1,NO,SA2500300013,1,1136010,D,N200,USD,2197.4750,USD,2197.4750,0,[일시불] 주문접수,CTOR001,C0001,,,,d0a651277d7b2cacc5910e946debd9db,,2025-01-03 11:57:12.547497,ONETIME,2025-01-03 11:57:12.547497,ONETIME
SA2500300013-002,1,NO,SA2500300013,2,2111010,C,N200,USD,2197.4750,USD,2197.4750,0,[일시불] 주문접수,CTOR001,C0001,,,,d0a651277d7b2cacc5910e946debd9db,,2025-01-03 11:57:12.547504,ONETIME,2025-01-03 11:57:12.547504,ONETIME
SA2500300014-001,1,NO,SA2500300014,1,1136010,D,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d0a651277d7b2cacc5910e946debd9db,,2025-01-03 11:57:12.550238,ONETIME,2025-01-03 11:57:12.550238,ONETIME
SA2500300014-002,1,NO,SA2500300014,2,2111010,C,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d0a651277d7b2cacc5910e946debd9db,,2025-01-03 11:57:12.550244,ONETIME,2025-01-03 11:57:12.550244,ONETIME
SA2500300015-001,1,NO,SA2500300015,1,1136010,D,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d0a651277d7b2cacc5910e946debd9db,,2025-01-03 11:57:12.553527,ONETIME,2025-01-03 11:57:12.553527,ONETIME
SA2500300015-002,1,NO,SA2500300015,2,2111010,C,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d0a651277d7b2cacc5910e946debd9db,,2025-01-03 11:57:12.553533,ONETIME,2025-01-03 11:57:12.553534,ONETIME
SA2500300016-001,1,NO,SA2500300016,1,1136010,D,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d0a651277d7b2cacc5910e946debd9db,,2025-01-03 11:57:12.557103,ONETIME,2025-01-03 11:57:12.557103,ONETIME
SA2500300016-002,1,NO,SA2500300016,2,2111010,C,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d0a651277d7b2cacc5910e946debd9db,,2025-01-03 11:57:12.557109,ONETIME,2025-01-03 11:57:12.557110,ONETIME
SA2500300017-001,1,NO,SA2500300017,1,1136010,D,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d669fdc307c8372dc05d0b13554c007b,,2025-01-03 11:57:12.562350,ONETIME,2025-01-03 11:57:12.562350,ONETIME
SA2500300017-002,1,NO,SA2500300017,2,2111010,C,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d669fdc307c8372dc05d0b13554c007b,,2025-01-03 11:57:12.562356,ONETIME,2025-01-03 11:57:12.562356,ONETIME
SA2500300018-001,1,NO,SA2500300018,1,1136010,D,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d669fdc307c8372dc05d0b13554c007b,,2025-01-03 11:57:12.582021,ONETIME,2025-01-03 11:57:12.582021,ONETIME
SA2500300018-002,1,NO,SA2500300018,2,2111010,C,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d669fdc307c8372dc05d0b13554c007b,,2025-01-03 11:57:12.582028,ONETIME,2025-01-03 11:57:12.582028,ONETIME
SA2500300019-001,1,NO,SA2500300019,1,1136010,D,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d669fdc307c8372dc05d0b13554c007b,,2025-01-03 11:57:12.587890,ONETIME,2025-01-03 11:57:12.587890,ONETIME
SA2500300019-002,1,NO,SA2500300019,2,2111010,C,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d669fdc307c8372dc05d0b13554c007b,,2025-01-03 11:57:12.587907,ONETIME,2025-01-03 11:57:12.587908,ONETIME
SA2500300020-001,1,NO,SA2500300020,1,1136010,D,N200,USD,1461.3800,USD,1461.3800,0,[일시불] 주문접수,CTOR001,C0001,,,,7d2a19be2c4d0296a3acc2d285d61ec8,,2025-01-03 11:57:12.594627,ONETIME,2025-01-03 11:57:12.594627,ONETIME
SA2500300020-002,1,NO,SA2500300020,2,2111010,C,N200,USD,1461.3800,USD,1461.3800,0,[일시불] 주문접수,CTOR001,C0001,,,,7d2a19be2c4d0296a3acc2d285d61ec8,,2025-01-03 11:57:12.594634,ONETIME,2025-01-03 11:57:12.594634,ONETIME
SA2500300021-001,1,NO,SA2500300021,1,1136010,D,N200,USD,1.0800,USD,1.0800,0,[일시불] 주문접수,CTOR001,C0001,,,,6dc44375a471696f912604eb8e84da34,,2025-01-03 11:57:12.596883,ONETIME,2025-01-03 11:57:12.596883,ONETIME
SA2500300021-002,1,NO,SA2500300021,2,2111010,C,N200,USD,1.0800,USD,1.0800,0,[일시불] 주문접수,CTOR001,C0001,,,,6dc44375a471696f912604eb8e84da34,,2025-01-03 11:57:12.596889,ONETIME,2025-01-03 11:57:12.596889,ONETIME
SA2500300022-001,1,NO,SA2500300022,1,1136010,D,N200,USD,2197.4750,USD,2197.4750,0,[일시불] 주문접수,CTOR001,C0001,,,,3e0a9c25d3db65e89076167027576dbf,,2025-01-03 11:57:12.599626,ONETIME,2025-01-03 11:57:12.599627,ONETIME
SA2500300022-002,1,NO,SA2500300022,2,2111010,C,N200,USD,2197.4750,USD,2197.4750,0,[일시불] 주문접수,CTOR001,C0001,,,,3e0a9c25d3db65e89076167027576dbf,,2025-01-03 11:57:12.599633,ONETIME,2025-01-03 11:57:12.599634,ONETIME
SA2500300023-001,1,NO,SA2500300023,1,1136010,D,N200,USD,1447.8750,USD,1447.8750,0,[일시불] 주문접수,CTOR001,C0001,,,,c0da25f34f5235658e4fe2b62de7962e,,2025-01-03 11:57:12.602558,ONETIME,2025-01-03 11:57:12.602558,ONETIME
SA2500300023-002,1,NO,SA2500300023,2,2111010,C,N200,USD,1447.8750,USD,1447.8750,0,[일시불] 주문접수,CTOR001,C0001,,,,c0da25f34f5235658e4fe2b62de7962e,,2025-01-03 11:57:12.602564,ONETIME,2025-01-03 11:57:12.602564,ONETIME
SA2500300024-001,1,NO,SA2500300024,1,1136010,D,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d669fdc307c8372dc05d0b13554c007b,,2025-01-03 11:57:12.605631,ONETIME,2025-01-03 11:57:12.605631,ONETIME
SA2500300024-002,1,NO,SA2500300024,2,2111010,C,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d669fdc307c8372dc05d0b13554c007b,,2025-01-03 11:57:12.605638,ONETIME,2025-01-03 11:57:12.605638,ONETIME
SA2500300025-001,1,NO,SA2500300025,1,1136010,D,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d669fdc307c8372dc05d0b13554c007b,,2025-01-03 11:57:12.615698,ONETIME,2025-01-03 11:57:12.615699,ONETIME
SA2500300025-002,1,NO,SA2500300025,2,2111010,C,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d669fdc307c8372dc05d0b13554c007b,,2025-01-03 11:57:12.615705,ONETIME,2025-01-03 11:57:12.615705,ONETIME
SA2500300026-001,1,NO,SA2500300026,1,1136010,D,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d669fdc307c8372dc05d0b13554c007b,,2025-01-03 11:57:12.642928,ONETIME,2025-01-03 11:57:12.642928,ONETIME
SA2500300026-002,1,NO,SA2500300026,2,2111010,C,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d669fdc307c8372dc05d0b13554c007b,,2025-01-03 11:57:12.642934,ONETIME,2025-01-03 11:57:12.642935,ONETIME
SA2500300027-001,1,NO,SA2500300027,1,1136010,D,N200,USD,1335.2600,USD,1335.2600,0,[일시불] 주문접수,CTOR001,C0001,,,,0be7bb4b8c098a9db971dfb35bc397ff,,2025-01-03 11:57:12.672107,ONETIME,2025-01-03 11:57:12.672107,ONETIME
SA2500300027-002,1,NO,SA2500300027,2,2111010,C,N200,USD,1335.2600,USD,1335.2600,0,[일시불] 주문접수,CTOR001,C0001,,,,0be7bb4b8c098a9db971dfb35bc397ff,,2025-01-03 11:57:12.672113,ONETIME,2025-01-03 11:57:12.672114,ONETIME
SA2500300028-001,1,NO,SA2500300028,1,1136010,D,N200,USD,1335.2600,USD,1335.2600,0,[일시불] 주문접수,CTOR001,C0001,,,,0be7bb4b8c098a9db971dfb35bc397ff,,2025-01-03 11:57:12.683468,ONETIME,2025-01-03 11:57:12.683468,ONETIME
SA2500300028-002,1,NO,SA2500300028,2,2111010,C,N200,USD,1335.2600,USD,1335.2600,0,[일시불] 주문접수,CTOR001,C0001,,,,0be7bb4b8c098a9db971dfb35bc397ff,,2025-01-03 11:57:12.683475,ONETIME,2025-01-03 11:57:12.683475,ONETIME
SA2500300029-001,1,NO,SA2500300029,1,1136010,D,N200,USD,1335.2600,USD,1335.2600,0,[일시불] 주문접수,CTOR001,C0001,,,,0be7bb4b8c098a9db971dfb35bc397ff,,2025-01-03 11:57:12.687927,ONETIME,2025-01-03 11:57:12.687928,ONETIME
SA2500300029-002,1,NO,SA2500300029,2,2111010,C,N200,USD,1335.2600,USD,1335.2600,0,[일시불] 주문접수,CTOR001,C0001,,,,0be7bb4b8c098a9db971dfb35bc397ff,,2025-01-03 11:57:12.687934,ONETIME,2025-01-03 11:57:12.687934,ONETIME
SA2500300030-001,1,NO,SA2500300030,1,1136010,D,N200,USD,1447.8800,USD,1447.8800,0,[일시불] 주문접수,CTOR001,C0001,,,,0be7bb4b8c098a9db971dfb35bc397ff,,2025-01-03 11:57:12.693466,ONETIME,2025-01-03 11:57:12.693467,ONETIME
SA2500300030-002,1,NO,SA2500300030,2,2111010,C,N200,USD,1447.8800,USD,1447.8800,0,[일시불] 주문접수,CTOR001,C0001,,,,0be7bb4b8c098a9db971dfb35bc397ff,,2025-01-03 11:57:12.693473,ONETIME,2025-01-03 11:57:12.693474,ONETIME
SA2500300031-001,1,NO,SA2500300031,1,1136010,D,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,21260fede08b08a36658e0a0178ab6e1,,2025-01-03 11:57:12.697945,ONETIME,2025-01-03 11:57:12.697946,ONETIME
SA2500300031-002,1,NO,SA2500300031,2,2111010,C,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,21260fede08b08a36658e0a0178ab6e1,,2025-01-03 11:57:12.697981,ONETIME,2025-01-03 11:57:12.697982,ONETIME
SA2500300032-001,1,NO,SA2500300032,1,1136010,D,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,1a8bbb62a987d6e5ddd15d8d424408be,,2025-01-03 11:57:12.704535,ONETIME,2025-01-03 11:57:12.704535,ONETIME
SA2500300032-002,1,NO,SA2500300032,2,2111010,C,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,1a8bbb62a987d6e5ddd15d8d424408be,,2025-01-03 11:57:12.704542,ONETIME,2025-01-03 11:57:12.704543,ONETIME
SA2500300033-001,1,NO,SA2500300033,1,1136010,D,N200,USD,1645.4000,USD,1645.4000,0,[일시불] 주문접수,CTOR001,C0001,,,,add82a2c43fb87641687545f9b351ee1,,2025-01-03 11:57:12.707861,ONETIME,2025-01-03 11:57:12.707862,ONETIME
SA2500300033-002,1,NO,SA2500300033,2,2111010,C,N200,USD,1645.4000,USD,1645.4000,0,[일시불] 주문접수,CTOR001,C0001,,,,add82a2c43fb87641687545f9b351ee1,,2025-01-03 11:57:12.707868,ONETIME,2025-01-03 11:57:12.707868,ONETIME
SA2500300034-001,1,NO,SA2500300034,1,1136010,D,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d669fdc307c8372dc05d0b13554c007b,,2025-01-03 11:57:12.710631,ONETIME,2025-01-03 11:57:12.710631,ONETIME
SA2500300034-002,1,NO,SA2500300034,2,2111010,C,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d669fdc307c8372dc05d0b13554c007b,,2025-01-03 11:57:12.710661,ONETIME,2025-01-03 11:57:12.710661,ONETIME
SA2500300035-001,1,NO,SA2500300035,1,1136010,D,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d669fdc307c8372dc05d0b13554c007b,,2025-01-03 11:57:12.716992,ONETIME,2025-01-03 11:57:12.716992,ONETIME
SA2500300035-002,1,NO,SA2500300035,2,2111010,C,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d669fdc307c8372dc05d0b13554c007b,,2025-01-03 11:57:12.716999,ONETIME,2025-01-03 11:57:12.716999,ONETIME
SA2500300036-001,1,NO,SA2500300036,1,1136010,D,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d669fdc307c8372dc05d0b13554c007b,,2025-01-03 11:57:12.726698,ONETIME,2025-01-03 11:57:12.726698,ONETIME
SA2500300036-002,1,NO,SA2500300036,2,2111010,C,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d669fdc307c8372dc05d0b13554c007b,,2025-01-03 11:57:12.726705,ONETIME,2025-01-03 11:57:12.726705,ONETIME
SA2500300037-001,1,NO,SA2500300037,1,1136010,D,N200,USD,1461.3800,USD,1461.3800,0,[일시불] 주문접수,CTOR001,C0001,,,,b6084b4077a92f3bd28a9df3b4f1546d,,2025-01-03 11:57:12.732320,ONETIME,2025-01-03 11:57:12.732320,ONETIME
SA2500300037-002,1,NO,SA2500300037,2,2111010,C,N200,USD,1461.3800,USD,1461.3800,0,[일시불] 주문접수,CTOR001,C0001,,,,b6084b4077a92f3bd28a9df3b4f1546d,,2025-01-03 11:57:12.732326,ONETIME,2025-01-03 11:57:12.732327,ONETIME
SA2500300038-001,1,NO,SA2500300038,1,1136010,D,N200,USD,1461.3800,USD,1461.3800,0,[일시불] 주문접수,CTOR001,C0001,,,,b6084b4077a92f3bd28a9df3b4f1546d,,2025-01-03 11:57:12.734796,ONETIME,2025-01-03 11:57:12.734796,ONETIME
SA2500300038-002,1,NO,SA2500300038,2,2111010,C,N200,USD,1461.3800,USD,1461.3800,0,[일시불] 주문접수,CTOR001,C0001,,,,b6084b4077a92f3bd28a9df3b4f1546d,,2025-01-03 11:57:12.734802,ONETIME,2025-01-03 11:57:12.734803,ONETIME
SA2500300039-001,1,NO,SA2500300039,1,1136010,D,N200,USD,1461.3800,USD,1461.3800,0,[일시불] 주문접수,CTOR001,C0001,,,,73062956825691326a449b05761bbaf1,,2025-01-03 11:57:12.742991,ONETIME,2025-01-03 11:57:12.742991,ONETIME
SA2500300039-002,1,NO,SA2500300039,2,2111010,C,N200,USD,1461.3800,USD,1461.3800,0,[일시불] 주문접수,CTOR001,C0001,,,,73062956825691326a449b05761bbaf1,,2025-01-03 11:57:12.742998,ONETIME,2025-01-03 11:57:12.742998,ONETIME
SA2500300040-001,1,NO,SA2500300040,1,1136010,D,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d669fdc307c8372dc05d0b13554c007b,,2025-01-03 11:57:12.751487,ONETIME,2025-01-03 11:57:12.751487,ONETIME
SA2500300040-002,1,NO,SA2500300040,2,2111010,C,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d669fdc307c8372dc05d0b13554c007b,,2025-01-03 11:57:12.751494,ONETIME,2025-01-03 11:57:12.751494,ONETIME
SA2500300041-001,1,NO,SA2500300041,1,1136010,D,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d669fdc307c8372dc05d0b13554c007b,,2025-01-03 11:57:12.756498,ONETIME,2025-01-03 11:57:12.756498,ONETIME
SA2500300041-002,1,NO,SA2500300041,2,2111010,C,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d669fdc307c8372dc05d0b13554c007b,,2025-01-03 11:57:12.756505,ONETIME,2025-01-03 11:57:12.756505,ONETIME
SA2500300042-001,1,NO,SA2500300042,1,1136010,D,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d669fdc307c8372dc05d0b13554c007b,,2025-01-03 11:57:12.760693,ONETIME,2025-01-03 11:57:12.760694,ONETIME
SA2500300042-002,1,NO,SA2500300042,2,2111010,C,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,d669fdc307c8372dc05d0b13554c007b,,2025-01-03 11:57:12.760700,ONETIME,2025-01-03 11:57:12.760700,ONETIME
SA2500300043-001,1,NO,SA2500300043,1,1136010,D,N200,USD,1347.7100,USD,1347.7100,0,[일시불] 주문접수,CTOR001,C0001,,,,c7593d3c026dddc5e3b4e12bad1c0dd6,,2025-01-03 11:57:12.765956,ONETIME,2025-01-03 11:57:12.765957,ONETIME
SA2500300043-002,1,NO,SA2500300043,2,2111010,C,N200,USD,1347.7100,USD,1347.7100,0,[일시불] 주문접수,CTOR001,C0001,,,,c7593d3c026dddc5e3b4e12bad1c0dd6,,2025-01-03 11:57:12.765974,ONETIME,2025-01-03 11:57:12.765974,ONETIME
SA2500300044-001,1,NO,SA2500300044,1,1136010,D,N200,USD,1645.4000,USD,1645.4000,0,[일시불] 주문접수,CTOR001,C0001,,,,d0a651277d7b2cacc5910e946debd9db,,2025-01-03 11:57:12.770074,ONETIME,2025-01-03 11:57:12.770074,ONETIME
SA2500300044-002,1,NO,SA2500300044,2,2111010,C,N200,USD,1645.4000,USD,1645.4000,0,[일시불] 주문접수,CTOR001,C0001,,,,d0a651277d7b2cacc5910e946debd9db,,2025-01-03 11:57:12.770081,ONETIME,2025-01-03 11:57:12.770081,ONETIME
SA2500300045-001,1,NO,SA2500300045,1,1136010,D,N200,USD,1447.8750,USD,1447.8750,0,[일시불] 주문접수,CTOR001,C0001,,,,adbd61bbb9a0636b478e4b5c95fcea1b,,2025-01-03 11:57:12.778991,ONETIME,2025-01-03 11:57:12.778991,ONETIME
SA2500300045-002,1,NO,SA2500300045,2,2111010,C,N200,USD,1447.8750,USD,1447.8750,0,[일시불] 주문접수,CTOR001,C0001,,,,adbd61bbb9a0636b478e4b5c95fcea1b,,2025-01-03 11:57:12.778997,ONETIME,2025-01-03 11:57:12.778997,ONETIME
SA2500300046-001,1,NO,SA2500300046,1,1136010,D,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,c0da25f34f5235658e4fe2b62de7962e,,2025-01-03 11:57:12.790313,ONETIME,2025-01-03 11:57:12.790313,ONETIME
SA2500300046-002,1,NO,SA2500300046,2,2111010,C,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,c0da25f34f5235658e4fe2b62de7962e,,2025-01-03 11:57:12.790320,ONETIME,2025-01-03 11:57:12.790320,ONETIME
SA2500300047-001,1,NO,SA2500300047,1,1136010,D,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,c0da25f34f5235658e4fe2b62de7962e,,2025-01-03 11:57:12.796118,ONETIME,2025-01-03 11:57:12.796118,ONETIME
SA2500300047-002,1,NO,SA2500300047,2,2111010,C,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,c0da25f34f5235658e4fe2b62de7962e,,2025-01-03 11:57:12.796134,ONETIME,2025-01-03 11:57:12.796134,ONETIME
SA2500300048-001,1,NO,SA2500300048,1,1136010,D,N200,USD,1.0700,USD,1.0700,0,[일시불] 주문접수,CTOR001,C0001,,,,0be7bb4b8c098a9db971dfb35bc397ff,,2025-01-03 11:57:12.799945,ONETIME,2025-01-03 11:57:12.799945,ONETIME
SA2500300048-002,1,NO,SA2500300048,2,2111010,C,N200,USD,1.0700,USD,1.0700,0,[일시불] 주문접수,CTOR001,C0001,,,,0be7bb4b8c098a9db971dfb35bc397ff,,2025-01-03 11:57:12.799952,ONETIME,2025-01-03 11:57:12.799952,ONETIME
