code,level,parent_code,name,eng_name,description,is_postable,is_active,system_source,created_by,updated_by
111613,04,111600,((유동성)금융리스채권 손상차손누계액),(Accumulated Impairment Loss on Current Portion of Finance Lease Receivables),,Y,Y,ABC,abc-accounting,abc-accounting
111700,03,110000,재고자산,Inventories,,N,Y,ABC,abc-accounting,abc-accounting
111711,04,111700,상품,Merchandise,,Y,Y,ABC,abc-accounting,abc-accounting
111712,04,111700,(상품평가충당금),(Allowance for Valuation of Merchandise),,Y,Y,ABC,abc-accounting,abc-accounting
111732,04,111700,미착재고자산,Goods in Transit,,Y,Y,ABC,abc-accounting,abc-accounting
111733,04,111700,기타재고자산,Other Inventories,,Y,Y,ABC,abc-accounting,abc-accounting
111734,04,111700,(기타재고자산평가충당금),(Allowance for Valuation of Other Inventories),,Y,Y,ABC,abc-accounting,abc-accounting
111800,03,110000,매각예정자산,Assets Held for Sale,,N,Y,ABC,abc-accounting,abc-accounting
111811,04,111800,매각예정자산,Assets Held for Sale,,Y,Y,ABC,abc-accounting,abc-accounting
120000,02,,비유동자산,Non-current Assets,,N,Y,ABC,abc-accounting,abc-accounting
121100,03,120000,기타비유동금융자산,Other Non-current Financial Assets,,N,Y,ABC,abc-accounting,abc-accounting
121111,04,121100,당기손익인식지정금융자산-비유동,Financial Assets at Fair Value through Profit or Loss - Non-current,,Y,Y,ABC,abc-accounting,abc-accounting
121112,04,121100,매매목적파생상품자산-비유동,Trading Derivative Assets - Non-current,,Y,Y,ABC,abc-accounting,abc-accounting
121113,04,121100,위험회피파생상품자산-비유동,Hedging Derivative Assets - Non-current,,Y,Y,ABC,abc-accounting,abc-accounting
121114,04,121100,매도가능금융자산-비유동,Available-for-sale Financial Assets - Non-current,,Y,Y,ABC,abc-accounting,abc-accounting
121115,04,121100,(매도가능금융자산-비유동 손상차손누계액),(Accumulated Impairment Loss on Available-for-sale Financial Assets - Non-current),,Y,Y,ABC,abc-accounting,abc-accounting
121116,04,121100,만기보유금융자산-비유동,Held-to-maturity Financial Assets - Non-current,,Y,Y,ABC,abc-accounting,abc-accounting
121117,04,121100,(만기보유금융자산-비유동 손상차손누계액),(Accumulated Impairment Loss on Held-to-maturity Financial Assets - Non-current),,Y,Y,ABC,abc-accounting,abc-accounting
121118,04,121100,기타의기타비유동금융자산,Other Non-current Financial Assets - Others,,Y,Y,ABC,abc-accounting,abc-accounting
121200,03,120000,장기매출채권및기타채권,Long-term Trade and Other Receivables,,N,Y,ABC,abc-accounting,abc-accounting
121211,04,121200,장기금융기관예치금,Long-term Financial Institution Deposits,,Y,Y,ABC,abc-accounting,abc-accounting
121212,04,121200,장기매출채권,Long-term Trade Receivables,,Y,Y,ABC,abc-accounting,abc-accounting
121213,04,121200,(장기매출채권 현재가치할인차금),(Present Value Discount on Long-term Trade Receivables),,Y,Y,ABC,abc-accounting,abc-accounting
121214,04,121200,(장기매출채권 손상차손누계액),(Accumulated Impairment Loss on Long-term Trade Receivables),,Y,Y,ABC,abc-accounting,abc-accounting
121215,04,121200,장기대여금,Long-term Loans,,Y,Y,ABC,abc-accounting,abc-accounting
121216,04,121200,(장기대여금 현재가치할인차금),(Present Value Discount on Long-term Loans),,Y,Y,ABC,abc-accounting,abc-accounting
121217,04,121200,(장기대여금 손상차손누계액),(Accumulated Impairment Loss on Long-term Loans),,Y,Y,ABC,abc-accounting,abc-accounting
121218,04,121200,장기미수금,Long-term Other Receivables,,Y,Y,ABC,abc-accounting,abc-accounting
121219,04,121200,(장기미수금 현재가치할인차금),(Present Value Discount on Long-term Other Receivables),,Y,Y,ABC,abc-accounting,abc-accounting
121220,04,121200,(장기미수금 손상차손누계액),(Accumulated Impairment Loss on Long-term Other Receivables),,Y,Y,ABC,abc-accounting,abc-accounting
121221,04,121200,장기보증금,Long-term Guarantee Deposits,,Y,Y,ABC,abc-accounting,abc-accounting
121222,04,121200,(장기보증금 현재가치할인차금),(Present Value Discount on Long-term Guarantee Deposits),,Y,Y,ABC,abc-accounting,abc-accounting
121223,04,121200,(장기보증금 손상차손누계액),(Accumulated Impairment Loss on Long-term Guarantee Deposits),,Y,Y,ABC,abc-accounting,abc-accounting
121224,04,121200,장기미수수익,Long-term Accrued Income,,Y,Y,ABC,abc-accounting,abc-accounting
121225,04,121200,(장기미수수익 현재가치할인차금),(Present Value Discount on Long-term Accrued Income),,Y,Y,ABC,abc-accounting,abc-accounting
121226,04,121200,(장기미수수익 손상차손누계액),(Accumulated Impairment Loss on Long-term Accrued Income),,Y,Y,ABC,abc-accounting,abc-accounting
121227,04,121200,기타장기매출채권및기타채권,Other Long-term Trade and Other Receivables,,Y,Y,ABC,abc-accounting,abc-accounting
121228,04,121200,(기타장기매출채권및기타채권 현재가치할인차금),(Present Value Discount on Other Long-term Trade and Other Receivables),,Y,Y,ABC,abc-accounting,abc-accounting
121229,04,121200,(기타장기매출채권및기타채권 손상차손누계액),(Accumulated Impairment Loss on Other Long-term Trade and Other Receivables),,Y,Y,ABC,abc-accounting,abc-accounting
121300,03,120000,종속기업주식,Investments in Subsidiaries,,N,Y,ABC,abc-accounting,abc-accounting
121311,04,121300,종속기업주식,Investments in Subsidiaries,,Y,Y,ABC,abc-accounting,abc-accounting
121400,03,120000,관계기업주식,Investments in Associates,,N,Y,ABC,abc-accounting,abc-accounting
121411,04,121400,관계기업주식,Investments in Associates,,Y,Y,ABC,abc-accounting,abc-accounting
121500,03,120000,조인트벤처주식,Investments in Joint Ventures,,N,Y,ABC,abc-accounting,abc-accounting
121511,04,121500,조인트벤처주식,Investments in Joint Ventures,,Y,Y,ABC,abc-accounting,abc-accounting
121600,03,120000,이연법인세자산,Deferred Tax Assets,,N,Y,ABC,abc-accounting,abc-accounting
121611,04,121600,이연법인세자산,Deferred Tax Assets,,Y,Y,ABC,abc-accounting,abc-accounting
121700,03,120000,기타비유동자산,Deferred Tax Assets,,N,Y,ABC,abc-accounting,abc-accounting
121711,04,121700,장기선급금,Other Non-current Assets,,Y,Y,ABC,abc-accounting,abc-accounting
121712,04,121700,(장기선급금 현재가치할인차금),Long-term Advance Payments,,Y,Y,ABC,abc-accounting,abc-accounting
121713,04,121700,(장기선급금 손상차손누계액),(Present Value Discount on Long-term Advance Payments),,Y,Y,ABC,abc-accounting,abc-accounting
121714,04,121700,장기선급비용,(Accumulated Impairment Loss on Long-term Advance Payments),,Y,Y,ABC,abc-accounting,abc-accounting
121715,04,121700,퇴직연금운용자산,Long-term Prepaid Expenses,,Y,Y,ABC,abc-accounting,abc-accounting
121716,04,121700,기타의기타비유동자산,Plan Assets for Retirement Benefits,,Y,Y,ABC,abc-accounting,abc-accounting
121800,03,120000,금융리스채권,Other Non-current Assets - Others,,N,Y,ABC,abc-accounting,abc-accounting
121811,04,121800,금융리스채권,Finance Lease Receivables,,Y,Y,ABC,abc-accounting,abc-accounting
121812,04,121800,(금융리스채권 현재가치할인차금),Finance Lease Receivables,,Y,Y,ABC,abc-accounting,abc-accounting
121813,04,121800,(금융리스채권 손상차손누계액),(Present Value Discount on Finance Lease Receivables),,Y,Y,ABC,abc-accounting,abc-accounting
122000,03,120000,유형자산,(Accumulated Impairment Loss on Finance Lease Receivables),,N,Y,ABC,abc-accounting,abc-accounting
122110,04,122000,토지,Land,,Y,Y,ABC,abc-accounting,abc-accounting
122120,04,122000,(토지감가상각누계액),(Accumulated Depreciation on Land),,Y,Y,ABC,abc-accounting,abc-accounting
122130,04,122000,(토지손상차손누계액),(Accumulated Impairment Loss on Land),,Y,Y,ABC,abc-accounting,abc-accounting
122140,04,122000,(토지정부보조금등),(Government Grants and Others for Land),,Y,Y,ABC,abc-accounting,abc-accounting
122150,04,122000,건물,Buildings,,Y,Y,ABC,abc-accounting,abc-accounting
122160,04,122000,(건물감가상각누계액),(Accumulated Depreciation on Buildings),,Y,Y,ABC,abc-accounting,abc-accounting
122170,04,122000,(건물손상차손누계액),(Accumulated Impairment Loss on Buildings),,Y,Y,ABC,abc-accounting,abc-accounting
122180,04,122000,(건물정부보조금등),(Government Grants and Others for Buildings),,Y,Y,ABC,abc-accounting,abc-accounting
122190,04,122000,구축물,Structures,,Y,Y,ABC,abc-accounting,abc-accounting
122200,04,122000,(구축물감가상각누계액),(Accumulated Depreciation on Structures),,Y,Y,ABC,abc-accounting,abc-accounting
122210,04,122000,(구축물손상차손누계액),(Accumulated Impairment Loss on Structures),,Y,Y,ABC,abc-accounting,abc-accounting
122220,04,122000,(구축물정부보조금등),(Government Grants and Others for Structures),,Y,Y,ABC,abc-accounting,abc-accounting
122230,04,122000,기계장치,Machinery,,Y,Y,ABC,abc-accounting,abc-accounting
122240,04,122000,(기계장치감가상각누계액),(Accumulated Depreciation on Machinery and Equipment),,Y,Y,ABC,abc-accounting,abc-accounting
122250,04,122000,(기계장치손상차손누계액),(Accumulated Impairment Loss on Machinery and Equipment),,Y,Y,ABC,abc-accounting,abc-accounting
122260,04,122000,(기계장치정부보조금등),(Government Grants and Others for Machinery and Equipment),,Y,Y,ABC,abc-accounting,abc-accounting
122270,04,122000,차량운반구,Vehicles,,Y,Y,ABC,abc-accounting,abc-accounting
122280,04,122000,(차량운반구감가상각누계액),(Accumulated Depreciation on Vehicles),,Y,Y,ABC,abc-accounting,abc-accounting
122290,04,122000,(차량운반구손상차손누계액),(Accumulated Impairment Loss on Vehicles),,Y,Y,ABC,abc-accounting,abc-accounting
122310,04,122000,공구기구비품,Tools and Equipment,,Y,Y,ABC,abc-accounting,abc-accounting
122320,04,122000,(공구기구비품감가상각누계액),(Accumulated Depreciation on Tools and Equipment),,Y,Y,ABC,abc-accounting,abc-accounting
122330,04,122000,(공구기구비품손상차손누계액),(Accumulated Impairment Loss on Tools and Equipment),,Y,Y,ABC,abc-accounting,abc-accounting
122350,04,122000,비품,Fixtures,,Y,Y,ABC,abc-accounting,abc-accounting
122360,04,122000,(비품감가상각누계액),(Accumulated Depreciation on Fixtures and Furniture),,Y,Y,ABC,abc-accounting,abc-accounting
122370,04,122000,(비품손상차손누계액),(Accumulated Impairment Loss on Fixtures and Furniture),,Y,Y,ABC,abc-accounting,abc-accounting
122390,04,122000,렌탈자산,Rental Assets,,Y,Y,ABC,abc-accounting,abc-accounting
122400,04,122000,(렌탈자산감가상각누계액),(Accumulated Depreciation on Rental Assets),,Y,Y,ABC,abc-accounting,abc-accounting
122410,04,122000,(렌탈자산손상차손누계액),(Accumulated Impairment Loss on Rental Assets),,Y,Y,ABC,abc-accounting,abc-accounting
122430,04,122000,건설중인유형자산,Construction in Progress,,Y,Y,ABC,abc-accounting,abc-accounting
122440,04,122000,(건설중인유형자산손상차손누계액),(Accumulated Impairment Loss on Construction in Progress),,Y,Y,ABC,abc-accounting,abc-accounting
122460,04,122000,미착유형자산,Tangible Assets in Transit,,Y,Y,ABC,abc-accounting,abc-accounting
122470,04,122000,(미착유형자산손상차손누계액),(Accumulated Impairment Loss on Tangible Assets in Transit),,Y,Y,ABC,abc-accounting,abc-accounting
122490,04,122000,기타유형자산,Other Tangible Assets,,Y,Y,ABC,abc-accounting,abc-accounting
122500,04,122000,(기타유형자산감가상각누계액),(Accumulated Depreciation on Other Tangible Assets),,Y,Y,ABC,abc-accounting,abc-accounting
122510,04,122000,(기타유형자산손상차손누계액),(Accumulated Impairment Loss on Other Tangible Assets),,Y,Y,ABC,abc-accounting,abc-accounting
122530,04,122000,입목,Standing Timber,,Y,Y,ABC,abc-accounting,abc-accounting
122540,04,122000,(입목손상차손누계액),(Accumulated Impairment Loss on Standing Timber),,Y,Y,ABC,abc-accounting,abc-accounting
122550,04,122000,(입목정부보조금등),(Government Grants and Others for Standing Timber),,Y,Y,ABC,abc-accounting,abc-accounting
122560,04,122000,코스,Course,,Y,Y,ABC,abc-accounting,abc-accounting
122570,04,122000,(코스손상차손누계액),(Accumulated Impairment Loss on Course),,Y,Y,ABC,abc-accounting,abc-accounting
122580,04,122000,(코스정부보조금등),(Government Grants and Others for Course),,Y,Y,ABC,abc-accounting,abc-accounting
122590,04,122000,사용권자산,Right-of-use Assets,,Y,Y,ABC,abc-accounting,abc-accounting
122600,04,122000,(사용권자산감가상각누계액),(Accumulated Depreciation on Right-of-use Assets),,Y,Y,ABC,abc-accounting,abc-accounting
123000,03,120000,투자부동산,Investment Property,,N,Y,ABC,abc-accounting,abc-accounting
123110,04,123000,투자부동산-토지,Investment Property - Land,,Y,Y,ABC,abc-accounting,abc-accounting
123120,04,123000,(투자부동산-토지:감가상각누계액),(Accumulated Depreciation on Investment Property - Land),,Y,Y,ABC,abc-accounting,abc-accounting
123130,04,123000,(투자부동산-토지:손상차손누계액),(Accumulated Impairment Loss on Investment Property - Land),,Y,Y,ABC,abc-accounting,abc-accounting
123140,04,123000,(투자부동산-토지:정부보조금등),(Government Grants and Others for Investment Property - Land),,Y,Y,ABC,abc-accounting,abc-accounting
123150,04,123000,투자부동산-건물,Investment Property - Buildings,,Y,Y,ABC,abc-accounting,abc-accounting
123160,04,123000,(투자부동산-건물:감가상각누계액),(Accumulated Depreciation on Investment Property - Buildings),,Y,Y,ABC,abc-accounting,abc-accounting
123170,04,123000,(투자부동산-건물:손상차손누계액),(Accumulated Impairment Loss on Investment Property - Buildings),,Y,Y,ABC,abc-accounting,abc-accounting
123180,04,123000,(투자부동산-건물:정부보조금등),(Government Grants and Others for Investment Property - Buildings),,Y,Y,ABC,abc-accounting,abc-accounting
123190,04,123000,투자부동산-구축물,Investment Property - Structures,,Y,Y,ABC,abc-accounting,abc-accounting
123200,04,123000,(투자부동산-구축물:감가상각누계액),(Accumulated Depreciation on Investment Property - Structures),,Y,Y,ABC,abc-accounting,abc-accounting
123210,04,123000,(투자부동산-구축물:손상차손누계액),(Accumulated Impairment Loss on Investment Property - Structures),,Y,Y,ABC,abc-accounting,abc-accounting
123220,04,123000,(투자부동산-구축물:정부보조금등),(Government Grants and Others for Investment Property - Structures),,Y,Y,ABC,abc-accounting,abc-accounting
123230,04,123000,투자부동산-건설중인자산,Investment Property - Construction in Progress,,Y,Y,ABC,abc-accounting,abc-accounting
123240,04,123000,(투자부동산-건설중인자산손상차손누계액),(Accumulated Impairment Loss on Investment Property - Construction in Progress),,Y,Y,ABC,abc-accounting,abc-accounting
123250,04,123000,(투자부동산-건설중인자산정부보조금등),(Government Grants and Others for Investment Property - Construction in Progress),,Y,Y,ABC,abc-accounting,abc-accounting
124000,03,120000,무형자산,Intangible Assets,,N,Y,ABC,abc-accounting,abc-accounting
124110,04,124000,영업권,Goodwill,,Y,Y,ABC,abc-accounting,abc-accounting
124120,04,124000,(영업권손상차손누계액),(Accumulated Impairment Loss on Goodwill),,Y,Y,ABC,abc-accounting,abc-accounting
124130,04,124000,산업재산권,Industrial Property Rights,,Y,Y,ABC,abc-accounting,abc-accounting
124140,04,124000,(산업재산권감가상각누계액),(Accumulated Amortization on Industrial Property Rights),,Y,Y,ABC,abc-accounting,abc-accounting
124150,04,124000,(산업재산권손상차손누계액),(Accumulated Impairment Loss on Industrial Property Rights),,Y,Y,ABC,abc-accounting,abc-accounting
124160,04,124000,(산업재산권정부보조금등),(Government Grants and Others for Industrial Property Rights),,Y,Y,ABC,abc-accounting,abc-accounting
124170,04,124000,토지사용권,Land Use Rights,,Y,Y,ABC,abc-accounting,abc-accounting
124180,04,124000,(토지사용권감가상각누계액),(Accumulated Amortization on Land Use Rights),,Y,Y,ABC,abc-accounting,abc-accounting
124190,04,124000,(토지사용권손상차손누계액),(Accumulated Impairment Loss on Land Use Rights),,Y,Y,ABC,abc-accounting,abc-accounting
124200,04,124000,(토지사용권정부보조금등),(Government Grants and Others for Land Use Rights),,Y,Y,ABC,abc-accounting,abc-accounting
124210,04,124000,개발비,Development Costs,,Y,Y,ABC,abc-accounting,abc-accounting
124220,04,124000,(개발비감가상각누계액),(Accumulated Amortization on Development Costs),,Y,Y,ABC,abc-accounting,abc-accounting
124230,04,124000,(개발비손상차손누계액),(Accumulated Impairment Loss on Development Costs),,Y,Y,ABC,abc-accounting,abc-accounting
124250,04,124000,소프트웨어,Software,,Y,Y,ABC,abc-accounting,abc-accounting
124260,04,124000,(소프트웨어감가상각누계액),(Accumulated Amortization on Software),,Y,Y,ABC,abc-accounting,abc-accounting
124270,04,124000,(소프트웨어손상차손누계액),(Accumulated Impairment Loss on Software),,Y,Y,ABC,abc-accounting,abc-accounting
124290,04,124000,시설이용권,Facility Usage Rights,,Y,Y,ABC,abc-accounting,abc-accounting
124300,04,124000,(시설이용권감가상각누계액),(Accumulated Amortization on Facility Usage Rights),,Y,Y,ABC,abc-accounting,abc-accounting
124310,04,124000,(시설이용권손상차손누계액),(Accumulated Impairment Loss on Facility Usage Rights),,Y,Y,ABC,abc-accounting,abc-accounting
124320,04,124000,(시설이용권정부보조금등),(Government Grants and Others for Facility Usage Rights),,Y,Y,ABC,abc-accounting,abc-accounting
124330,04,124000,기타무형자산,Other Intangible Assets,,Y,Y,ABC,abc-accounting,abc-accounting
124340,04,124000,(기타무형자산감가상각누계액),(Accumulated Amortization on Other Intangible Assets),,Y,Y,ABC,abc-accounting,abc-accounting
124350,04,124000,(기타무형자산손상차손누계액),(Accumulated Impairment Loss on Other Intangible Assets),,Y,Y,ABC,abc-accounting,abc-accounting
124360,04,124000,(기타무형자산정부보조금등),(Government Grants and Others for Other Intangible Assets),,Y,Y,ABC,abc-accounting,abc-accounting
124370,04,124000,건설중인무형자산,Intangible Assets Under Construction,,Y,Y,ABC,abc-accounting,abc-accounting
124380,04,124000,(건설중인무형자산손상차손누계액),(Accumulated Impairment Loss on Intangible Assets Under Construction),,Y,Y,ABC,abc-accounting,abc-accounting
124390,04,124000,(건설중인무형자산-정부보조금등),(Government Grants and Others for Intangible Assets Under Construction),,Y,Y,ABC,abc-accounting,abc-accounting
124400,04,124000,사용권자산,Right-of-use Assets,,Y,Y,ABC,abc-accounting,abc-accounting
124410,04,124000,(사용권자산감가상각누계액),(Accumulated Depreciation on Right-of-use Assets),,Y,Y,ABC,abc-accounting,abc-accounting
200000,01,,부채,Liabilities,,N,Y,ABC,abc-accounting,abc-accounting
210000,02,200000,유동부채,Current Liabilities,,N,Y,ABC,abc-accounting,abc-accounting
211100,03,210000,기타유동금융부채,Other Current Financial Liabilities,,N,Y,ABC,abc-accounting,abc-accounting
211110,04,211100,당기손익인식지정금융부채,Financial Liabilities Designated at Fair Value Through Profit or Loss,,Y,Y,ABC,abc-accounting,abc-accounting
211120,04,211100,매매목적파생상품부채,Trading Derivative Liabilities,,Y,Y,ABC,abc-accounting,abc-accounting
211130,04,211100,위험회피파생상품부채,Hedging Derivative Liabilities,,Y,Y,ABC,abc-accounting,abc-accounting
211140,04,211100,(유동성)금융보증계약부채,(Current Portion of) Financial Guarantee Contract Liabilities,,Y,Y,ABC,abc-accounting,abc-accounting
211150,04,211100,((유동성)금융보증계약부채 현재가치할인차금),(Present Value Discount on Current Portion of Financial Guarantee Contract Liabilities),,Y,Y,ABC,abc-accounting,abc-accounting
211160,04,211100,기타유동금융부채,Other Current Financial Liabilities,,Y,Y,ABC,abc-accounting,abc-accounting
211200,03,210000,매입채무및기타채무,Trade and Other Payables,,N,Y,ABC,abc-accounting,abc-accounting
211211,04,211200,매입채무,Trade Payables,,Y,Y,ABC,abc-accounting,abc-accounting
211212,04,211200,미지급금,Other Payables,,Y,Y,ABC,abc-accounting,abc-accounting
211213,04,211200,미지급비용,Accrued Expenses,,Y,Y,ABC,abc-accounting,abc-accounting
211215,04,211200,단기예수보증금,Short-term Deposits Received,,Y,Y,ABC,abc-accounting,abc-accounting
211216,04,211200,(유동성)장기매입채무,Current Portion of Long-term Trade Payables,,Y,Y,ABC,abc-accounting,abc-accounting
211217,04,211200,(유동성)장기매입채무 현재가치할인차금,(Present Value Discount on Current Portion of Long-term Trade Payables),,Y,Y,ABC,abc-accounting,abc-accounting
211218,04,211200,(유동성)장기미지급금,Current Portion of Long-term Other Payables,,Y,Y,ABC,abc-accounting,abc-accounting
211219,04,211200,(유동성)장기미지급금 현재가치할인차금,(Present Value Discount on Current Portion of Long-term Other Payables),,Y,Y,ABC,abc-accounting,abc-accounting
211220,04,211200,(유동성)장기미지급비용,Current Portion of Long-term Accrued Expenses,,Y,Y,ABC,abc-accounting,abc-accounting
211221,04,211200,(유동성)장기미지급비용 현재가치할인차금,(Present Value Discount on Current Portion of Long-term Accrued Expenses),,Y,Y,ABC,abc-accounting,abc-accounting
211222,04,211200,단기렌탈보증금,Short-term Rental Deposits,,Y,Y,ABC,abc-accounting,abc-accounting
211223,04,211200,기타,Other,,Y,Y,ABC,abc-accounting,abc-accounting
211300,03,210000,단기차입금,Short-term Borrowings,,N,Y,ABC,abc-accounting,abc-accounting
211311,04,211300,단기차입금-일반,Short-term Borrowings - General,,Y,Y,ABC,abc-accounting,abc-accounting
211312,04,211300,단기차입금-해외,Short-term Borrowings - Overseas,,Y,Y,ABC,abc-accounting,abc-accounting
211400,03,210000,유동성사채,Current Portion of Bonds,,N,Y,ABC,abc-accounting,abc-accounting
211411,04,211400,(유동성)사채,Current Portion of Bonds,,Y,Y,ABC,abc-accounting,abc-accounting
211412,04,211400,(유동성)사채 할인(증)발행차금,Discount (Premium) on Current Portion of Bonds,,Y,Y,ABC,abc-accounting,abc-accounting
211413,04,211400,(유동성)전환사채,Current Portion of Convertible Bonds,,Y,Y,ABC,abc-accounting,abc-accounting
211414,04,211400,(유동성)전환사채 할인(증)발행차금,Discount (Premium) on Current Portion of Convertible Bonds,,Y,Y,ABC,abc-accounting,abc-accounting
211415,04,211400,(유동성)전환사채 전환권조정,Conversion Rights Adjustment on Current Portion of Convertible Bonds,,Y,Y,ABC,abc-accounting,abc-accounting
211416,04,211400,(유동성)전환사채 상환할증금,Redemption Premium on Current Portion of Convertible Bonds,,Y,Y,ABC,abc-accounting,abc-accounting
211417,04,211400,(유동성)신주인수권부사채,Current Portion of Bonds with Warrants,,Y,Y,ABC,abc-accounting,abc-accounting
211418,04,211400,(유동성)신주인수권부사채 할인(증)발행차금,Discount (Premium) on Current Portion of Bonds with Warrants,,Y,Y,ABC,abc-accounting,abc-accounting
211419,04,211400,(유동성)신주인수권조정,Warrant Rights Adjustment,,Y,Y,ABC,abc-accounting,abc-accounting
211420,04,211400,(유동성)신주인수권부사채 상환할증금,Redemption Premium on Current Portion of Bonds with Warrants,,Y,Y,ABC,abc-accounting,abc-accounting
211421,04,211400,(유동성)교환사채,Current Portion of Exchangeable Bonds,,Y,Y,ABC,abc-accounting,abc-accounting
211500,03,210000,유동성장기부채,Current Portion of Long-term Liabilities,,N,Y,ABC,abc-accounting,abc-accounting
211511,04,211500,(유동성)장기차입금,Current Portion of Long-term Borrowings,,Y,Y,ABC,abc-accounting,abc-accounting
211512,04,211500,(유동성)장기차입금 현재가치할인차금,Present Value Discount on Current Portion of Long-term Borrowings,,Y,Y,ABC,abc-accounting,abc-accounting
211513,04,211500,(유동성)부채성우선주,Current Portion of Redeemable Preferred Shares,,Y,Y,ABC,abc-accounting,abc-accounting
211514,04,211500,(유동성)부채성우선주 현재가치할인차금,Present Value Discount on Current Portion of Redeemable Preferred Shares,,Y,Y,ABC,abc-accounting,abc-accounting
211600,03,210000,미지급법인세,Income Tax Payable,,N,Y,ABC,abc-accounting,abc-accounting
211611,04,211600,미지급법인세,Income Tax Payable,,Y,Y,ABC,abc-accounting,abc-accounting
211700,03,210000,유동성충당부채,Current Provisions,,N,Y,ABC,abc-accounting,abc-accounting
