id,charge_id,charge_status,last_charge_status,billing_cycle,target_month,contract_id,start_date,end_date,create_time,update_time
1awo1fP7NMo,0105504400001-0101-3XXXXA-15,CREATED,CREATED,15,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.081419,2025-02-13 05:52:59.166356
1awo1fOpmEi,0105504400001-0101-3XXXXA-13,CREATED,CREATED,13,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.081193,2025-02-13 05:52:59.165824
1awo1fPOyUu,0105504400001-0101-3XXXXA-18,CREATED,CREATED,18,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.081760,2025-02-13 05:52:59.167125
1awo1fP7NMp,0105504400001-0101-3XXXXA-16,CREATED,CREATED,16,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.081500,2025-02-13 05:52:59.166766
1awo1fPOyUv,0105504400001-0101-3XXXXA-17,CREATED,CREATED,17,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.081676,2025-02-13 05:52:59.167141
1awo1fPOyUw,0105504400001-0101-3XXXXA-19,CREATED,CREATED,19,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.082578,2025-02-13 05:52:59.167412
1awo1fPyAl7,0105504400001-0101-3XXXXA-23,CREATED,CREATED,23,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.083338,2025-02-13 05:52:59.169242
1awo1fPgZd2,0105504400001-0101-3XXXXA-22,CREATED,CREATED,22,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.083263,2025-02-13 05:52:59.168952
1awo1fPgZd1,0105504400001-0101-3XXXXA-21,CREATED,CREATED,21,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.083174,2025-02-13 05:52:59.168612
1awo1fPyAl9,0105504400001-0101-3XXXXA-25,CREATED,CREATED,25,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.083469,2025-02-13 05:52:59.169985
1awo1fPyAl8,0105504400001-0101-3XXXXA-24,CREATED,CREATED,24,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.083406,2025-02-13 05:52:59.169626
1awo1fQFltE,0105504400001-0101-3XXXXA-26,CREATED,CREATED,26,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.083678,2025-02-13 05:52:59.170253
1awo1fOGZyU,0105504400001-0101-3XXXXA-07,CREATED,CREATED,7,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.078259,2025-02-13 05:52:59.163554
1awo1fQFltF,0105504400001-0101-3XXXXA-27,CREATED,CREATED,27,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.083953,2025-02-13 05:52:59.170639
1awo1fQXN1L,0105504400001-0101-3XXXXA-29,CREATED,CREATED,29,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.084302,2025-02-13 05:52:59.171369
1awo1fR6ZHV,0105504400001-0101-3XXXXA-30,CREATED,CREATED,30,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.084492,2025-02-13 05:52:59.173081
1awo1fQXN1M,0105504400001-0101-3XXXXA-28,CREATED,CREATED,28,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.084117,2025-02-13 05:52:59.171642
1awo1fR6ZHX,0105504400001-0101-3XXXXA-32,CREATED,CREATED,32,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.084670,2025-02-13 05:52:59.173696
1awo1fQFltG,0105504400001-0101-3XXXXA-20,CREATED,CREATED,20,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.083033,2025-02-13 05:52:59.172310
1awo1fR6ZHW,0105504400001-0101-3XXXXA-31,CREATED,CREATED,31,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.084589,2025-02-13 05:52:59.173596
1awo1fR6ZHY,0105504400001-0101-3XXXXA-33,CREATED,CREATED,33,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.084742,2025-02-13 05:52:59.173890
1awo1fROAPd,0105504400001-0101-3XXXXA-34,CREATED,CREATED,34,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.084809,2025-02-13 05:52:59.174064
1awo1fROAPe,0105504400001-0101-3XXXXA-35,CREATED,CREATED,35,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.085092,2025-02-13 05:52:59.174163
1awo1fROAPf,0105504400001-0101-3XXXXA-36,CREATED,CREATED,36,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.085195,2025-02-13 05:52:59.174339
1awo1fROAPg,0105504400001-0101-3XXXXA-37,CREATED,CREATED,37,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.085400,2025-02-13 05:52:59.174416
1awoP3omcqR,0105504400002-0101-5XXXXA-05,CREATED,CREATED,5,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.880365,2025-02-13 05:58:15.970996
1awoP3omcqQ,0105504400002-0101-5XXXXA-04,CREATED,CREATED,4,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.880280,2025-02-13 05:58:15.970299
1awoP3oV1iJ,0105504400002-0101-5XXXXA-02,CREATED,CREATED,2,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.880033,2025-02-13 05:58:15.969611
1awoP3omcqP,0105504400002-0101-5XXXXA-01,CREATED,CREATED,1,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.877328,2025-02-13 05:58:15.970113
1awoP3p4DyX,0105504400002-0101-5XXXXA-08,CREATED,CREATED,8,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.880650,2025-02-13 05:58:15.971383
1awoP3p4DyY,0105504400002-0101-5XXXXA-09,CREATED,CREATED,9,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.880723,2025-02-13 05:58:15.971541
1awoP3oV1iK,0105504400002-0101-5XXXXA-03,CREATED,CREATED,3,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.880168,2025-02-13 05:58:15.969611
1awoP3p4DyZ,0105504400002-0101-5XXXXA-10,CREATED,CREATED,10,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.880802,2025-02-13 05:58:15.971632
1awoP3p4Dya,0105504400002-0101-5XXXXA-06,CREATED,CREATED,6,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.880441,2025-02-13 05:58:15.971676
1awoP3p4Dyb,0105504400002-0101-5XXXXA-11,CREATED,CREATED,11,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.880881,2025-02-13 05:58:15.971776
1awoP3p4Dyc,0105504400002-0101-5XXXXA-12,CREATED,CREATED,12,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.880995,2025-02-13 05:58:15.971837
1awoP3p4Dyd,0105504400002-0101-5XXXXA-13,CREATED,CREATED,13,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.881316,2025-02-13 05:58:15.971937
1awoP3vsb7S,0105504400002-0201-5XXXXA-29,CREATED,CREATED,29,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.889464,2025-02-13 05:58:15.995734
1awoP3pLp6k,0105504400002-0101-5XXXXA-16,CREATED,CREATED,16,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.881726,2025-02-13 05:58:15.972194
1awoP3pLp6l,0105504400002-0101-5XXXXA-17,CREATED,CREATED,17,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.881821,2025-02-13 05:58:15.972336
1awoP3pLp6i,0105504400002-0101-5XXXXA-14,CREATED,CREATED,14,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.881500,2025-02-13 05:58:15.972111
1awoP3pLp6n,0105504400002-0101-5XXXXA-19,CREATED,CREATED,19,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.882035,2025-02-13 05:58:15.972433
1awoP3pLp6o,0105504400002-0101-5XXXXA-20,CREATED,CREATED,20,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.882117,2025-02-13 05:58:15.972582
1awoP3pLp6m,0105504400002-0101-5XXXXA-18,CREATED,CREATED,18,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.881896,2025-02-13 05:58:15.972390
1awoP3pLp6s,0105504400002-0101-5XXXXA-23,CREATED,CREATED,23,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.882352,2025-02-13 05:58:15.972863
1awoP3pdQF1,0105504400002-0101-5XXXXA-29,CREATED,CREATED,29,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.883049,2025-02-13 05:58:15.973300
1awoP3pv1N7,0105504400002-0101-5XXXXA-31,CREATED,CREATED,31,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.883263,2025-02-13 05:58:15.974342
1awoP3pv1NB,0105504400002-0101-5XXXXA-35,CREATED,CREATED,35,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.883602,2025-02-13 05:58:15.974743
1awoP3qCcVJ,0105504400002-0101-5XXXXA-39,CREATED,CREATED,39,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.883941,2025-02-13 05:58:15.975108
1awoP3qCcVO,0105504400002-0101-5XXXXA-44,CREATED,CREATED,44,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.884596,2025-02-13 05:58:15.975903
1awoP3qUDdX,0105504400002-0101-5XXXXA-49,CREATED,CREATED,49,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.885176,2025-02-13 05:58:15.976818
1awoP3qlolf,0105504400002-0101-5XXXXA-53,CREATED,CREATED,53,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.885569,2025-02-13 05:58:15.977503
1awoP3rcc9y,0105504400002-0101-5XXXXA-60,CREATED,CREATED,60,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.886347,2025-02-13 05:58:15.980584
1awoP3v1nip,0105504400002-0201-5XXXXA-02,CREATED,CREATED,2,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.887249,2025-02-13 05:58:15.992862
1awoP3vazz6,0105504400002-0201-5XXXXA-11,CREATED,CREATED,11,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.888116,2025-02-13 05:58:15.994091
1awoP3vazzG,0105504400002-0201-5XXXXA-21,CREATED,CREATED,21,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.888907,2025-02-13 05:58:15.994963
1awoP3vsb7N,0105504400002-0201-5XXXXA-25,CREATED,CREATED,25,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.889193,2025-02-13 05:58:15.995349
1awoP3wACFX,0105504400002-0201-5XXXXA-30,CREATED,CREATED,30,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.889529,2025-02-13 05:58:15.996506
1awoP3wRnNf,0105504400002-0201-5XXXXA-34,CREATED,CREATED,34,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.889815,2025-02-13 05:58:15.997412
1awoP3wRnNi,0105504400002-0201-5XXXXA-37,CREATED,CREATED,37,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.890015,2025-02-13 05:58:15.997973
1awoP3wjOVq,0105504400002-0201-5XXXXA-41,CREATED,CREATED,41,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.890305,2025-02-13 05:58:15.998870
1awoP3x0zdz,0105504400002-0201-5XXXXA-47,CREATED,CREATED,47,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.890709,2025-02-13 05:58:15.999675
1awoP3xIamA,0105504400002-0201-5XXXXA-53,CREATED,CREATED,53,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.891171,2025-02-13 05:58:16.000366
1awoP3xIamF,0105504400002-0201-5XXXXA-58,CREATED,CREATED,58,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.891635,2025-02-13 05:58:16.000914
1awoP3pLp6p,0105504400002-0101-5XXXXA-22,CREATED,CREATED,22,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.882279,2025-02-13 05:58:15.972650
1awoP3pLp6t,0105504400002-0101-5XXXXA-25,CREATED,CREATED,25,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.882684,2025-02-13 05:58:15.973000
1awoP3p4DyW,0105504400002-0101-5XXXXA-07,CREATED,CREATED,7,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.880546,2025-02-13 05:58:15.971040
1awoP3pv1N8,0105504400002-0101-5XXXXA-32,CREATED,CREATED,32,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.883342,2025-02-13 05:58:15.974483
1awoP3pv1ND,0105504400002-0101-5XXXXA-37,CREATED,CREATED,37,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.883767,2025-02-13 05:58:15.974926
1awoP3qCcVK,0105504400002-0101-5XXXXA-40,CREATED,CREATED,40,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.884013,2025-02-13 05:58:15.975275
1awoP3qUDdV,0105504400002-0101-5XXXXA-47,CREATED,CREATED,47,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.884901,2025-02-13 05:58:15.976458
1awoP3qlole,0105504400002-0101-5XXXXA-52,CREATED,CREATED,52,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.885484,2025-02-13 05:58:15.977329
1awoP3r3Ptn,0105504400002-0101-5XXXXA-57,CREATED,CREATED,57,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.886123,2025-02-13 05:58:15.978274
1awoP3v1nio,0105504400002-0201-5XXXXA-01,CREATED,CREATED,1,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.887166,2025-02-13 05:58:15.992317
1awoP3vJOqz,0105504400002-0201-5XXXXA-08,CREATED,CREATED,8,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.887911,2025-02-13 05:58:15.993751
1awoP3vazzB,0105504400002-0201-5XXXXA-16,CREATED,CREATED,16,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.888539,2025-02-13 05:58:15.994467
1awoP3vsb7O,0105504400002-0201-5XXXXA-22,CREATED,CREATED,22,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.888976,2025-02-13 05:58:15.995374
1awoP3wRnNe,0105504400002-0201-5XXXXA-33,CREATED,CREATED,33,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.889747,2025-02-13 05:58:15.997239
1awoP3wjOVn,0105504400002-0201-5XXXXA-38,CREATED,CREATED,38,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.890079,2025-02-13 05:58:15.998151
1awoP3x0zdv,0105504400002-0201-5XXXXA-42,CREATED,CREATED,42,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.890373,2025-02-13 05:58:15.999072
1awoP3x0zdx,0105504400002-0201-5XXXXA-44,CREATED,CREATED,44,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.890508,2025-02-13 05:58:15.999435
1awoP3xIam7,0105504400002-0201-5XXXXA-50,CREATED,CREATED,50,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.890937,2025-02-13 05:58:16.000068
1awoP3xIamB,0105504400002-0201-5XXXXA-54,CREATED,CREATED,54,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.891240,2025-02-13 05:58:16.000445
1awoP3xaBuM,0105504400002-0201-5XXXXA-61,CREATED,CREATED,61,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.891980,2025-02-13 05:58:16.001519
1awoP3qCcVN,0105504400002-0101-5XXXXA-43,CREATED,CREATED,43,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.884231,2025-02-13 05:58:15.975539
1awoP3pLp6q,0105504400002-0101-5XXXXA-21,CREATED,CREATED,21,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.882205,2025-02-13 05:58:15.972785
1awoP3pdQEz,0105504400002-0101-5XXXXA-27,CREATED,CREATED,27,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.882847,2025-02-13 05:58:15.973109
1awoP3pdQEy,0105504400002-0101-5XXXXA-26,CREATED,CREATED,26,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.882762,2025-02-13 05:58:15.974158
1awoP3pv1N9,0105504400002-0101-5XXXXA-33,CREATED,CREATED,33,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.883438,2025-02-13 05:58:15.974546
1awoP3qCcVI,0105504400002-0101-5XXXXA-38,CREATED,CREATED,38,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.883862,2025-02-13 05:58:15.975089
1awoP3qCcVM,0105504400002-0101-5XXXXA-42,CREATED,CREATED,42,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.884154,2025-02-13 05:58:15.975452
1awoP3qUDdU,0105504400002-0101-5XXXXA-46,CREATED,CREATED,46,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.884785,2025-02-13 05:58:15.976287
1awoP3qUDdY,0105504400002-0101-5XXXXA-50,CREATED,CREATED,50,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.885285,2025-02-13 05:58:15.976992
1awoP3qlolh,0105504400002-0101-5XXXXA-55,CREATED,CREATED,55,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.885926,2025-02-13 05:58:15.977879
1awoP3r3Pto,0105504400002-0101-5XXXXA-58,CREATED,CREATED,58,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.886194,2025-02-13 05:58:15.978508
1awoP3ruDI3,0105504400002-0101-5XXXXA-61,CREATED,CREATED,61,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.886420,2025-02-13 05:58:15.981233
1awoP3vJOqx,0105504400002-0201-5XXXXA-05,CREATED,CREATED,5,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.887680,2025-02-13 05:58:15.993475
1awoP3vJOr0,0105504400002-0201-5XXXXA-09,CREATED,CREATED,9,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.887982,2025-02-13 05:58:15.993895
1awoP3vazz8,0105504400002-0201-5XXXXA-13,CREATED,CREATED,13,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.888331,2025-02-13 05:58:15.994281
1awoP3vazzC,0105504400002-0201-5XXXXA-17,CREATED,CREATED,17,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.888611,2025-02-13 05:58:15.994589
1awoP3vazzA,0105504400002-0201-5XXXXA-14,CREATED,CREATED,14,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.888401,2025-02-13 05:58:15.994464
1awoP3vazzF,0105504400002-0201-5XXXXA-20,CREATED,CREATED,20,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.888838,2025-02-13 05:58:15.994903
1awoP3vsb7L,0105504400002-0201-5XXXXA-23,CREATED,CREATED,23,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.889052,2025-02-13 05:58:15.995115
1awoP3vsb7R,0105504400002-0201-5XXXXA-28,CREATED,CREATED,28,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.889398,2025-02-13 05:58:15.995578
1awoP3wRnNd,0105504400002-0201-5XXXXA-32,CREATED,CREATED,32,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.889683,2025-02-13 05:58:15.997052
1awoP3wRnNh,0105504400002-0201-5XXXXA-36,CREATED,CREATED,36,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.889950,2025-02-13 05:58:15.997801
1awoP3wjOVp,0105504400002-0201-5XXXXA-40,CREATED,CREATED,40,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.890230,2025-02-13 05:58:15.998622
1awoP3x0zdw,0105504400002-0201-5XXXXA-43,CREATED,CREATED,43,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.890442,2025-02-13 05:58:15.999283
1awoP3x0ze1,0105504400002-0201-5XXXXA-48,CREATED,CREATED,48,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.890789,2025-02-13 05:58:15.999871
1awoP3xIam9,0105504400002-0201-5XXXXA-52,CREATED,CREATED,52,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.891101,2025-02-13 05:58:16.000264
1awoP3xIamE,0105504400002-0201-5XXXXA-57,CREATED,CREATED,57,,0105504400002-0201-5XXXXA,,,2025-02-13 05:58:15.891452,2025-02-13 05:58:16.000777
1awoP3pLp6r,0105504400002-0101-5XXXXA-24,CREATED,CREATED,24,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.882594,2025-02-13 05:58:15.972852
1awoP3pdQF0,0105504400002-0101-5XXXXA-28,CREATED,CREATED,28,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.882918,2025-02-13 05:58:15.973185
1awoP3pv1N6,0105504400002-0101-5XXXXA-30,CREATED,CREATED,30,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.883161,2025-02-13 05:58:15.974117
1awoP3pv1NA,0105504400002-0101-5XXXXA-34,CREATED,CREATED,34,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.883515,2025-02-13 05:58:15.974701
1awoP3pv1NC,0105504400002-0101-5XXXXA-36,CREATED,CREATED,36,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.883691,2025-02-13 05:58:15.974897
1awoP3qCcVL,0105504400002-0101-5XXXXA-41,CREATED,CREATED,41,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.884086,2025-02-13 05:58:15.975295
1awoP3qUDdT,0105504400002-0101-5XXXXA-45,CREATED,CREATED,45,,0105504400002-0101-5XXXXA,,,2025-02-13 05:58:15.884701,2025-02-13 05:58:15.976091
