id,is_signed,signed_time,form_id,revision,customer_id,order_item_id,start_date,end_date,duration_in_months,contract_status_code,update_time,create_time,channel_contract_id,rental_code
0105431200043-0101-30000A,true,2024-11-07 08:44:42.184,docusign_00001,0,09124c21af374f338a3cadd47c27a0e7,0105431200043-0101,2024-11-08 00:00:00.000,2027-11-08 00:00:00.000,36,ACTIVE,2025-02-11 02:08:22.692964,2024-11-07 08:44:42.724868,contract-100117309690821844,3XXXXA
0105429800027-0101-N0000A,true,2024-10-24 07:49:28.182,docusign_00001,0,704c44073652ad691c4f038e88bf8d88,0105429800027-0101,2024-10-25 00:00:00.000,,0,ACTIVE,2025-02-03 03:43:34.948443,2024-10-24 07:49:28.979624,contract-100117297561681834,NXXXXA
0105429800028-0101-N0000A,true,2024-10-24 07:49:30.035,docusign_00001,0,2a7d8fe1541a6d2dd918c9b15445d2a3,0105429800028-0101,2024-10-25 00:00:00.000,,0,ACTIVE,2025-02-03 03:43:34.957953,2024-10-24 07:49:31.103575,contract-100117297561700361,NXXXXA
0105430200020-0101-N0000A,true,2024-10-28 00:10:04.062,docusign_00001,0,7d807e5a19e6fa12b69bdf06f1482856,0105430200020-0101,2024-10-29 00:00:00.000,,0,ACTIVE,2025-02-03 03:43:36.557163,2024-10-28 00:10:05.050027,contract-100117300742040623,NXXXXA
0105430200021-0101-N0000A,true,2024-10-28 00:10:13.569,docusign_00001,0,a834bacedf3a9c2fabac14d652798e37,0105430200021-0101,2024-10-29 00:00:00.000,,0,ACTIVE,2025-02-03 03:43:36.560838,2024-10-28 00:10:14.822018,contract-100117300742135703,NXXXXA
0105432000049-0101-30000A,true,2024-11-15 08:57:52.877,docusign_00001,0,c7c072511d4227edbda5d7784d5a9e77,0105432000049-0101,2024-11-18 00:00:00.000,2027-11-18 00:00:00.000,36,ACTIVE,2025-02-11 02:08:23.844346,2024-11-15 08:57:53.531739,contract-100117316610728780,3XXXXA
0105431100019-0101-N0000A,true,2024-11-06 07:46:26.482,docusign_00001,0,693d8217c1796544aeba098c2a29a6a4,0105431100019-0101,2024-11-07 00:00:00.000,,0,ACTIVE,2025-02-11 02:08:38.441465,2024-11-06 07:46:27.068280,contract-100117308791864833,NXXXXA
0105503400041-0101-3XXXXXA,true,2025-02-03 06:52:42.212,,,2db146ebb66757ce158467b1275cbf99,0105503400041-0101,,,36,PENDING_CONFIRMATION,2025-02-03 06:53:17.209896,2025-02-03 06:53:17.209896,13689585880,3XXXXA
0105502000058-0101-50000A,true,2025-01-20 06:56:44.678,,,098afe4379e9399fc2ac5f2b2b4954e2,0105502000058-0101,2025-01-24 00:00:00.000,2030-01-24 00:00:00.000,60,ACTIVE,2025-02-10 11:00:24.942104,2025-01-20 06:57:15.232108,13512999128,5XXXXA
0105431000067-0101-70000A,true,2024-11-05 08:40:22.849,docusign_00001,0,6d7c0fcb5e6b3a73028a0b8272b89c21,0105431000067-0101,2024-11-07 00:00:00.000,2031-11-07 00:00:00.000,84,ACTIVE,2025-02-03 03:43:41.746931,2024-11-05 08:40:23.401231,contract-100117307960228504,7XXXXA
0105504200036-0101-5XXXXA,true,2025-02-11 02:55:59.639,,,66f313687f991f00a3e46fc3c8abe4ec,0105504200036-0101,,,60,PENDING_CONFIRMATION,2025-02-11 02:56:21.756090,2025-02-11 02:56:21.756090,16247619769,5XXXXA
0105429600061-0101-70000A,true,2024-10-22 07:06:48.327,,,cec51c756b0a7bba176b9b710ae59ba6,0105429600061-0101,,,84,PENDING_CONFIRMATION,2024-10-22 07:07:09.305585,2024-10-22 07:07:09.305585,gid://shopify/SubscriptionContract/14732165305,7XXXXA
0105430300059-0101-50000A,true,2024-10-29 08:37:20.065,docusign_00001,0,6db563094ddf7764ac3ded4f797e0c02,0105430300059-0101,,,60,PENDING_CONFIRMATION,2024-10-29 08:37:20.819134,2024-10-29 08:37:20.819134,contract-100117301910400663,5XXXXA
0105501300037-0101-30000A,true,2025-01-13 06:15:22.939,,,ac27ced97d363281070371f039f29838,0105501300037-0101,,,36,PENDING_CONFIRMATION,2025-01-13 06:16:00.401204,2025-01-13 06:16:00.401204,15874556089,3XXXXA
0105432300008-0101-30000A,true,2024-11-18 04:12:44.663,,,cda886c58257ab5d62f047ee5e7e0a2d,0105432300008-0101,,,36,PENDING_CONFIRMATION,2024-11-18 04:13:08.939113,2024-11-18 04:13:08.939113,gid://shopify/SubscriptionContract/12730859736,3XXXXA
0105435800001-0201-30000A,true,2024-12-23 01:51:46.357,,,cda886c58257ab5d62f047ee5e7e0a2d,0105435800001-0201,,,36,PENDING_CONFIRMATION,2024-12-23 01:52:23.810984,2024-12-23 01:52:23.810984,15639838905,3XXXXA
0105435800001-0301-30000A,true,2024-12-23 01:51:46.357,,,cda886c58257ab5d62f047ee5e7e0a2d,0105435800001-0301,,,36,PENDING_CONFIRMATION,2024-12-23 01:52:23.811412,2024-12-23 01:52:23.811412,15639871673,3XXXXA
0105436100003-0101-30000A,true,2024-12-26 02:27:22.906,,,e5a7cb04444f35d921d38b8f6e1e6c61,0105436100003-0101,,,36,PENDING_CONFIRMATION,2024-12-26 02:27:57.837542,2024-12-26 02:27:57.837542,15660843193,3XXXXA
0105433000005-0101-50000A,true,2024-11-25 00:59:44.562,,,625791f2ba27a442b87c1fbb656d1fa8,0105433000005-0101,2024-12-02 00:00:00.000,2029-12-02 00:00:00.000,60,ACTIVE,2024-12-02 05:59:19.640890,2024-11-25 01:00:15.271146,gid://shopify/SubscriptionContract/12826869976,5XXXXA
0105430300060-0101-N0000A,true,2024-10-29 08:37:21.852,docusign_00001,0,a103e909fb0c9f7147a45d53d35ad074,0105430300060-0101,,,0,PENDING_CONFIRMATION,2024-10-29 08:37:22.439946,2024-10-29 08:37:22.439946,contract-100117301910418524,NXXXXA
0105503400042-0101-5XXXXXA,true,2025-02-03 06:58:17.645,,,2db146ebb66757ce158467b1275cbf99,0105503400042-0101,,,60,PENDING_CONFIRMATION,2025-02-03 06:58:50.136173,2025-02-03 06:58:50.136173,13689684184,5XXXXA
0105429600062-0101-50000A,true,2024-10-22 07:12:37.837,,,cec51c756b0a7bba176b9b710ae59ba6,0105429600062-0101,,,60,PENDING_CONFIRMATION,2024-10-22 07:12:57.930068,2024-10-22 07:12:57.930068,gid://shopify/SubscriptionContract/14732230841,5XXXXA
0105429600062-0201-50000A,true,2024-10-22 07:12:37.851,,,cec51c756b0a7bba176b9b710ae59ba6,0105429600062-0201,,,60,PENDING_CONFIRMATION,2024-10-22 07:12:57.930203,2024-10-22 07:12:57.930203,gid://shopify/SubscriptionContract/14732263609,5XXXXA
0105502000057-0101-50000A,true,2025-01-20 06:53:53.700,,,098afe4379e9399fc2ac5f2b2b4954e2,0105502000057-0101,2025-01-24 00:00:00.000,2030-01-24 00:00:00.000,60,ACTIVE,2025-02-10 11:00:25.024400,2025-01-20 06:54:25.972962,13512933592,5XXXXA
0105501300038-0101-30000A,true,2025-01-13 06:30:52.144,,,ac27ced97d363281070371f039f29838,0105501300038-0101,,,36,PENDING_CONFIRMATION,2025-01-13 06:31:31.369095,2025-01-13 06:31:31.369095,15874752697,3XXXXA
0105433000006-0101-30000A,true,2024-11-25 01:05:03.792,,,f0249025f5acd29e666add269c562aa1,0105433000006-0101,,,36,PENDING_CONFIRMATION,2024-11-25 01:05:20.486982,2024-11-25 01:05:20.486981,gid://shopify/SubscriptionContract/12827001048,3XXXXA
0105432500073-0101-50000A,true,2024-11-20 01:01:11.215,docusign_00001,0,1f286d5dded844bf4028ed270dd8cdef,0105432500073-0101,2024-11-21 00:00:00.000,2029-11-21 00:00:00.000,60,ACTIVE,2025-02-11 02:08:16.663833,2024-11-20 01:01:13.651604,contract-100117320644712163,5XXXXA
0105432500088-0101-N0000A,true,2024-11-20 01:02:02.896,docusign_00001,0,64deccb4651261a3b3a3a59532bf851b,0105432500088-0101,2024-11-21 00:00:00.000,,0,ACTIVE,2025-02-11 02:08:28.666997,2024-11-20 01:02:04.733402,contract-100117320645228981,NXXXXA
0105432300009-0101-30000A,true,2024-11-18 04:22:41.821,,,2c300eb8eac61066045d20e89b1e6c58,0105432300009-0101,,,36,CONTRACT_CANCELLED,2024-11-18 04:24:03.642571,2024-11-18 04:23:04.200643,gid://shopify/SubscriptionContract/12730958040,3XXXXA
0105434300014-0101-30000A,true,2024-12-08 07:18:11.659,,,add82a2c43fb87641687545f9b351ee1,0105434300014-0101,,,36,PENDING_CONFIRMATION,2024-12-08 07:18:35.715004,2024-12-08 07:18:35.715003,gid://shopify/SubscriptionContract/15496806585,3XXXXA
0105434700054-0101-N0000A,true,2024-12-12 08:00:41.407,docusign_00001,0,e68a900d16473e7507ae69d9bc454508,0105434700054-0101,2024-12-13 00:00:00.000,,0,ACTIVE,2025-02-03 03:43:57.797437,2024-12-12 08:00:42.115225,contract-100117339904414082,NXXXXA
0105504200037-0101-3XXXXA,true,2025-02-11 07:14:04.597,,,df30adafa22a71f3c0b13fd386ad367f,0105504200037-0101,,,36,PENDING_CONFIRMATION,2025-02-11 07:14:24.575292,2025-02-11 07:14:24.575291,16248733881,3XXXXA
0105436100004-0101-30000A,true,2024-12-26 02:36:37.017,,,e5a7cb04444f35d921d38b8f6e1e6c61,0105436100004-0101,,,36,PENDING_CONFIRMATION,2024-12-26 02:37:09.955304,2024-12-26 02:37:09.955304,15660941497,3XXXXA
0105434700055-0101-N0000A,true,2024-12-12 08:00:43.589,docusign_00001,0,cfbd17db51842a09aa6febe51a782b31,0105434700055-0101,2024-12-13 00:00:00.000,,0,ACTIVE,2025-02-11 02:08:29.813353,2024-12-12 08:00:44.509307,contract-100117339904435901,NXXXXA
0105432500086-0101-N0000A,true,2024-11-20 01:01:56.546,docusign_00001,0,7a74a5de1f3a2317a56769f0ad956121,0105432500086-0101,2024-11-21 00:00:00.000,,0,ACTIVE,2025-02-11 02:08:37.207594,2024-11-20 01:01:58.336052,contract-100117320645165484,NXXXXA
0105430300047-0101-N0000A,true,2024-10-29 08:36:59.439,docusign_00001,0,7474c0a03b3215008ab9e5b295ed5248,0105430300047-0101,2024-10-31 00:00:00.000,,0,ACTIVE,2025-02-11 02:08:37.513779,2024-10-29 08:36:59.977062,contract-100117301910194394,NXXXXA
1XgT59EQhig,true,2024-10-14 08:03:08.855,,,210ff935da17920ca96f75ff19782baa,0105428800053-0101,2024-10-31 00:00:00.000,2031-10-31 00:00:00.000,84,ACTIVE,2025-02-11 02:08:37.952087,2024-10-14 08:03:34.100195,gid://shopify/SubscriptionContract/14642479289,7XXXXA
0105432500082-0101-N0000A,true,2024-11-20 01:01:44.888,docusign_00001,0,5e80c855faa25976ee4f9f03e210d789,0105432500082-0101,2024-11-21 00:00:00.000,,0,ACTIVE,2025-02-03 03:43:49.485538,2024-11-20 01:01:46.308694,contract-100117320645048892,NXXXXA
0105434700043-0101-N0000A,true,2024-12-12 08:00:09.172,docusign_00001,0,0078a14d0047bc190576dfe9934299ac,0105434700043-0101,2024-12-13 00:00:00.000,,0,ACTIVE,2025-02-03 03:43:57.771673,2024-12-12 08:00:10.178676,contract-100117339904091732,NXXXXA
0105500700008-0101-30000A,true,2025-01-07 05:17:44.543,,,561eef0851d5fa48ab58dcb5d095bd44,0105500700008-0101,,,36,CONTRACT_CANCELLED,2025-01-07 05:19:18.594833,2025-01-07 05:18:22.180306,13340246232,3XXXXA
0105433300167-0101-N0000A,true,2024-11-28 08:48:35.172,docusign_00001,0,8c632db7cf519056029f6cb9f13eb176,0105433300167-0101,,,0,PENDING_CONFIRMATION,2024-11-28 08:48:35.797949,2024-11-28 08:48:35.797949,contract-100117327837151721,NXXXXA
0105434700072-0101-N0000A,true,2024-12-12 10:02:38.252,,,8de8fb7db73d26c73bbc1fc0e3e63e16,0105434700072-0101,,,0,PENDING_CONFIRMATION,2024-12-12 10:03:11.730876,2024-12-12 10:03:11.730876,15540650169,NXXXXA
0105435800002-0101-N0000A,true,2024-12-23 03:16:50.905,,,3e0a9c25d3db65e89076167027576dbf,0105435800002-0101,,,0,PENDING_CONFIRMATION,2024-12-23 03:17:33.592451,2024-12-23 03:17:33.592451,15640395961,NXXXXA
0105503400043-0101-NXXXXXA,true,2025-02-03 07:11:03.288,,,2db146ebb66757ce158467b1275cbf99,0105503400043-0101,,,0,PENDING_CONFIRMATION,2025-02-03 07:11:37.225367,2025-02-03 07:11:37.225367,13689782488,NXXXXA
0105503400001-0101-7XXXXXA,true,2025-02-03 00:30:30.533,docusign_00001,0,76b2141202ebc6b9791de7412d73576e,0105503400001-0101,,,84,PENDING_CONFIRMATION,2025-02-03 00:30:34.348930,2025-02-03 00:30:34.348929,contract-100117385426306281,7XXXXA
0105502000055-0101-30000A,true,2025-01-20 06:49:17.388,,,098afe4379e9399fc2ac5f2b2b4954e2,0105502000055-0101,2025-01-24 00:00:00.000,2028-01-24 00:00:00.000,36,ACTIVE,2025-02-10 11:00:25.177611,2025-01-20 06:49:48.949579,13512802520,3XXXXA
0105504200038-0101-5XXXXA,true,2025-02-11 08:59:28.719,,,5c082c13d0db196c28d90cb7d4ecf8c6,0105504200038-0101,,,60,PENDING_CONFIRMATION,2025-02-11 08:59:46.180509,2025-02-11 08:59:46.180509,16249061561,5XXXXA
0105501300039-0101-50000A,true,2025-01-13 06:45:35.967,,,ca500feae7e0d6c378218a6af1610042,0105501300039-0101,,,60,PENDING_CONFIRMATION,2025-01-13 06:46:19.918843,2025-01-13 06:46:19.918843,15875014841,5XXXXA
0105436100005-0101-30000A,true,2024-12-26 02:42:23.161,,,e5a7cb04444f35d921d38b8f6e1e6c61,0105436100005-0101,2025-01-08 00:00:00.000,2025-01-17 00:00:00.000,36,ACTIVE,2025-02-11 02:08:33.319182,2024-12-26 02:43:18.322129,15661039801,3XXXXA
0105503400044-0101-7XXXXXA,true,2025-02-03 09:48:35.802,,,a88a2742749538857c049a6453a3ce29,0105503400044-0101,,,84,PENDING_CONFIRMATION,2025-02-03 09:49:09.271961,2025-02-03 09:49:09.271961,13690536152,7XXXXA
0105504200039-0101-3XXXXA,true,2025-02-11 10:02:55.709,,,993311898a4183162c90fd0a7042961f,0105504200039-0101,,,36,PENDING_CONFIRMATION,2025-02-11 10:03:17.104469,2025-02-11 10:03:17.104469,16249356473,3XXXXA
0105503400002-0101-NXXXXXA,true,2025-02-03 00:30:38.139,docusign_00001,0,78a263af85c7736e114ef010d8f804da,0105503400002-0101,,,0,PENDING_CONFIRMATION,2025-02-03 00:30:40.534677,2025-02-03 00:30:40.534676,contract-100117385426381412,NXXXXA
0105502000054-0101-30000A,true,2025-01-20 06:48:12.445,,,dad3bf0884a05aaffe5f589a4eebd331,0105502000054-0101,2025-01-24 00:00:00.000,2028-01-24 00:00:00.000,36,ACTIVE,2025-02-10 11:00:25.254868,2025-01-20 06:48:43.012150,13512736984,3XXXXA
0105429600064-0101-30000A,true,2024-10-22 08:30:42.878,,,a20690ea4ee9e5cd16ff1eb4e6c605da,0105429600064-0101,,,36,PENDING_CONFIRMATION,2024-10-22 08:31:08.271876,2024-10-22 08:31:08.271876,gid://shopify/SubscriptionContract/12304187608,3XXXXA
0105501300040-0101-30000A,true,2025-01-13 07:07:41.228,,,d669fdc307c8372dc05d0b13554c007b,0105501300040-0101,,,36,PENDING_CONFIRMATION,2025-01-13 07:08:20.300724,2025-01-13 07:08:20.300724,15875211449,3XXXXA
0105501500017-0101-50000A,true,2025-01-15 00:30:52.635,docusign_00001,0,59a388b965665d60c969385941025ac5,0105501500017-0101,,,60,PENDING_CONFIRMATION,2025-01-15 00:30:53.483766,2025-01-15 00:30:53.483766,contract-100117369010526364,5XXXXA
0105503500001-0101-5XXXXXA,true,2025-02-04 00:21:24.209,,,dad3bf0884a05aaffe5f589a4eebd331,0105503500001-0101,,,60,PENDING_CONFIRMATION,2025-02-04 00:22:00.263830,2025-02-04 00:22:00.263829,13698662616,5XXXXA
0105503400003-0101-7XXXXXA,true,2025-02-03 00:30:42.592,docusign_00001,0,80851997356ded35635c0d5323bca888,0105503400003-0101,,,84,PENDING_CONFIRMATION,2025-02-03 00:30:43.293302,2025-02-03 00:30:43.293302,contract-100117385426425941,7XXXXA
0105503400005-0101-5XXXXXA,true,2025-02-03 00:30:47.026,docusign_00001,0,f6c9fb4773bf9bf02e8337cb40bdb514,0105503400005-0101,,,60,PENDING_CONFIRMATION,2025-02-03 00:30:47.722599,2025-02-03 00:30:47.722599,contract-100117385426470284,5XXXXA
0105430300079-0101-70000A,true,2024-10-29 08:37:58.926,docusign_00001,0,01b155e0947fe39252b264b9236622a4,0105430300079-0101,,,84,PENDING_CONFIRMATION,2024-10-29 08:37:59.712126,2024-10-29 08:37:59.712125,contract-100117301910789260,7XXXXA
0105501300041-0101-30000A,true,2025-01-13 07:56:40.881,,,e903e980de58369f7cec4bb2c5f1c0e5,0105501300041-0101,,,36,PENDING_CONFIRMATION,2025-01-13 07:57:15.934002,2025-01-13 07:57:15.934002,15875473593,3XXXXA
0105501000014-0101-50000A,true,2025-01-10 00:31:40.478,docusign_00001,0,e7298f004c2581096e9b449303ecdc5c,0105501000014-0101,2025-01-24 00:00:00.000,2030-01-24 00:00:00.000,60,ACTIVE,2025-02-03 03:44:01.480111,2025-01-10 00:31:41.092107,contract-100117364691004792,5XXXXA
0105504300001-0101-NXXXXA,true,2025-02-12 00:29:44.383,docusign_00001,0,638acdf60368c2bd656fc47ebaea6733,0105504300001-0101,,,0,PENDING_CONFIRMATION,2025-02-12 00:29:48.403043,2025-02-12 00:29:48.403042,contract-100117393201845411,NXXXXA
0105503400011-0101-7XXXXXA,true,2025-02-03 00:31:01.682,docusign_00001,0,fa5f16cf66b9c83ed27e1aa58084e360,0105503400011-0101,,,84,PENDING_CONFIRMATION,2025-02-03 00:31:03.244769,2025-02-03 00:31:03.244769,contract-100117385426616833,7XXXXA
0105501000017-0101-N0000A,true,2025-01-10 00:31:47.576,docusign_00001,0,6ecaaa8dda9da895d1af3a89a333e2bd,0105501000017-0101,2025-01-24 00:00:00.000,,0,ACTIVE,2025-02-11 02:08:27.819271,2025-01-10 00:31:49.128992,contract-100117364691075774,NXXXXA
0105504300006-0101-3XXXXA,true,2025-02-12 00:30:05.054,docusign_00001,0,8978acc285070924a6d06f540c418f57,0105504300006-0101,,,36,PENDING_CONFIRMATION,2025-02-12 00:30:06.002236,2025-02-12 00:30:06.002236,contract-100117393202050572,3XXXXA
0105431300001-0101-50000A,true,2024-11-08 04:01:22.272,,,adbd61bbb9a0636b478e4b5c95fcea1b,0105431300001-0101,,,60,PENDING_CONFIRMATION,2024-11-08 04:01:44.785932,2024-11-08 04:01:44.784971,gid://shopify/SubscriptionContract/12455215320,5XXXXA
0105431300001-0201-50000A,true,2024-11-08 04:01:22.305,,,adbd61bbb9a0636b478e4b5c95fcea1b,0105431300001-0201,,,60,PENDING_CONFIRMATION,2024-11-08 04:01:44.786204,2024-11-08 04:01:44.786204,gid://shopify/SubscriptionContract/12455248088,5XXXXA
0105432300013-0101-30000A,true,2024-11-18 05:15:15.872,,,2c300eb8eac61066045d20e89b1e6c58,0105432300013-0101,,,36,PENDING_CONFIRMATION,2024-11-18 05:15:21.134214,2024-11-18 05:15:21.134214,gid://shopify/SubscriptionContract/12731580632,3XXXXA
0105503500002-0101-NXXXXXA,true,2025-02-04 00:29:21.482,docusign_00001,0,d1de62aca516bb79da85e30fd1b6e765,0105503500002-0101,,,0,PENDING_CONFIRMATION,2025-02-04 00:29:24.164682,2025-02-04 00:29:24.164682,contract-100117386289615943,NXXXXA
0105502300005-0101-N0000A,true,2025-01-23 00:29:32.782,docusign_00001,0,086e69d64ef5df4068fba8351bc22e41,0105502300005-0101,2025-01-24 00:00:00.000,,0,ACTIVE,2025-02-03 03:44:04.725754,2025-01-23 00:29:34.339489,contract-100117375921727861,NXXXXA
0105504300002-0101-7XXXXA,true,2025-02-12 00:29:52.875,docusign_00001,0,0a87848b7369390c4b67975e7b2d16a2,0105504300002-0101,,,84,PENDING_CONFIRMATION,2025-02-12 00:29:55.161747,2025-02-12 00:29:55.161746,contract-100117393201928793,7XXXXA
