id,service_flow_id,service_billing_type,service_charge_status,update_time,create_time,shopify_order_id
1a2GAzVkmlQ,1a2GAzVkmlN,INVOICE_BILLING,PENDING,2025-01-10 04:13:23.510573,2025-01-10 04:13:23.506617,
1a2GCPRhsxw,1a2GCPRhsxt,INVOICE_BILLING,PENDING,2025-01-10 04:13:42.718533,2025-01-10 04:13:42.714082,
1a2H9UwVuuf,1a2H9UwVuuc,INVOICE_BILLING,PENDING,2025-01-10 04:27:03.116504,2025-01-10 04:27:03.090099,
1a2HZlSrIob,1a2HZlSrIoY,INVOICE_BILLING,PENDING,2025-01-10 04:32:58.635678,2025-01-10 04:32:58.619681,
1a2Hih8atq6,1a2Hih8atq3,INVOICE_BILLING,PENDING,2025-01-10 04:34:59.553658,2025-01-10 04:34:59.548471,
1a2HwBbzTCS,1a2HwBbzTCP,INVOICE_BILLING,PENDING,2025-01-10 04:38:02.258270,2025-01-10 04:38:02.253872,
1a2Ic8vjRdE,1a2Ic8vjRdB,INVOICE_BILLING,PENDING,2025-01-10 04:47:30.445635,2025-01-10 04:47:30.441081,
1a2IwWydEnB,1a2IwWydEn8,INVOICE_BILLING,PENDING,2025-01-10 04:52:06.548241,2025-01-10 04:52:06.538994,
1a2J4Y5rL6F,1a2J4Y5rL6C,INVOICE_BILLING,PENDING,2025-01-10 04:53:55.128186,2025-01-10 04:53:55.120153,
1a2KTqWtZap,1a2KTqWtZam,ON_SITE_PAYMENT,PENDING,2025-01-10 05:13:37.326902,2025-01-10 05:13:37.322134,
1a2MRbkYENf,1a2MRbkYENc,INVOICE_BILLING,PENDING,2025-01-10 05:41:06.254573,2025-01-10 05:41:06.249341,
1a2NIiMMHuL,1a2NIiMMHuI,INVOICE_BILLING,PENDING,2025-01-10 05:53:05.431165,2025-01-10 05:53:05.426799,
1a2OEcitFCl,1a2OEcitFCi,INVOICE_BILLING,PENDING,2025-01-10 06:06:09.654621,2025-01-10 06:06:09.647425,
1a2ROTvQjZN,1a2ROTvQjZK,INVOICE_BILLING,PENDING,2025-01-10 06:50:22.008540,2025-01-10 06:50:22.003213,
1a2ROZ9J30e,1a2ROZ9J30b,INVOICE_BILLING,PENDING,2025-01-10 06:50:23.149103,2025-01-10 06:50:23.142453,
1a2T8k6ME42,1a2T8k6ME3z,INVOICE_BILLING,PENDING,2025-01-10 07:14:48.101806,2025-01-10 07:14:48.096942,
1a2ToHw6EbH,1a2ToHw6EbE,ON_SITE_PAYMENT,PENDING,2025-01-10 07:24:10.723457,2025-01-10 07:24:10.718335,
1a2ToMrWcaC,1a2ToMrWca9,ON_SITE_PAYMENT,PENDING,2025-01-10 07:24:11.798586,2025-01-10 07:24:11.793126,
1a2ToQrgf2B,1a2ToQrgf28,INVOICE_BILLING,PENDING,2025-01-10 07:24:12.672250,2025-01-10 07:24:12.666727,
1a2TpgY1hNz,1a2TpgY1hNw,ON_SITE_PAYMENT,PENDING,2025-01-10 07:24:29.637302,2025-01-10 07:24:29.633369,
1a2TpjWWwuG,1a2TpjWWwuD,ON_SITE_PAYMENT,PENDING,2025-01-10 07:24:30.289379,2025-01-10 07:24:30.285365,
1a2UN4lDWv0,1a2UN4lDWux,ON_SITE_PAYMENT,PENDING,2025-01-10 07:32:01.823354,2025-01-10 07:32:01.818067,
1a2UN9A02xT,1a2UN9A02xQ,ON_SITE_PAYMENT,PENDING,2025-01-10 07:32:02.782287,2025-01-10 07:32:02.777666,
1a2V7HGnrjX,1a2V7HGnrjU,INVOICE_BILLING,PENDING,2025-01-10 07:42:27.495526,2025-01-10 07:42:27.491466,
1a2VMdlEo6c,1a2VMdlEpAd,INVOICE_BILLING,PENDING,2025-01-10 07:45:55.541994,2025-01-10 07:45:55.537680,
1a2Vd8LSUpC,1a2Vd8LSUp9,INVOICE_BILLING,PENDING,2025-01-10 07:49:38.897640,2025-01-10 07:49:38.893701,
1a2Vwbyj0C0,1a2Vwbyj0Bx,ON_SITE_PAYMENT,PENDING,2025-01-10 07:54:02.673040,2025-01-10 07:54:02.668735,
1a2VwfvgpTZ,1a2VwfvgpTW,ON_SITE_PAYMENT,PENDING,2025-01-10 07:54:03.534604,2025-01-10 07:54:03.530686,
1a2XoI8Y8bH,1a2XoI8Y8bE,INVOICE_BILLING,PENDING,2025-01-10 08:20:09.243814,2025-01-10 08:20:09.238690,
1a2YBMZVkI0,1a2YBMZVkHx,INVOICE_BILLING,PENDING,2025-01-10 08:25:21.678118,2025-01-10 08:25:21.673989,
1a2YtpEweXL,1a2YtpEweXI,ON_SITE_PAYMENT,PENDING,2025-01-10 08:35:23.798226,2025-01-10 08:35:23.794353,
1a2Ytwb62bU,1a2Ytwb62bR,ON_SITE_PAYMENT,PENDING,2025-01-10 08:35:25.404199,2025-01-10 08:35:25.400354,
1a2Yz8DBc1q,1a2Yz8DBc1n,INVOICE_BILLING,PENDING,2025-01-10 08:36:35.652566,2025-01-10 08:36:35.648724,
1a2aDzZtFok,1a2aDzZtFoh,INVOICE_BILLING,PENDING,2025-01-10 08:53:56.518691,2025-01-10 08:53:56.514788,
1a2bexPwzRY,1a2bexPwzRV,INVOICE_BILLING,PENDING,2025-01-10 09:14:01.306757,2025-01-10 09:14:01.302376,
1a2ePkA6h2S,1a2ePkA6h2P,INVOICE_BILLING,PENDING,2025-01-10 09:52:34.154090,2025-01-10 09:52:34.145644,
1a2ePq3i2bZ,1a2ePq3i2bW,INVOICE_BILLING,PENDING,2025-01-10 09:52:35.420359,2025-01-10 09:52:35.416610,
1a2h7E5kc8b,1a2h7E5kc8Y,ON_SITE_PAYMENT,PENDING,2025-01-10 10:30:22.223729,2025-01-10 10:30:22.218856,
1a2h7JZo3zw,1a2h7JZo3zt,ON_SITE_PAYMENT,PENDING,2025-01-10 10:30:23.421072,2025-01-10 10:30:23.416485,
1a2h7MBJp2j,1a2h7MBJp2g,ON_SITE_PAYMENT,PENDING,2025-01-10 10:30:23.987568,2025-01-10 10:30:23.983571,
1a2j1Uax2XL,1a2j1Uax2XI,INVOICE_BILLING,PENDING,2025-01-10 10:57:03.810356,2025-01-10 10:57:03.805959,
1a2jNWJwC6m,1a2jNWJeayf,INVOICE_BILLING,PENDING,2025-01-10 11:02:02.115474,2025-01-10 11:02:02.111547,
1a2jNbphEkZ,1a2jNbphEkW,INVOICE_BILLING,PENDING,2025-01-10 11:02:03.319282,2025-01-10 11:02:03.315410,
1a2jNfYT7XA,1a2jNfYBWP3,INVOICE_BILLING,PENDING,2025-01-10 11:02:04.134930,2025-01-10 11:02:04.127672,
1a2jXJImQey,1a2jXJImQev,ON_SITE_PAYMENT,PENDING,2025-01-10 11:04:14.707049,2025-01-10 11:04:14.701841,
1a2jXMl5Zti,1a2jXMl5Ztf,ON_SITE_PAYMENT,PENDING,2025-01-10 11:04:15.449056,2025-01-10 11:04:15.445127,
1a2k5sC8Mju,1a2k5sC8Mjr,ON_SITE_PAYMENT,PENDING,2025-01-10 11:12:02.752179,2025-01-10 11:12:02.747801,
1a45D66lgiV,1a45D66U5aO,INVOICE_BILLING,PENDING,2025-01-11 06:35:08.916425,2025-01-11 06:35:08.907024,
1a46WvLVkID,1a46WvLVkIA,INVOICE_BILLING,PENDING,2025-01-11 06:53:37.024848,2025-01-11 06:53:37.019927,
1a46ePx6FVv,1a46ePx6FVs,INVOICE_BILLING,PENDING,2025-01-11 06:55:18.506844,2025-01-11 06:55:18.499155,
1a49bBDHC4C,1a49bBDHC49,INVOICE_BILLING,PENDING,2025-01-11 07:36:33.514831,2025-01-11 07:36:33.510100,
1a49wbdiK9s,1a49wbdiK9p,INVOICE_BILLING,PENDING,2025-01-11 07:41:23.672543,2025-01-11 07:41:23.667882,
1a4AA3BwBCw,1a4AA3BwBCt,INVOICE_BILLING,PENDING,2025-01-11 07:44:25.738909,2025-01-11 07:44:25.734240,
1a4AQtGdbqS,1a4AQtGdbqP,INVOICE_BILLING,PENDING,2025-01-11 07:48:13.792450,2025-01-11 07:48:13.787751,
1a4AR05mtlT,1a4AR05mtlQ,ON_SITE_PAYMENT,PENDING,2025-01-11 07:48:15.278894,2025-01-11 07:48:15.274598,
1a4BWLLMZ5f,1a4BWLLMZ5c,ON_SITE_PAYMENT,PENDING,2025-01-11 08:03:27.250264,2025-01-11 08:03:27.246241,
1a4BoBe2aM5,1a4BoBe2aM2,INVOICE_BILLING,PENDING,2025-01-11 08:07:28.892485,2025-01-11 08:07:28.888285,
1a4CMz8suup,1a4CMz8suum,INVOICE_BILLING,PENDING,2025-01-11 08:15:20.140241,2025-01-11 08:15:20.135772,
1a4D23wiTeR,1a4D23wiTeO,INVOICE_BILLING,PENDING,2025-01-11 08:24:36.420415,2025-01-11 08:24:36.416244,
1a4DndIAXe1,1a4DndIAXdy,INVOICE_BILLING,PENDING,2025-01-11 08:35:20.625516,2025-01-11 08:35:20.621084,
1a4EahuP9tq,1a4EahuP9tn,INVOICE_BILLING,PENDING,2025-01-11 08:46:25.203766,2025-01-11 08:46:25.199226,
1a6z8Dk2f9W,1a6z8Dk2f9T,INVOICE_BILLING,PENDING,2025-01-13 00:32:54.170312,2025-01-13 00:32:54.166026,
1a6z8ekyxWT,1a6z8ekyxWQ,INVOICE_BILLING,PENDING,2025-01-13 00:33:00.070331,2025-01-13 00:33:00.066181,
1a6z8rzstio,1a6z8rzstil,INVOICE_BILLING,PENDING,2025-01-13 00:33:02.962412,2025-01-13 00:33:02.958167,
1a6z92M2C8b,1a6z92Lkb0U,INVOICE_BILLING,PENDING,2025-01-13 00:33:05.222971,2025-01-13 00:33:05.219016,
1a6z9CYx2ET,1a6z9CYx2EQ,INVOICE_BILLING,PENDING,2025-01-13 00:33:07.452722,2025-01-13 00:33:07.448759,
1a6z9NVdwSc,1a6z9NVdwSZ,INVOICE_BILLING,PENDING,2025-01-13 00:33:09.843428,2025-01-13 00:33:09.839657,
1a6z9WtcGDI,1a6z9WtKf5B,INVOICE_BILLING,PENDING,2025-01-13 00:33:11.894319,2025-01-13 00:33:11.890276,
1a6z9hXmbgv,1a6z9hXmbgs,INVOICE_BILLING,PENDING,2025-01-13 00:33:14.221549,2025-01-13 00:33:14.215685,
1a6z9vWNxps,1a6z9vWNxpp,INVOICE_BILLING,PENDING,2025-01-13 00:33:17.272198,2025-01-13 00:33:17.267983,
1a6zA7Ht49T,1a6zA7Ht49Q,INVOICE_BILLING,PENDING,2025-01-13 00:33:19.842863,2025-01-13 00:33:19.838948,
1a6zAJJ06cc,1a6zAJJ06cZ,INVOICE_BILLING,PENDING,2025-01-13 00:33:22.466919,2025-01-13 00:33:22.463020,
1a6zASCJl1j,1a6zASCJl1g,INVOICE_BILLING,PENDING,2025-01-13 00:33:24.409312,2025-01-13 00:33:24.405376,
1a6zAdBm0kh,1a6zAdBm0ke,INVOICE_BILLING,PENDING,2025-01-13 00:33:26.812785,2025-01-13 00:33:26.808103,
1a6zAo3diW4,1a6zAo3diW1,INVOICE_BILLING,PENDING,2025-01-13 00:33:29.184380,2025-01-13 00:33:29.180580,
1a6zAymDJz8,1a6zAymDJz5,INVOICE_BILLING,PENDING,2025-01-13 00:33:31.527455,2025-01-13 00:33:31.523107,
1a6zB8fXqKf,1a6zB8fXqKc,INVOICE_BILLING,PENDING,2025-01-13 00:33:33.686304,2025-01-13 00:33:33.682257,
1a6zBLY1TSI,1a6zBLY1TSF,INVOICE_BILLING,PENDING,2025-01-13 00:33:36.500033,2025-01-13 00:33:36.495925,
1a6zBYEMzhN,1a6zBYEMzhK,INVOICE_BILLING,PENDING,2025-01-13 00:33:39.270972,2025-01-13 00:33:39.267017,
1a6zBjM3bs3,1a6zBjM3bs0,INVOICE_BILLING,PENDING,2025-01-13 00:33:41.701036,2025-01-13 00:33:41.697046,
1a6zBvYbFeS,1a6zBvYJeWL,INVOICE_BILLING,PENDING,2025-01-13 00:33:44.364556,2025-01-13 00:33:44.360823,
1a6zC57D3L4,1a6zC56vSCx,INVOICE_BILLING,PENDING,2025-01-13 00:33:46.452164,2025-01-13 00:33:46.448189,
1a6zCEJTBsr,1a6zCEJTBso,INVOICE_BILLING,PENDING,2025-01-13 00:33:48.462085,2025-01-13 00:33:48.458105,
1a6zCMrUulp,1a6zCMrUulm,INVOICE_BILLING,PENDING,2025-01-13 00:33:50.328653,2025-01-13 00:33:50.324548,
1a6zCZ94gnC,1a6zCZ94gn9,INVOICE_BILLING,PENDING,2025-01-13 00:33:53.011793,2025-01-13 00:33:53.007963,
1a6zCldzbvP,1a6zCldzbvM,INVOICE_BILLING,PENDING,2025-01-13 00:33:55.742757,2025-01-13 00:33:55.738825,
1a6zCvnZueU,1a6zCvnZueR,INVOICE_BILLING,PENDING,2025-01-13 00:33:57.959663,2025-01-13 00:33:57.955924,
1a6zD4bv6H3,1a6zD4bdV8w,INVOICE_BILLING,PENDING,2025-01-13 00:33:59.885431,2025-01-13 00:33:59.881169,
1a6zDE8tx7G,1a6zDE8tx7D,INVOICE_BILLING,PENDING,2025-01-13 00:34:01.984871,2025-01-13 00:34:01.973498,
1a6zDMJILO9,1a6zDMJILO6,INVOICE_BILLING,PENDING,2025-01-13 00:34:03.751896,2025-01-13 00:34:03.747840,
1a6zDWQ7IWs,1a6zDWQ7IWp,INVOICE_BILLING,PENDING,2025-01-13 00:34:05.962137,2025-01-13 00:34:05.957290,
1a6zDhUkyCn,1a6zDhUkyCk,INVOICE_BILLING,PENDING,2025-01-13 00:34:08.378877,2025-01-13 00:34:08.374558,
1a6zDs2T9iy,1a6zDs2T9iv,INVOICE_BILLING,PENDING,2025-01-13 00:34:10.681829,2025-01-13 00:34:10.677192,
1a6zDzsLmqM,1a6zDzsLmqJ,INVOICE_BILLING,PENDING,2025-01-13 00:34:12.392290,2025-01-13 00:34:12.388366,
1a6zE8VUIoe,1a6zE8VUIob,INVOICE_BILLING,PENDING,2025-01-13 00:34:14.277446,2025-01-13 00:34:14.273534,
1a72yYqVHDF,1a72yYqVHDC,INVOICE_BILLING,PENDING,2025-01-13 01:26:41.830215,2025-01-13 01:26:41.826007,
1a73f2OHhe9,1a73f2OHhe6,INVOICE_BILLING,PENDING,2025-01-13 01:36:17.057492,2025-01-13 01:36:17.053504,
1a76BQk8q8M,1a76BQk8q8J,INVOICE_BILLING,PENDING,2025-01-13 02:11:34.963925,2025-01-13 02:11:34.959852,
1a77kqln6SF,1a77kqlDuC4,INVOICE_BILLING,PENDING,2025-01-13 02:33:34.269858,2025-01-13 02:33:34.258607,
1a7D8EORwWv,1a7D8EORwWs,INVOICE_BILLING,PENDING,2025-01-13 03:48:48.975485,2025-01-13 03:48:48.967511,
1a7E5BP2fod,1a7E5BP2foa,INVOICE_BILLING,PENDING,2025-01-13 04:02:07.326408,2025-01-13 04:02:07.310894,
1a7EDXGLYTs,1a7EDXGLYTp,INVOICE_BILLING,PENDING,2025-01-13 04:04:00.419015,2025-01-13 04:04:00.415693,
1a7EGZHKRts,1a7EGZHKRtp,INVOICE_BILLING,PENDING,2025-01-13 04:04:41.488720,2025-01-13 04:04:41.483166,
1a7ENyzpzXg,1a7ENyzpzXd,INVOICE_BILLING,PENDING,2025-01-13 04:06:21.900773,2025-01-13 04:06:21.895531,
1a7FR4vY4di,1a7FR4vY4df,INVOICE_BILLING,PENDING,2025-01-13 04:21:03.455982,2025-01-13 04:21:03.444041,
1a7G4U1uCx4,1a7G4U1uCx1,INVOICE_BILLING,PENDING,2025-01-13 04:29:57.073512,2025-01-13 04:29:57.066750,
1a7G8jfqs0J,1a7G8jfqs0G,INVOICE_BILLING,PENDING,2025-01-13 04:30:54.662144,2025-01-13 04:30:54.653728,
1a7GGohQhOH,1a7GGohQhOE,INVOICE_BILLING,PENDING,2025-01-13 04:32:44.096674,2025-01-13 04:32:44.092052,
1a7GseOFe9u,1a7GseOFe9r,INVOICE_BILLING,PENDING,2025-01-13 04:41:16.443872,2025-01-13 04:41:16.440875,
1a7GzSeykok,1a7GzSeh9gd,INVOICE_BILLING,PENDING,2025-01-13 04:42:48.680330,2025-01-13 04:42:48.673816,
1a7H2GuHTzd,1a7H2GuHTza,INVOICE_BILLING,PENDING,2025-01-13 04:43:26.735888,2025-01-13 04:43:26.732565,
1a7H6XZWgOL,1a7H6XZWgOI,INVOICE_BILLING,PENDING,2025-01-13 04:44:24.545226,2025-01-13 04:44:24.542444,
1a7HBpVcIOt,1a7HBpVcIOq,INVOICE_BILLING,PENDING,2025-01-13 04:45:36.177565,2025-01-13 04:45:36.174095,
1a7HFhtJ4tm,1a7HFhtJ4tj,INVOICE_BILLING,PENDING,2025-01-13 04:46:28.719325,2025-01-13 04:46:28.689572,
1a7HJZcXYkN,1a7HJZcXYkK,INVOICE_BILLING,PENDING,2025-01-13 04:47:21.046022,2025-01-13 04:47:21.039429,
1a7Hkfii8On,1a7Hkfii8Ok,INVOICE_BILLING,PENDING,2025-01-13 04:53:28.013788,2025-01-13 04:53:28.011462,
1a7HxmX56IO,1a7HxmX56IL,INVOICE_BILLING,PENDING,2025-01-13 04:56:25.551656,2025-01-13 04:56:25.548463,
1a7I5Bm4N3s,1a7I5Bm4N3p,INVOICE_BILLING,PENDING,2025-01-13 04:58:05.859031,2025-01-13 04:58:05.857069,
1a7IB474cGu,1a7IB474cGr,INVOICE_BILLING,PENDING,2025-01-13 04:59:25.455763,2025-01-13 04:59:25.442053,
1a7IJoeTkSC,1a7IJoeTkS9,INVOICE_BILLING,PENDING,2025-01-13 05:01:23.941889,2025-01-13 05:01:23.939714,
1a7IUS0WSQD,1a7IUS0WSQA,INVOICE_BILLING,PENDING,2025-01-13 05:03:47.964029,2025-01-13 05:03:47.959707,
1a7IfW6qhnT,1a7IfW6qhnQ,INVOICE_BILLING,PENDING,2025-01-13 05:06:17.820475,2025-01-13 05:06:17.818678,
1a7J7T2fKUx,1a7J7T2fKUu,INVOICE_BILLING,PENDING,2025-01-13 05:12:36.336590,2025-01-13 05:12:36.332660,
1a7NeOIIaLP,1a7NeOIIaLM,INVOICE_BILLING,PENDING,2025-01-13 06:16:00.667155,2025-01-13 06:16:00.662464,
1a7Ol96dJ7U,1a7Ol96dJ7R,INVOICE_BILLING,PENDING,2025-01-13 06:31:31.764705,2025-01-13 06:31:31.759094,
1a7Pokpz9Mu,1a7Pokpz9Mr,INVOICE_BILLING,PENDING,2025-01-13 06:46:20.252488,2025-01-13 06:46:20.247566,
1a7ROFZ4qDS,1a7ROFZ4qDP,INVOICE_BILLING,PENDING,2025-01-13 07:08:20.562572,2025-01-13 07:08:20.556600,
1a7Ut1LEPQY,1a7Ut1LEPQV,INVOICE_BILLING,PENDING,2025-01-13 07:57:16.113828,2025-01-13 07:57:16.111210,
1a7XwJieTrW,1a7XwJieTrT,ON_SITE_PAYMENT,PENDING,2025-01-13 08:39:59.639928,2025-01-13 08:39:59.626084,
